source,target,cabal,planta,tag,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,cabal_m3s,cabal_kgs,cabal_m3h,cabal_teo-real,vel_real,vel_teo-real,error
8105.0,0.0,200.0,torres,8105.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8107.0,0.0,200.0,torres,8107.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8106.0,0.0,200.0,torres,8106.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8108.0,0.0,200.0,torres,8108.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8104.0,0.0,200.0,torres,8104.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
0.0,1.0,1000.0,distribució,0.01,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-663.4647409658273,2.971456847849804,-1.971456847849804,0.6634647409658273
1.0,2.0,900.0,distribució,1.02,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-563.4647409658273,2.6743111630648233,-1.6743111630648233,0.6260719344064748
2.0,3.0,890.0,distribució,2.03,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-553.4647409658273,2.6445965945863255,-1.6445965945863255,0.6218704954672217
3.0,4.0,880.0,distribució,3.04,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-543.4647409658273,2.614882026107827,-1.6148820261078272,0.6175735692793491
4.0,5.0,880.0,distribució,4.05,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-543.4647409658273,2.614882026107827,-1.6148820261078272,0.6175735692793491
4.0,22.0,0.0,distribució,4.22,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692,0.0,1.0,0.0
5.0,6.0,780.0,distribució,5.06,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-502.9991783884154,2.8158761243449657,-1.8158761243449657,0.6448707415236096
6.0,22.0,20.0,distribució,6.22,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,11.17245310524472,0.6415921112296109,0.3584078887703891,0.558622655262236
6.0,7.0,760.0,distribució,6.07,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-482.9991783884154,2.743674172438684,-1.7436741724386842,0.6355252347215992
7.0,8.0,660.0,distribució,7.08,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-382.9991783884154,2.3826644129072783,-1.3826644129072783,0.580301785436993
8.0,9.0,650.0,distribució,8.09,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-372.9991783884154,2.346563436954138,-1.346563436954138,0.5738448898283314
9.0,10.0,600.0,distribució,9.1,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-322.9991783884154,2.166058557188435,-1.166058557188435,0.5383319639806924
10.0,11.0,300.0,distribució,10.11,250.0,273.0,5.0,0.263,0.05432520556403811,1,0.05432520556403811,54.32520556403811,195.5707400305372,-104.4292599694628,1.533971799427444,-0.533971799427444,0.3480975332315427
11.0,12.0,150.0,distribució,11.12,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,-25.310187579021118,1.2029852085555204,-0.20298520855552038,0.16873458386014076
12.0,13.0,125.0,distribució,12.13,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,-0.31018757902111815,1.0024876737962671,-0.0024876737962671314,0.0024815006321690643
13.0,14.0,25.0,distribució,13.14,150.0,165.3,5.0,0.15530000000000002,0.018942303590654366,1,0.018942303590654366,18.942303590654365,68.19229292635572,43.19229292635572,0.3666103444710204,0.6333896555289795,1.7276917170542287
14.0,15.0,25.0,distribució,14.15,150.0,165.3,5.0,0.15530000000000002,0.018942303590654366,1,0.018942303590654366,18.942303590654365,68.19229292635572,43.19229292635572,0.3666103444710204,0.6333896555289795,1.7276917170542287
15.0,16.0,25.0,distribució,15.16,150.0,165.3,5.0,0.15530000000000002,0.018942303590654366,1,0.018942303590654366,18.942303590654365,68.19229292635572,43.19229292635572,0.3666103444710204,0.6333896555289795,1.7276917170542287
16.0,17.0,10.0,distribució,16.17,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,8.50501431362692,0.5403940699811345,0.4596059300188655,0.8505014313626917
17.0,18.0,0.0,distribució,17.18,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692,0.0,1.0,0.0
18.0,21.0,0.0,distribució,18.21,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692,0.0,1.0,0.0
11.0,19.0,150.0,distribució,11.19,250.0,273.0,5.0,0.263,0.05432520556403811,1,0.05432520556403811,54.32520556403811,195.5707400305372,45.570740030537195,0.766985899713722,0.233014100286278,0.3038049335369147
19.0,20.0,41.0,distribució,19.2,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,83.68981242097888,0.3288159570051756,0.6711840429948244,2.041214937097046
20.0,21.0,10.0,distribució,20.21,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,114.68981242097888,0.08019901390370136,0.9198009860962987,0.0
22.0,23.0,20.0,distribució,22.23,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,11.17245310524472,0.6415921112296109,0.3584078887703891,0.558622655262236
