source,target,cabal,planta,tag,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,cabal_m3s,cabal_kgs,cabal_m3h,cabal_teo-real,vel_real,vel_teo-real,error
8105.0,0.0,200.0,torres,8105.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8107.0,0.0,250.0,torres,8107.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-178.78913918836906,3.5107004346051562,-2.5107004346051562,0.7151565567534762
8106.0,0.0,200.0,torres,8106.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8108.0,0.0,200.0,torres,8108.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
8104.0,0.0,200.0,torres,8104.0,150.0,168.3,4.8,0.1587,0.019780794669897482,1,0.019780794669897482,19.78079466989748,71.21086081163094,-128.78913918836906,2.8085603476841245,-1.8085603476841245,0.6439456959418453
0.0,1.0,,distribució,0.01,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,336.53525903417267,0.0,1.0,
1.0,5.0,,distribució,4.05,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,336.53525903417267,0.0,1.0,
5.0,6.0,777.0,distribució,5.06,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-499.9991783884154,2.805045831559023,-1.8050458315590232,0.6434995860854766
6.0,22.0,17.8,distribució,6.22,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,13.37245310524472,0.5710169789943538,0.4289830210056462,0.7512614104070066
6.0,7.0,740.0,distribució,6.07,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-462.9991783884154,2.671472220532403,-1.671472220532403,0.6256745653897505
7.0,9.0,,distribució,8.09,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,277.0008216115846,0.0,1.0,
9.0,10.0,,distribució,9.1,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,277.0008216115846,0.0,1.0,
10.0,11.0,224.3,distribució,10.11,250.0,273.0,5.0,0.263,0.05432520556403811,1,0.05432520556403811,54.32520556403811,195.5707400305372,-28.729259969462817,1.1468995820385857,-0.14689958203858566,0.12808408368017302
11.0,12.0,64.0,distribució,11.12,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,60.68981242097888,0.5132736889836887,0.48672631101631125,0.9482783190777949
11.0,19.0,,distribució,11.19,250.0,273.0,5.0,0.263,0.05432520556403811,1,0.05432520556403811,54.32520556403811,195.5707400305372,195.5707400305372,0.0,1.0,
19.0,20.0,,distribució,19.2,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,124.68981242097888,0.0,1.0,
1.0,1180.01,25.0,grups fred assecat,1180.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,6.1724531052447205,0.8019901390370135,0.19800986096298645,0.2468981242097889
1180.01,1181.0,15.0,grups fred assecat,1181.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-1.5775799450568027,1.1175331973369298,-0.1175331973369298,0.1051719963371202
1180.01,1180.02,10.0,grups fred assecat,1180.02,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,21.17245310524472,0.32079605561480545,0.6792039443851945,2.117245310524472
1180.02,1182.0,0.0,grups fred assecat,1182.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197,0.0,1.0,0.0
1180.02,1180.03,10.0,grups fred assecat,1180.03,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,21.17245310524472,0.32079605561480545,0.6792039443851945,2.117245310524472
1180.03,1191.0,10.0,grups fred assecat,1191.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,3.4224200549431973,0.7450221315579533,0.25497786844204673,0.3422420054943196
1180.03,1192.0,0.0,grups fred assecat,1192.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197,0.0,1.0,0.0
5.0,3100.01,100.0,PEC,3100.01,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,24.689812420978882,0.8019901390370135,0.19800986096298645,0.2468981242097889
7.0,3700.01,125.0,E-700,3700.01,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,-0.31018757902111815,1.0024876737962671,-0.0024876737962671314,0.0024815006321690643
9.0,4700.01,88.0,V-700/V-800,4700.01,150.0,168.3,5.0,0.15830000000000002,0.019681206182778688,1,0.019681206182778688,19.681206182778688,70.85234225800328,-17.147657741996724,1.2420196311867133,-0.24201963118671332,0.1948597470681447
10.0,3900.01,247.0,E-900/E-1000,3900.01,204.0,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,-133.90266447076743,2.183959496872119,-1.1839594968721192,0.542116050488937
3900.01,3900.02,190.0,E-900/E-1000,3900.02,204.0,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,-76.90266447076743,1.679968843747784,-0.679968843747784,0.4047508656356181
3900.02,3900.03,171.0,E-900/E-1000,3900.03,155.0,155.0,2.0,0.151,0.017907863523625216,1,0.017907863523625216,17.907863523625217,64.46830868505077,-106.53169131494923,2.6524660486347194,-1.6524660486347194,0.6229923468710481
3900.01,31001.0,41.6,E-900/E-1000,31001.0,88.9,88.9,2.0,0.0849,0.005661157815750442,1,0.005661157815750442,5.661157815750442,20.38016813670159,-21.21983186329841,2.0412000392226752,-1.0412000392226752,0.5100921120985195
