node,nom,nom_2,tipus,x,y,planta,x_3840,y_2716
0.0,0,0,ramificació,0.226,0.055124,distribució,868.0,151.0
1.0,1,1,ramificació,0.221,0.144876,distribució,848.0,391.0
2.0,2,2,ramificació,0.2585,0.149823,distribució,990.0,405.0
3.0,3,3,ramificació,0.284,0.154064,distribució,1092.0,417.0
4.0,4,4,ramificació,0.335,0.161837,distribució,1293.0,439.0
5.0,5,5,ramificació,0.38600000000000007,0.162,distribució,1629.0,479.0
6.0,6,6,ramificació,0.447,0.373145,distribució,1713.0,1019.0
7.0,7,7,ramificació,0.4455,0.396466,distribució,1710.0,1075.0
8.0,8,8,ramificació,0.4435,0.419788,distribució,1705.0,1139.0
9.0,9,9,ramificació,0.4415,0.446643,distribució,1697.0,1210.0
10.0,10,10,ramificació,0.4405,0.478445,distribució,1690.0,1295.0
11.0,11,11,ramificació,0.4385,0.498233,distribució,1685.0,1349.0
12.0,12,12,ramificació,0.4235,0.498233,distribució,1626.0,1350.0
13.0,13,13,ramificació,0.3975,0.499647,distribució,1524.0,1349.0
14.0,14,14,ramificació,0.3775,0.568198,distribució,1448.0,1543.0
15.0,15,15,ramificació,0.3775,0.595053,distribució,1447.0,1619.0
16.0,16,16,ramificació,0.376,0.711661,distribució,1444.0,1934.0
17.0,17,17,ramificació,0.4565,0.74629,distribució,1750.0,2031.0
18.0,18,18,ramificació,0.5115,0.744876,distribució,1964.0,2030.0
19.0,19,19,ramificació,0.5785,0.495406,distribució,2225.0,1343.0
20.0,20,20,ramificació,0.669,0.491166,distribució,2573.0,1337.0
21.0,21,21,ramificació,0.726,0.491873,distribució,2785.0,1332.0
22.0,22,22,ramificació,0.3265,0.358304,distribució,1260.0,972.0
23.0,23,23,ramificació,0.189,0.396466,distribució,719.0,1078.0
24.0,24,24,ramificació,0.172,0.686219,distribució,661.0,1862.0
1120.0,Y-120,Y-120,chiller,0.4115,0.416254,grups fred,1579.0,1132.0
1160.0,Y-160,Y-160,chiller,0.4375,0.881979,grups fred,1683.0,2386.0
1160.01,1160.01,01,ramificació,0.398,0.882,grups fred,1528.3200000000002,2395.512
1170.0,Y-170,Y-170,chiller,0.437,0.924382,grups fred,1678.08,2510.621512
1180.01,1180.01,01,ramificació,0.0905,0.168198,grups fred,347.52,456.825768
1180.02,1180.02,02,ramificació,0.0895,0.187279,grups fred,343.68,508.649764
1180.03,1180.03,03,ramificació,0.0885,0.207067,grups fred,339.84,562.393972
1181.0,Y-180 (a),Y-180 (a),chiller,0.121,0.170318,grups fred,464.64,462.583688
1182.0,Y-180 (b),Y-180 (b),chiller,0.1225,0.189399,grups fred,470.4,514.407684
1191.0,Y-190 (a),Y-190 (a),chiller,0.122,0.210601,grups fred,468.48,571.9923160000001
1192.0,Y-190 (b),Y-190 (b),chiller,0.1235,0.230389,grups fred,474.24,625.736524
3100.01,3100.01,01,ramificació,0.5975,0.183746,PEC,2294.4,499.05413599999997
3100.02,3100.02,02,ramificació,0.6145,0.25583,PEC,2359.6800000000003,694.83428
3100.03,3100.03,03,ramificació,0.596,0.238163,PEC,2288.64,646.850708
3101.0,EI-101,EI-101,intercambiador,0.5745,0.234629,PEC,2206.08,637.2523640000001
3102.0,EI-102,EI-102,intercambiador,0.5735,0.308127,PEC,2202.2400000000002,836.872932
3150.0,EI-150,EI-150,intercambiador,0.647,0.269965,PEC,2484.48,733.2249400000001
3700.01,3700.01,01,ramificació,0.411,0.397173,E-700,1578.24,1078.721868
3800.01,3800.01,01,ramificació,0.579,0.54841,E-800,2223.3599999999997,1489.48156
3801.0,EI-801,EI-801,intercambiador,0.5475,0.561837,E-800,2102.4,1525.949292
3806.0,EI-806,EI-806,intercambiador,0.6115,0.54629,E-800,2348.1600000000003,1483.7236400000002
3900.01,3900.01,01,ramificació,0.5045,0.538516,E-900/E-1000,1937.2799999999997,1462.609456
3900.02,3900.02,02,ramificació,0.505,0.583746,E-900/E-1000,1939.2,1585.454136
3900.03,3900.03,03,ramificació,0.5095,0.668551,E-900/E-1000,1956.4799999999998,1815.784516
3901.0,EI-901,EI-901,intercambiador,0.5235,0.582332,E-900/E-1000,2010.2399999999998,1581.6137119999999
3906.0,EI-906,EI-906,intercambiador,0.4915,0.698233,E-900/E-1000,1887.36,1896.400828
4200.01,4200.01,01,ramificació,0.6715,0.533569,SIL-PEL,2578.56,1449.173404
4201.0,PK-201,PK-201,intercambiador,0.6675,0.580212,SIL-PEL,2563.2,1575.8557919999998
4202.0,PK-202A,PK-202A,intercambiador,0.6635,0.553357,SIL-PEL,2547.84,1502.917612
4300.01,4300.01,01,ramificació,0.726,0.530035,SIL-PEL,2787.84,1439.5750600000001
4303.0,PI-303,PI-303,intercambiador,0.717,0.563251,SIL-PEL,2753.2799999999997,1529.7897159999998
4304.0,PI-304,PI-304,intercambiador,0.716,0.530035,SIL-PEL,2749.44,1439.5750600000001
4501.0,PI-601,PI-601,intercambiador,0.4365,0.664311,P-600,1676.16,1804.268676
4600.02,4600.02,02,ramificació,0.454,0.7053,P-600,1743.3600000000001,1915.5948
4651.0,LI-651,LI-651,intercambiador,0.352,0.75265,LIQ-LIQ,1351.6799999999998,2044.1974
4600.01,4600.01,01,ramificació,0.366,0.657951,LIQ-LIQ,1405.44,1786.9949159999999
