source,target,cabal,planta,tag,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,densitat_kgm3,cabal_m3s,cabal_kgs,cabal_m3h,cabal_kgh,cabal_teo-real,vel_real
colector-caldera,extraccio,1787.6489,extraccio,,,,,,,,,,,,,,
colector-caldera,secadores,617.62,assecat,573-02,80.0,88.9,3.3,0.08230000000000001,0.005319729526158304,7.5,4.3,0.03989797144618728,0.17156127721860528,143.6326972062742,617.6205979869791,-473.9873027937258,7.4999927384184435
colector-caldera,PEC,505.11,pec,573-03,125.0,141.0,3.3,0.13440000000000002,0.014186929768786934,2.3,4.3,0.03262993846820995,0.14030873541330277,117.46777848555581,505.11144748788996,-387.6422215144442,2.299993408935467
colector-caldera,Nautas,,nautas,573-04,65.0,76.0,,0.076,0.004536459791783661,1.0,4.3,0.004536459791783661,0.01950677710466974,16.33125525042118,70.22439757681107,16.33125525042118,0.0
extraccio,colector-ext,1787.6489,extraccio,,,,,,,,,,,,,,
extraccio,E-700,,altres,,,,,,,,,,,,,,
colector-ext,ext-nord,1185.04,extraccio,573-07,,88.9,,0.0889,0.006207166618944348,7.5,4.3,0.04655374964208261,0.2001811234609552,167.59349871149738,720.6520444594388,-1017.4465012885025,12.332997690538352
colector-ext,V800,598.5689,v700v800,573-05,50.0,60.3,,0.0603,0.0028557784079478277,13.54,4.3,0.038667239643613585,0.1662691304675384,139.2020627170089,598.5688696831382,-459.36683728299107,13.54000068578626
colector-ext,V700,4.04,v700v800,573-06,50.0,78.0,,0.078,0.004778362426110076,0.2,4.3,0.0009556724852220152,0.004109391686454665,3.4404209467992546,14.793810071236795,-0.5995790532007454,0.05461743770598844
colector-ext,ext-sud,,altres,,,,,,,,,,,,,,
colector-ext,SS800,,altres,,,,,,,,,,,,,,
colector-ext,E900/E1000,,altres,,,,,,,,,,,,,,
secadores,atomizador,73.29,atomizador,,,,,,,,,,,,,,
atomizador,1a,73.29,atomizador,573-08,50.0,60.3,2.7,0.0549,0.0023671979184615426,2.0,4.3,0.004734395836923085,0.020357902098769264,17.043825012923108,73.28844755556935,-56.2461749870769,2.0000423653244797
atomizador,2a,,altres,573-09,40.0,48.3,2.5,0.0433,0.0014725351625722418,1.0,4.3,0.0014725351625722418,0.0063319011990606395,5.301126585260071,22.794844316618303,5.301126585260071,0.0
secadores,S600,5.55,s600,573-10,65.0,73.0,2.7,0.0676,0.0035890811111671224,0.1,4.3,0.00035890811111671225,0.0015433048778018626,1.2920692000201641,5.555897560086705,-4.257930799979835,0.09989385045309199
secadores,S6000,95.86,s6000,573-11,65.0,76.4,3.1,0.0702,0.0038704735651491607,1.6,4.3,0.006192757704238657,0.026628858128226223,22.293927735259164,95.8638892616144,-73.56607226474084,1.5999350869380433
calddera,colector-caldera,,altres,,,,,,,,,,,,,,
ext-nord,E800,378.8,e800,573-01,,88.9,,0.0889,0.006207166618944348,4.6,4.3,0.028552966447143998,0.12277775572271919,102.79067920971839,441.9999206017891,-276.0093207902816,3.9422631516032607
ext-nord,SS-700B,,altres,,,,,,,,,,,,,,
ext-nord,SIL-PEL,,altres,,,,,,,,,,,,,,
ext-nord,dutxes,,altres,,,,,,,,,,,,,,
ext-sud,columnes,,altres,,,,,,,,,,,,,,
ext-sud,LIQ-LIQ,,altres,,,,,,,,,,,,,,
ext-sud,P600,,altres,,,,,,,,,,,,,,
ext-sud,P400,,altres,,,,,,,,,,,,,,
ext-sud,PK-201,,altres,,,,,,,,,,,,,,
