node,nom,tipus,planta
caldera,caldera,caldera,altres
extraccio,extraccio,ramificació,altres
secadores,secadores,ramificació,altres
PEC,PEC,planta,altres
Nautas,Nautas,planta,altres
colector-ext,colector-ext,ramificació,altres
E-700,E-700,planta,altres
ext-nord,ext-nord,ramificació,altres
V800,V800,planta,altres
V700,V700,planta,altres
ext-sud,ext-sud,ramificació,altres
SS800,SS800,planta,altres
E900/E1000,E900/E1000,planta,altres
atomizador,atomizador,planta,altres
1a,1a,ramificació,altres
2a,2a,ramificació,altres
S600,S600,planta,altres
S6000,S6000,planta,altres
colector-caldera,colector-caldera,ramificació,altres
E800,E800,planta,altres
SS-700B,SS-700B,planta,altres
SIL-PEL,SIL-PEL,planta,altres
dutxes,dutxes,planta,altres
columnes,columnes,planta,altres
LIQ-LIQ,LIQ-LIQ,planta,altres
P600,P600,planta,altres
P400,P400,planta,altres
PK-201,PK-201,planta,altres
