Filename;MEASURE_Avg;MEASURE_Median;MEASURE_Mode;MEASURE_Max;MEASURE_Min;DEVICE;MODE;DATE;TIME;Par.Record;Meas. Point No.;Outer Diameter;Wall Thickness;Roughness;Pipe Material;Lining;Medium;Medium Temperat.;Transducer Type;Sound Path;Transd. Distance;Damping;Full-Scale Val.;Current Loop;Storage Rate;Physic. Quant.;Unit Of Measure;Numb.Of Meas.Val;SSPEED_Avg;SSPEED_Median;SSPEED_Mode;SSPEED_Max;SSPEED_Min;c-Material;c-Medium     MIN;c-Medium     MAX;Kinem.Viscosity;Density
251007_0000_PM-V-4_Type6.csv;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251007_1003_STE-04_Type6.csv;nan;nan;nan;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251008_0951_PM-V-4_Type7.csv;nan;nan;0.0000;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251008_0951_STE-04_Type7.csv;nan;nan;0.0000;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251008_1151_PM-V-4_Type7.csv;nan;nan;0.0000;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251008_1151_STE-04_Type7.csv;nan;nan;0.0000;nan;nan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251013_0000_AT-COL-345_Type2.csv;nan;49.3846;-60.3008;57.7602;-60.3008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251013_0841_AT-345_Type2.csv;nan;49.3846;-60.3008;57.7602;-60.3008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251013_0900_AT-345_Type2.csv;nan;61.4060;57.3582;63.7889;48.7237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251013_0900_AT-COL-345_Type2.csv;nan;61.4060;57.3582;63.7889;48.7237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
