source,target,cabal,planta,nom
8105.0,0.0,200,torres,8105-0
8107.0,0.0,200,torres,8107-0
8106.0,0.0,200,torres,8106-0
8108.0,0.0,200,torres,8108-0
8104.0,0.0,200,torres,8104-0
0.0,1.0,1000,distribució,0-1
1.0,5.0,900,distribució,1-5
5.0,6.0,780,distribució,5-6
6.0,22.0,20,distribució,6-22
6.0,7.0,760,distribució,6-7
7.0,9.0,660,distribució,7-9
9.0,10.0,600,distribució,9-10
10.0,11.0,300,distribució,10-11
11.0,12.0,150,distribució,11-12
11.0,19.0,150,distribució,11-19
19.0,20.0,30,distribució,19-20
1.0,1180.01,100,grups fred assecat,1-1180.01
1180.01,1181.0,50,grups fred assecat,1180.01-1181
1180.01,1180.02,50,grups fred assecat,1180.01-1180.02
1180.02,1182.0,25,grups fred assecat,1180.02-1182
1180.02,1180.03,25,grups fred assecat,1180.02-1180.03
1180.03,1191.0,25,grups fred assecat,1180.03-1191
1180.03,1192.0,0,grups fred assecat,1180.03-1192
8109.0,1160.01,100,grups fred extracció,8109-1160.01
1160.01,1160.0,50,grups fred extracció,1160.01-1160
1160.01,1170.0,50,grups fred extracció,
5.0,3100.01,100,PEC,5-3100.01
3100.01,3100.02,20,PEC,
3100.01,3100.03,80,PEC,
7.0,3700.01,100,E-700,7-3700.01
9.0,4700.01,50,V-700/V-800,9-4700.01
10.0,3900.01,300,E-900/E-1000,10-3900.01
3900.01,3900.02,200,E-900/E-1001,
3900.02,3900.03,100,E-900/E-1002,
3900.01,31001.0,100,E-900/E-1003,3900.01-31001
3900.02,3901.0,100,E-900/E-1004,3900.02-3901
3900.03,31006.0,50,E-900/E-1005,3900.03-31006
3900.03,3906.0,50,E-900/E-1006,3900.03-3906
19.0,3800.01,120,E-800,19-3800.01
3800.01,3801.0,90,E-801,3800.01-3801
3800.01,3806.0,30,E-802,3800.01-3806
