index,nom,source,target,cabal,OD,DN,area
,,AZ-101,impulsio,305.5,,,
,,AZ-102,impulsio,305.5,,,
,,AZ-103,impulsio,305.5,,,
,,AZ-104,impulsio,305.5,,,
1.0,AT-1,impulsio,BV-105,222.0,222.0,200.0,
2.0,AT-2,impulsio,BV-107,205.0,222.0,200.0,
3.0,AT-3,impulsio,BV-106,191.0,222.0,200.0,
4.0,AT-4,impulsio,BV-108,231.0,222.0,200.0,
5.0,AT-5,impulsio,BV-104,203.0,222.0,200.0,
6.0,AT-6,impulsio,BV-109,170.0,204.0,204.0,
1.0,AT-1,BV-105,colector,222.0,168.3,150.0,
2.0,AT-2,BV-107,colector,205.0,168.3,150.0,
3.0,AT-3,BV-106,colector,191.0,168.3,150.0,
4.0,AT-4,BV-108,colector,231.0,168.3,150.0,
5.0,AT-5,BV-104,colector,203.0,168.3,150.0,
,Y-100,colector,GF-ass,,,,
,nautas,colector,nautas,253.0,,,
,assecat,colector,assecat,1.0,,,
,PEC,colector,PEC,124.0,220.0,200.0,
,3-700-GF,colector,E-700,116.18,220.0,200.0,
,55-700,colector,SS-700B,,114.0,100.0,
,V-700/V-800,colector,V-700/V-800,42.5,168.3,150.0,
,3-900/3-1000,colector,E-900/E-1000,397.0,204.0,204.0,
,ext-sud,colector,ext-sud,32.6,220.0,200.0,
,ext-nord,colector,ext-nord,87.0,273.0,250.0,
,,E-700,Y-120,75.0,141.0,125.0,
,,E-700,EI-733,41.18,88.9,80.0,
,,E-700,ER-770,,,,
,,E-700,ER-750,,,,
,,E-700,EI-7x2,,114.0,100.0,
,,SS-700B,EI-701,,88.9,80.0,
,,ext-nord,SIL-PEL,30.4,114.0,100.0,
,,ext-nord,E-800,56.38497407,204.0,204.0,
,,ext-sud,P-400,13.60189704,88.9,80.0,
,,ext-sud,P-600,10.82282888,60.3,50.0,
,,ext-sud,LIQ-LIQ,8.168631773,76.1,65.0,
,,ext-sud,SS-800,0.0,114.0,100.0,
,,PEC,E-100,101.8421149,141.0,125.0,
,,PEC,E-150,28.0,220.0,200.0,
,,E-100,E-101,79.60554447,88.9,80.0,
,,E-100,E-102,22.23657042,88.9,80.0,
,,E-150,ED-150,0.0,60.3,50.0,
,,E-150,EI-150,28.21789831,60.3,50.0,
,,SIL-PEL,PK-201,15.34166403,76.1,65.0,
,,SIL-PEL,PK-202A,13.89928536,76.1,65.0,
,,SIL-PEL,PI-303,0.0,60.3,50.0,
,,SIL-PEL,PI-304,0.0,60.3,50.0,
,,SIL-PEL,SI-5003,1.17621229,42.2,32.0,
,,E-800,EI-801,10.19008407,88.9,80.0,
,,E-800,EI-806,32.80141863,139.7,125.0,
,,P-600,PI-601,10.82282888,60.3,50.0,
,,P-600,PR-601,0.0,60.3,50.0,
,,LIQ-LIQ,LI-651,,43.0,43.0,
,,LIQ-LIQ,LI-660,,48.3,40.0,
,,LIQ-LIQ,SB-670,,114.0,100.0,
,,LIQ-LIQ,LI-671,8.168631773,60.3,50.0,
,,SS-800,SI-801,1.0,88.9,80.0,
,,SS-800,SI-802,1.0,60.3,50.0,
,,V-700/V-800,SR-710,,60.3,50.0,
,,V-700/V-800,SR-810,,60.3,50.0,
,,V-700/V-800,VI-710,17.13467045,73.0,73.0,
,,V-700/V-800,VI-810,25.38085957,76.1,65.0,
,,E-900/E-1000,EI-906,137.7163658,139.7,125.0,
,,E-900/E-1000,EI-1006,43.32549751,139.7,125.0,
,,E-900/E-1000,EI-901,31.79731136,88.9,80.0,
,,E-900/E-1000,EI-1001,157.5628604,88.9,80.0,
,,EI-7x2,EI-752,4.412492546,88.9,80.0,
,,EI-7x2,EI-772,12.50206221,76.1,65.0,
,,BV-109,Y-120,0.0,129.0,129.0,
,,BV-109,Y-160,75.0,129.0,129.0,
,,BV-109,Y-170,72.0,114.0,100.0,
