source,target,OD,DN,WT,area m2,cabal m3h,cabal m3s,velocitat ms
AZ-101,impulsio,-,,3,,300.0,0.08333333333333333,
AZ-102,impulsio,-,,3,,300.0,0.08333333333333333,
AZ-103,impulsio,-,,3,,300.0,0.08333333333333333,
AZ-104,impulsio,-,,3,,300.0,0.08333333333333333,
impulsio,BV-105,222,200.0,3,0.036643536711471345,222.0,0.06166666666666667,1.682879770919104
impulsio,BV-107,222,200.0,3,0.036643536711471345,205.0,0.05694444444444444,1.5540105992721454
impulsio,BV-106,222,200.0,3,0.036643536711471345,191.0,0.05305555555555556,1.447883046151121
impulsio,BV-108,222,200.0,3,0.036643536711471345,231.0,0.06416666666666666,1.7511046264969052
impulsio,BV-104,222,200.0,3,0.036643536711471345,203.0,0.05638888888888889,1.5388495202548562
impulsio,BV-109,204,204.0,3,0.030790749597833563,170.0,0.04722222222222222,1.5336496460464468
BV-105,colector,168.3,150.0,3,0.02068840078751958,222.0,0.06166666666666667,2.980736273432382
BV-107,colector,168.3,150.0,3,0.02068840078751958,205.0,0.05694444444444444,2.7524816939353074
BV-106,colector,168.3,150.0,3,0.02068840078751958,191.0,0.05305555555555556,2.5645073343494817
BV-108,colector,168.3,150.0,3,0.02068840078751958,231.0,0.06416666666666666,3.1015769331661267
BV-104,colector,168.3,150.0,3,0.02068840078751958,203.0,0.05638888888888889,2.7256282139944754
colector,GF-ass,-,,3,,,0.0,
colector,nautas,-,,3,,253.0,0.07027777777777777,
colector,assecat,-,,3,,1.0,0.0002777777777777778,
colector,PEC,220,200.0,3,0.03596809429094954,124.0,0.034444444444444444,0.9576388497488875
colector,E-700,220,200.0,3,0.03596809429094954,116.18,0.03227222222222222,0.8972458190631108
colector,SS-700B,114,100.0,3,0.009160884177867836,,0.0,0.0
colector,V-700/V-800,168.3,150.0,3,0.02068840078751958,42.5,0.011805555555555555,0.5706364487426857
colector,E-900/E-1000,204,204.0,3,0.030790749597833563,397.0,0.11027777777777778,3.5815229969437614
colector,ext-sud,220,200.0,3,0.03596809429094954,32.6,0.009055555555555556,0.25176634275656234
colector,ext-nord,273,250.0,3,0.055990249670440695,87.0,0.024166666666666666,0.43162277019502443
E-700,Y-120,141,125.0,3,0.014313881527918496,75.0,0.020833333333333332,1.455463585659765
E-700,EI-733,88.9,80.0,3,0.005397578192114258,41.18,0.011438888888888889,2.119263210600794
E-700,ER-770,-,,3,,,0.0,
E-700,ER-750,-,,3,,,0.0,
E-700,EI-7x2,114,100.0,3,0.009160884177867836,,0.0,0.0
SS-700B,EI-701,88.9,80.0,3,0.005397578192114258,,0.0,0.0
ext-nord,SIL-PEL,114,100.0,3,0.009160884177867836,30.4,0.008444444444444444,0.9217936042511847
ext-nord,E-800,204,204.0,3,0.030790749597833563,56.38497407,0.015662492797222222,0.5086752677929035
ext-sud,P-400,88.9,80.0,3,0.005397578192114258,13.60189704,0.0037783047333333334,0.6999999997875627
ext-sud,P-600,60.3,50.0,3,0.0023157386307957424,10.82282888,0.0030063413555555555,1.298221360379736
ext-sud,LIQ-LIQ,76.1,65.0,3,0.0038594544289166943,8.168631773,0.0022690643813888887,0.5879236102357062
ext-sud,SS-800,114,100.0,3,0.009160884177867836,0.0,0.0,0.0
PEC,E-100,141,125.0,3,0.014313881527918496,101.8421149,0.02828947636111111,1.9763665296470374
PEC,E-150,220,200.0,3,0.03596809429094954,28.0,0.0077777777777777776,0.21624103058845845
E-100,E-101,88.9,80.0,3,0.005397578192114258,79.60554447,0.022112651241666666,4.096772747817301
E-100,E-102,88.9,80.0,3,0.005397578192114258,22.23657042,0.006176825116666666,1.1443697333909624
E-150,ED-150,60.3,50.0,3,0.0023157386307957424,0.0,0.0,0.0
E-150,EI-150,60.3,50.0,3,0.0023157386307957424,28.21789831,0.007838305086111112,3.3847969636442454
SIL-PEL,PK-201,76.1,65.0,3,0.0038594544289166943,15.34166403,0.004261573341666667,1.1041906103974501
SIL-PEL,PK-202A,76.1,65.0,3,0.0038594544289166943,13.89928536,0.0038609126,1.0003778179300111
SIL-PEL,PI-303,60.3,50.0,3,0.0023157386307957424,0.0,0.0,0.0
SIL-PEL,PI-304,60.3,50.0,3,0.0023157386307957424,0.0,0.0,0.0
SIL-PEL,SI-5003,42.2,32.0,3,0.0010292171692425523,1.17621229,0.00032672563611111115,0.3174506274040914
E-800,EI-801,88.9,80.0,3,0.005397578192114258,10.19008407,0.0028305789083333333,0.5244164711627052
E-800,EI-806,139.7,125.0,3,0.014039534095462129,32.80141863,0.009111505175,0.6489891411670867
P-600,PI-601,60.3,50.0,3,0.0023157386307957424,10.82282888,0.0030063413555555555,1.298221360379736
P-600,PR-601,60.3,50.0,3,0.0023157386307957424,0.0,0.0,0.0
LIQ-LIQ,LI-651,43,43.0,3,0.0010752100856911066,,0.0,0.0
LIQ-LIQ,LI-660,48.3,40.0,3,0.0014053050797854202,,0.0,0.0
LIQ-LIQ,SB-670,114,100.0,3,0.009160884177867836,,0.0,0.0
LIQ-LIQ,LI-671,60.3,50.0,3,0.0023157386307957424,8.168631773,0.0022690643813888887,0.97984476797763
SS-800,SI-801,88.9,80.0,3,0.005397578192114258,1.0,0.0002777777777777778,0.05146340967947532
SS-800,SI-802,60.3,50.0,3,0.0023157386307957424,1.0,0.0002777777777777778,0.1199521284845202
