source,target,cabal,planta,nom,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,cabal_m3s,cabal_kgs,cabal_m3h,cabal_teo-real
8105.0,0.0,200.0,torres,8105,150.0,168.3,4.8,0.1587,0.019780794669897482,3,0.059342384009692446,59.342384009692445,213.6325824348928,13.63258243489281
8107.0,0.0,200.0,torres,8107,150.0,168.3,4.8,0.1587,0.019780794669897482,3,0.059342384009692446,59.342384009692445,213.6325824348928,13.63258243489281
8106.0,0.0,200.0,torres,8106,150.0,168.3,4.8,0.1587,0.019780794669897482,3,0.059342384009692446,59.342384009692445,213.6325824348928,13.63258243489281
8108.0,0.0,200.0,torres,8108,150.0,168.3,4.8,0.1587,0.019780794669897482,3,0.059342384009692446,59.342384009692445,213.6325824348928,13.63258243489281
8104.0,0.0,200.0,torres,8104,150.0,168.3,4.8,0.1587,0.019780794669897482,3,0.059342384009692446,59.342384009692445,213.6325824348928,13.63258243489281
0.0,1.0,1000.0,distribució,0-1,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-663.4647409658273
1.0,2.0,900.0,distribució,1-2,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-563.4647409658273
2.0,3.0,890.0,distribució,2-3,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-553.4647409658273
3.0,4.0,880.0,distribució,3-4,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-543.4647409658273
4.0,5.0,880.0,distribució,4-5,350.0,355.0,5.0,0.34500000000000003,0.0934820163983813,1,0.0934820163983813,93.4820163983813,336.53525903417267,-543.4647409658273
4.0,22.0,0.0,distribució,4-22,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692
5.0,6.0,780.0,distribució,5-6,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-502.9991783884154
6.0,22.0,20.0,distribució,6-22,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,11.17245310524472
6.0,7.0,760.0,distribució,6-7,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-482.9991783884154
7.0,8.0,660.0,distribució,7-8,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-382.9991783884154
8.0,9.0,650.0,distribució,8-9,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-372.9991783884154
9.0,10.0,600.0,distribució,9-10,300.0,323.0,5.0,0.313,0.07694467266988461,1,0.07694467266988461,76.94467266988461,277.0008216115846,-322.9991783884154
10.0,11.0,300.0,distribució,10-11,250.0,273.0,5.0,0.263,0.05432520556403811,1,0.05432520556403811,54.32520556403811,195.5707400305372,-104.4292599694628
11.0,12.0,150.0,distribució,11-12,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,-25.310187579021118
12.0,13.0,125.0,distribució,12-13,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,-0.31018757902111815
13.0,14.0,25.0,distribució,13-14,150.0,165.3,5.0,0.15530000000000002,0.018942303590654366,1,0.018942303590654366,18.942303590654365,68.19229292635572,43.19229292635572
14.0,15.0,25.0,distribució,14-15,150.0,165.3,5.0,0.15530000000000002,0.018942303590654366,1,0.018942303590654366,18.942303590654365,68.19229292635572,43.19229292635572
15.0,16.0,25.0,distribució,15-16,150.0,165.3,5.0,0.15530000000000002,0.018942303590654366,1,0.018942303590654366,18.942303590654365,68.19229292635572,43.19229292635572
16.0,17.0,10.0,distribució,16-17,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,8.50501431362692
17.0,18.0,0.0,distribució,17-18,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692
18.0,21.0,0.0,distribució,18-21,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692
11.0,19.0,150.0,distribució,11-19,250.0,273.0,5.0,0.263,0.05432520556403811,1,0.05432520556403811,54.32520556403811,195.5707400305372,45.570740030537195
19.0,20.0,30.0,distribució,19-20,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,94.68981242097888
20.0,21.0,10.0,distribució,20-21,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,114.68981242097888
22.0,23.0,20.0,distribució,22-23,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,11.17245310524472
23.0,24.0,10.0,distribució,23-24,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,21.17245310524472
3.0,51000.0,10.0,SS-1000,51000,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-2.0277405442105163
2.0,53000.0,10.0,SS-3000,53000,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-2.0277405442105163
1.0,1180.01,100.0,grups fred assecat,1180.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-68.82754689475527
1180.01,1181.0,0.0,grups fred assecat,1181,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197
1180.01,1180.02,50.0,grups fred assecat,1180.02,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-18.82754689475528
1180.02,1182.0,50.0,grups fred assecat,1182,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-36.577579945056804
1180.02,1180.03,50.0,grups fred assecat,1180.03,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-18.82754689475528
1180.03,1191.0,0.0,grups fred assecat,1191,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197
1180.03,1192.0,50.0,grups fred assecat,1192,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-36.577579945056804
8109.0,1160.01,100.0,grups fred extracció,1160.01,,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,13.097335529232566
1160.01,1160.0,50.0,grups fred extracció,1160,,129.0,2.0,0.125,0.01227184630308513,1,0.01227184630308513,12.271846303085129,44.178646691106465,-5.821353308893535
1160.01,1170.0,50.0,grups fred extracció,1170,,114.0,2.0,0.11,0.009503317777109124,1,0.009503317777109124,9.503317777109125,34.21194399759285,-15.788056002407153
5.0,3100.01,100.0,PEC,3100.01,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,24.689812420978882
3100.01,3100.02,20.0,PEC,3100.02,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,104.68981242097888
3100.01,3100.03,80.0,PEC,3100.03,125.0,141.0,5.0,0.131,0.013478217882063612,1,0.013478217882063612,13.478217882063612,48.521584375429,-31.478415624571
3100.02,3150.0,20.0,PEC,3150,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-12.027740544210516
3100.03,3101.0,40.0,PEC,3101,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,-21.49498568637308
3100.03,3102.0,40.0,PEC,3102,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,-21.49498568637308
23.0,5600.0,10.0,SS-600,5600,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,8.50501431362692
24.0,56000.0,5.0,SS-6000,56000,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,26.17245310524472
24.0,52100.01,,SS-2100/SS-2200,52100.01,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692
52100.01,52100.02,,SS-2100/SS-2201,52100.02,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692
52100.02,52107.0,,SS-2100/SS-2202,52107,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197
52100.02,52207.0,,SS-2100/SS-2203,52207,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484
7.0,3700.01,100.0,E-700,3700.01,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,24.689812420978882
3700.01,1120.0,100.0,E-700,1120,125.0,141.0,5.0,0.131,0.013478217882063612,1,0.013478217882063612,13.478217882063612,48.521584375429,-51.478415624571
13.0,5800.01,100.0,SS-800,5800.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-68.82754689475527
5800.01,5802.0,50.0,SS-800,5802,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-42.027740544210516
5800.01,5801.0,50.0,SS-800,5801,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,-31.49498568637308
8.0,5700.01,10.0,SS-700B,5700.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,21.17245310524472
5700.01,5701.0,10.0,SS-700B,5701,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,8.50501431362692
12.0,4600.01,15.0,Líquid-líquid,4600.01,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-1.5775799450568027
4600.01,4671.0,15.0,Líquid-líquid,4671,32.0,43.0,3.2,0.0366,0.0010520879637606858,1,0.0010520879637606858,1.0520879637606857,3.7875166695384688,-11.21248333046153
16.0,4600.02,25.0,Líquid-líquid,4600.02,125.0,139.7,5.0,0.12969999999999998,0.013212038590506577,1,0.013212038590506577,13.212038590506577,47.56333892582368,22.56333892582368
4600.02,4651.0,25.0,Líquid-líquid,4651,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-17.027740544210516
17.0,4501.0,10.0,P-600,4501,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-2.0277405442105163
9.0,4700.01,50.0,V-700/V-800,4700.01,150.0,168.3,5.0,0.15830000000000002,0.019681206182778688,1,0.019681206182778688,19.681206182778688,70.85234225800328,20.852342258003276
4700.01,4700.02,40.0,V-700/V-801,4700.02,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-8.82754689475528
4700.02,4810.0,20.0,V-700/V-802,4810,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-6.577579945056803
4700.02,4710.0,20.0,V-700/V-803,4710,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,-6.577579945056803
4700.01,4740.0,10.0,V-700/V-804,4740,25.0,33.7,3.2,0.027300000000000005,0.0005853493971984844,1,0.0005853493971984844,0.5853493971984843,2.107257829914544,-7.892742170085456
10.0,3900.01,300.0,E-900/E-1000,3900.01,,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,-186.90266447076743
3900.01,3900.02,200.0,E-900/E-1001,3900.02,,204.0,2.0,0.2,0.031415926535897934,1,0.031415926535897934,31.415926535897935,113.09733552923257,-86.90266447076743
3900.02,3900.03,100.0,E-900/E-1002,3900.03,,155.0,2.0,0.151,0.017907863523625216,1,0.017907863523625216,17.907863523625217,64.46830868505077,-35.53169131494923
3900.01,31001.0,100.0,E-900/E-1003,31001,,88.9,2.0,0.0849,0.005661157815750442,1,0.005661157815750442,5.661157815750442,20.38016813670159,-79.6198318632984
3900.02,3901.0,100.0,E-900/E-1004,3901,,88.9,2.0,0.0849,0.005661157815750442,1,0.005661157815750442,5.661157815750442,20.38016813670159,-79.6198318632984
3900.03,31006.0,50.0,E-900/E-1005,31006,,139.7,2.0,0.1357,0.014462706625900674,1,0.014462706625900674,14.462706625900674,52.065743853242424,2.0657438532424237
3900.03,3906.0,50.0,E-900/E-1006,3906,,139.7,2.0,0.1357,0.014462706625900674,1,0.014462706625900674,14.462706625900674,52.065743853242424,2.0657438532424237
19.0,3800.01,120.0,E-800,3800.01,,155.0,2.0,0.151,0.017907863523625216,1,0.017907863523625216,17.907863523625217,64.46830868505077,-55.53169131494923
3800.01,3801.0,90.0,E-801,3801,,88.9,2.0,0.0849,0.005661157815750442,1,0.005661157815750442,5.661157815750442,20.38016813670159,-69.6198318632984
3800.01,3806.0,30.0,E-802,3806,,139.7,2.0,0.1357,0.014462706625900674,1,0.014462706625900674,14.462706625900674,52.065743853242424,22.065743853242424
20.0,4200.01,20.0,SIL-PEL,4200.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,11.17245310524472
4200.01,4202.0,10.0,SIL-PEL,4202,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,3.4224200549431973
4200.01,4201.0,10.0,SIL-PEL,4201,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,3.4224200549431973
21.0,4300.01,10.0,SIL-PEL,4300.01,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,3.4224200549431973
4300.01,4303.0,5.0,SIL-PEL,4303,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,2.9722594557894837
4300.01,4304.0,5.0,SIL-PEL,4304,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,2.9722594557894837
