"# Flow rate: avg: -0.0272 [m3/h] 
# Median: -0.0600 [m3/h]
# Mode: -0.0700 [m3/h]
# Max: 0.2100 [m3/h]
# Min: -0.1900 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 07:39:44
# Par.Record       :
# Meas. Point No.: : B:47.11.3
# Outer Diameter  :      43.5 mm
# Wall Thickness  :       3.2 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         1 NUM
# Transd. Distance :     -34.8 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        57

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
07:39:44;07:39:44;B;???;20.0;
07:39:45;07:39:45;B;???;20.0;
07:39:46;07:39:46;B;???;19.0;
07:39:47;07:39:47;B;???;19.0;
07:39:48;07:39:48;B;???;17.0;
07:39:49;07:39:49;B;???;17.0;
07:39:50;07:39:50;B;0.12;920.7;44.0;
07:39:51;07:39:51;B;0.03;932.8;45.0;
07:39:52;07:39:52;B;0.08;932.8;45.0;
07:39:53;07:39:53;B;0.07;890.3;41.0;
07:39:54;07:39:54;B;0.09;867.4;43.0;
07:39:55;07:39:55;B;0.21;867.4;43.0;
07:39:56;07:39:56;B;0.12;855.3;44.0;
07:39:57;07:39:57;B;0.11;884.2;42.0;
07:39:58;07:39:58;B;0.08;953.1;43.0;
07:39:59;07:39:59;B;???;977.8;40.0;
07:40:00;07:40:00;B;???;977.8;40.0;
07:40:01;07:40:01;B;0.13;1016.6;44.0;
07:40:02;07:40:02;B;???;989.6;44.0;
07:40:03;07:40:03;B;0.05;956.6;45.0;
07:40:04;07:40:04;B;-0.06;956.6;45.0;
07:40:05;07:40:05;B;-0.12;917.7;43.0;
07:40:06;07:40:06;B;-0.14;926.7;46.0;
07:40:07;07:40:07;B;0.01;1055.4;45.0;
07:40:08;07:40:08;B;-0.06;1055.4;45.0;
07:40:09;07:40:09;B;-0.09;1183.9;46.0;
07:40:10;07:40:10;B;-0.07;1153.6;45.0;
07:40:11;07:40:11;B;-0.07;1153.6;45.0;
07:40:12;07:40:12;B;-0.09;1081.3;46.0;
07:40:13;07:40:13;B;-0.1;1349.7;46.0;
07:40:14;07:40:14;B;-0.13;1349.7;46.0;
07:40:15;07:40:15;B;-0.16;1418.7;44.0;
07:40:16;07:40:16;B;-0.07;1532.5;44.0;
07:40:17;07:40:17;B;-0.19;1498.9;47.0;
07:40:18;07:40:18;B;-0.16;1498.9;47.0;
07:40:19;07:40:19;B;-0.11;1429.9;44.0;
07:40:20;07:40:20;B;-0.09;1274.2;39.0;
07:40:21;07:40:21;B;-0.08;1274.2;39.0;
07:40:22;07:40:22;B;-0.05;1136.1;40.0;
07:40:23;07:40:23;B;-0.03;1136.1;40.0;
07:40:24;07:40:24;B;-0.01;1026.3;42.0;
07:40:25;07:40:25;B;-0.08;884.6;44.0;
07:40:26;07:40:26;B;-0.07;1071.8;48.0;
07:40:27;07:40:27;B;-0.06;1071.8;48.0;
07:40:28;07:40:28;B;-0.04;1199.7;49.0;
07:40:29;07:40:29;B;-0.02;1286.9;52.0;
07:40:30;07:40:30;B;-0.01;1286.9;52.0;
07:40:31;07:40:31;B;0.0;1438.3;50.0;
07:40:32;07:40:32;B;???;1415.9;42.0;
07:40:33;07:40:33;B;???;1415.9;42.0;
07:40:34;07:40:34;B;???;19.0;
07:40:35;07:40:35;B;???;19.0;
07:40:36;07:40:36;B;???;14.0;
07:40:37;07:40:37;B;???;19.0;
07:40:38;07:40:38;B;???;19.0;
07:40:39;07:40:39;B;???;19.0;
07:40:40;07:40:40;B;???;19.0;
