"# Flow rate: avg: -580.3169 [m3/h] 
# Median: -576.4000 [m3/h]
# Mode: -642.1500 [m3/h]
# Max: -559.4800 [m3/h]
# Min: -642.1500 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 08:53:11
# Par.Record       :
# Meas. Point No.: : B:47.09
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       6.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     199.3 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       152

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:53:11;08:53:11;B;-642.15;1512.8;20.0;
08:53:12;08:53:12;B;-642.15;1512.8;20.0;
08:53:13;08:53:13;B;-642.15;1512.8;20.0;
08:53:14;08:53:14;B;-642.15;1512.8;20.0;
08:53:15;08:53:15;B;???;1516.3;17.0;
08:53:16;08:53:16;B;???;1516.3;17.0;
08:53:17;08:53:17;B;???;1516.3;17.0;
08:53:18;08:53:18;B;-622.94;1516.3;17.0;
08:53:19;08:53:19;B;-622.94;1516.3;17.0;
08:53:20;08:53:20;B;-622.94;1516.3;17.0;
08:53:21;08:53:21;B;-601.87;1506.9;25.0;
08:53:22;08:53:22;B;???;1506.9;25.0;
08:53:23;08:53:23;B;???;1506.9;25.0;
08:53:24;08:53:24;B;???;1506.9;25.0;
08:53:25;08:53:25;B;???;1506.9;25.0;
08:53:26;08:53:26;B;-589.0;1502.3;26.0;
08:53:27;08:53:27;B;-581.29;1502.3;26.0;
08:53:28;08:53:28;B;-562.2;1502.3;26.0;
08:53:29;08:53:29;B;-559.48;1502.3;26.0;
08:53:30;08:53:30;B;-559.48;1502.3;26.0;
08:53:31;08:53:31;B;-565.51;1499.3;26.0;
08:53:32;08:53:32;B;-572.12;1499.3;26.0;
08:53:33;08:53:33;B;-572.12;1499.3;26.0;
08:53:34;08:53:34;B;-573.47;1494.5;26.0;
08:53:35;08:53:35;B;-576.44;1494.5;26.0;
08:53:36;08:53:36;B;-576.44;1494.5;26.0;
08:53:37;08:53:37;B;-576.12;1493.5;26.0;
08:53:38;08:53:38;B;-574.09;1493.5;26.0;
08:53:39;08:53:39;B;-574.09;1493.5;26.0;
08:53:40;08:53:40;B;-573.87;1492.8;26.0;
08:53:41;08:53:41;B;-575.71;1492.8;26.0;
08:53:42;08:53:42;B;-575.26;1492.8;26.0;
08:53:43;08:53:43;B;-575.26;1492.8;26.0;
08:53:44;08:53:44;B;-576.4;1491.4;25.0;
08:53:45;08:53:45;B;-570.76;1491.4;25.0;
08:53:46;08:53:46;B;-570.76;1491.4;25.0;
08:53:47;08:53:47;B;-569.87;1489.9;26.0;
08:53:48;08:53:48;B;-570.14;1489.9;26.0;
08:53:49;08:53:49;B;-570.14;1489.9;26.0;
08:53:50;08:53:50;B;-576.47;1488.9;25.0;
08:53:51;08:53:51;B;-577.37;1488.9;25.0;
08:53:52;08:53:52;B;-577.37;1488.9;25.0;
08:53:53;08:53:53;B;-579.52;1489.0;26.0;
08:53:54;08:53:54;B;-575.0;1489.0;26.0;
08:53:55;08:53:55;B;-575.0;1489.0;26.0;
08:53:56;08:53:56;B;-574.07;1489.9;25.0;
08:53:57;08:53:57;B;-572.2;1489.9;25.0;
08:53:58;08:53:58;B;-572.94;1489.9;25.0;
08:53:59;08:53:59;B;-574.1;1490.3;25.0;
08:54:00;08:54:00;B;-578.2;1490.3;25.0;
08:54:01;08:54:01;B;-574.34;1490.3;25.0;
08:54:02;08:54:02;B;-569.74;1490.0;26.0;
08:54:03;08:54:03;B;-565.35;1490.0;26.0;
08:54:04;08:54:04;B;-561.55;1490.0;26.0;
08:54:05;08:54:05;B;-561.55;1490.0;26.0;
08:54:06;08:54:06;B;-561.55;1490.0;26.0;
08:54:07;08:54:07;B;-561.4;1490.2;23.0;
08:54:08;08:54:08;B;-561.2;1490.2;23.0;
08:54:09;08:54:09;B;-561.93;1490.2;23.0;
08:54:10;08:54:10;B;-561.93;1490.2;23.0;
08:54:11;08:54:11;B;-561.93;1490.2;23.0;
