"# Flow rate: avg: 188.0528 [m3/h] 
# Median: 188.0150 [m3/h]
# Mode: 201.6600 [m3/h]
# Max: 201.6600 [m3/h]
# Min: 182.4900 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 09:05:54
# Par.Record       :
# Meas. Point No.: : B:47.10
# Outer Diameter  :     273.0 mm
# Wall Thickness  :       6.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     160.3 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        58

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:05:54;09:05:54;B;201.66;1483.8;43.0;
09:05:55;09:05:55;B;201.66;1483.8;43.0;
09:05:56;09:05:56;B;192.64;1483.8;42.0;
09:05:57;09:05:57;B;191.95;1483.8;42.0;
09:05:58;09:05:58;B;189.21;1483.3;44.0;
09:05:59;09:05:59;B;182.49;1483.3;44.0;
09:06:00;09:06:00;B;182.49;1483.3;44.0;
09:06:01;09:06:01;B;185.05;1487.3;40.0;
09:06:02;09:06:02;B;185.05;1487.3;40.0;
09:06:03;09:06:03;B;194.27;1493.5;41.0;
09:06:04;09:06:04;B;193.81;1500.9;40.0;
09:06:05;09:06:05;B;189.57;1500.9;40.0;
09:06:06;09:06:06;B;187.31;1504.7;40.0;
09:06:07;09:06:07;B;188.47;1504.7;40.0;
09:06:08;09:06:08;B;185.36;1506.3;40.0;
09:06:09;09:06:09;B;185.71;1506.9;41.0;
09:06:10;09:06:10;B;185.71;1506.9;41.0;
09:06:11;09:06:11;B;184.79;1506.6;42.0;
09:06:12;09:06:12;B;186.68;1505.7;42.0;
09:06:13;09:06:13;B;186.44;1503.8;42.0;
09:06:14;09:06:14;B;189.27;1503.8;42.0;
09:06:15;09:06:15;B;189.21;1502.3;41.0;
09:06:16;09:06:16;B;190.44;1502.7;42.0;
09:06:17;09:06:17;B;187.97;1501.1;41.0;
09:06:18;09:06:18;B;188.73;1501.1;41.0;
09:06:19;09:06:19;B;186.74;1499.3;42.0;
09:06:20;09:06:20;B;186.57;1498.6;42.0;
09:06:21;09:06:21;B;186.57;1498.6;42.0;
09:06:22;09:06:22;B;188.56;1497.7;42.0;
09:06:23;09:06:23;B;187.73;1496.8;42.0;
09:06:24;09:06:24;B;188.06;1495.8;42.0;
09:06:25;09:06:25;B;188.17;1495.8;42.0;
09:06:26;09:06:26;B;187.4;1495.2;41.0;
09:06:27;09:06:27;B;187.72;1495.2;41.0;
09:06:28;09:06:28;B;188.92;1495.2;41.0;
09:06:29;09:06:29;B;190.34;1495.1;41.0;
09:06:30;09:06:30;B;190.2;1495.2;41.0;
09:06:31;09:06:31;B;189.94;1495.2;41.0;
09:06:32;09:06:32;B;188.62;1494.8;41.0;
09:06:33;09:06:33;B;188.62;1494.8;41.0;
09:06:34;09:06:34;B;189.01;1494.7;40.0;
09:06:35;09:06:35;B;189.06;1494.7;41.0;
09:06:36;09:06:36;B;189.13;1494.7;41.0;
09:06:37;09:06:37;B;188.13;1494.7;40.0;
09:06:38;09:06:38;B;188.28;1495.1;40.0;
09:06:39;09:06:39;B;188.16;1495.5;40.0;
09:06:40;09:06:40;B;188.22;1495.5;40.0;
09:06:41;09:06:41;B;187.27;1496.2;39.0;
09:06:42;09:06:42;B;187.27;1496.2;39.0;
09:06:43;09:06:43;B;186.91;1496.6;40.0;
09:06:44;09:06:44;B;186.62;1496.9;41.0;
09:06:45;09:06:45;B;186.35;1496.9;41.0;
09:06:46;09:06:46;B;185.11;1497.4;40.0;
09:06:47;09:06:47;B;184.48;1497.7;40.0;
09:06:48;09:06:48;B;184.49;1497.7;40.0;
09:06:49;09:06:49;B;182.98;1498.2;40.0;
09:06:50;09:06:50;B;182.61;1498.2;40.0;
09:06:51;09:06:51;B;182.88;1496.0;40.0;
