"# Flow rate: avg: 762.6774 [m3/h] 
# Median: 758.6800 [m3/h]
# Mode: 752.2200 [m3/h]
# Max: 799.2200 [m3/h]
# Min: 723.3300 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 09:12:11
# Par.Record       : Par.Record    04
# Meas. Point No.: : B:05.06
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       5.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     198.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       114

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:12:11;09:12:11;B;752.22;1494.7;40.0;
09:12:12;09:12:12;B;752.22;1494.7;40.0;
09:12:13;09:12:13;B;752.22;1494.7;40.0;
09:12:14;09:12:14;B;749.94;1492.4;44.0;
09:12:15;09:12:15;B;753.99;1492.4;44.0;
09:12:16;09:12:16;B;752.53;1492.4;44.0;
09:12:17;09:12:17;B;752.53;1492.4;44.0;
09:12:18;09:12:18;B;763.42;1493.6;43.0;
09:12:19;09:12:19;B;761.45;1493.6;43.0;
09:12:20;09:12:20;B;761.45;1493.6;43.0;
09:12:21;09:12:21;B;762.27;1494.5;44.0;
09:12:22;09:12:22;B;754.2;1494.5;44.0;
09:12:23;09:12:23;B;754.2;1494.5;44.0;
09:12:24;09:12:24;B;750.75;1495.7;45.0;
09:12:25;09:12:25;B;748.61;1495.7;45.0;
09:12:26;09:12:26;B;750.7;1495.7;45.0;
09:12:27;09:12:27;B;750.7;1495.7;45.0;
09:12:28;09:12:28;B;749.53;1494.2;46.0;
09:12:29;09:12:29;B;747.92;1494.2;46.0;
09:12:30;09:12:30;B;747.92;1494.2;46.0;
09:12:31;09:12:31;B;723.33;1492.9;46.0;
09:12:32;09:12:32;B;723.33;1492.9;46.0;
09:12:33;09:12:33;B;765.09;1493.7;47.0;
09:12:34;09:12:34;B;765.09;1493.7;47.0;
09:12:35;09:12:35;B;798.29;1494.7;47.0;
09:12:36;09:12:36;B;794.15;1494.7;47.0;
09:12:37;09:12:37;B;796.48;1495.8;47.0;
09:12:38;09:12:38;B;795.37;1495.8;47.0;
09:12:39;09:12:39;B;785.74;1497.1;47.0;
09:12:40;09:12:40;B;787.53;1497.1;47.0;
09:12:41;09:12:41;B;799.22;1497.7;48.0;
09:12:42;09:12:42;B;793.99;1498.5;46.0;
09:12:43;09:12:43;B;783.0;1498.5;46.0;
09:12:44;09:12:44;B;768.98;1499.0;48.0;
09:12:45;09:12:45;B;768.98;1499.0;48.0;
09:12:46;09:12:46;B;774.16;1499.6;44.0;
09:12:47;09:12:47;B;775.92;1499.6;44.0;
09:12:48;09:12:48;B;775.57;1500.2;46.0;
09:12:49;09:12:49;B;776.48;1500.2;46.0;
09:12:50;09:12:50;B;???;1500.1;45.0;
09:12:51;09:12:51;B;???;1500.1;45.0;
09:12:52;09:12:52;B;766.72;1501.4;45.0;
09:12:53;09:12:53;B;766.72;1501.4;45.0;
09:12:54;09:12:54;B;765.1;1500.4;46.0;
09:12:55;09:12:55;B;765.1;1500.4;46.0;
09:12:56;09:12:56;B;760.07;1499.2;43.0;
09:12:57;09:12:57;B;756.33;1499.2;43.0;
09:12:58;09:12:58;B;754.39;1497.4;50.0;
09:12:59;09:12:59;B;751.3;1497.4;50.0;
09:13:00;09:13:00;B;753.26;1496.5;49.0;
09:13:01;09:13:01;B;753.94;1496.5;49.0;
09:13:02;09:13:02;B;753.28;1495.7;49.0;
09:13:03;09:13:03;B;754.82;1495.7;49.0;
09:13:04;09:13:04;B;755.73;1495.1;47.0;
09:13:05;09:13:05;B;755.92;1495.1;47.0;
09:13:06;09:13:06;B;755.92;1495.1;47.0;
09:13:07;09:13:07;B;756.62;1496.8;36.0;
09:13:08;09:13:08;B;756.33;1496.8;36.0;
09:13:09;09:13:09;B;756.33;1496.8;36.0;
09:13:10;09:13:10;B;756.89;1496.0;48.0;
09:13:11;09:13:11;B;758.44;1496.0;48.0;
09:13:12;09:13:12;B;758.55;1496.0;48.0;
09:13:13;09:13:13;B;754.88;1494.5;48.0;
09:13:14;09:13:14;B;748.66;1494.5;48.0;
09:13:15;09:13:15;B;745.81;1492.9;50.0;
09:13:16;09:13:16;B;745.02;1492.9;50.0;
09:13:17;09:13:17;B;745.24;1491.2;49.0;
09:13:18;09:13:18;B;742.05;1491.2;49.0;
09:13:19;09:13:19;B;743.61;1491.6;48.0;
09:13:20;09:13:20;B;751.18;1491.6;48.0;
09:13:21;09:13:21;B;751.18;1491.6;48.0;
09:13:22;09:13:22;B;752.19;1491.1;46.0;
09:13:23;09:13:23;B;752.19;1491.1;46.0;
09:13:24;09:13:24;B;754.37;1491.6;46.0;
09:13:25;09:13:25;B;754.37;1491.6;46.0;
09:13:26;09:13:26;B;758.68;1492.4;42.0;
09:13:27;09:13:27;B;758.68;1492.4;42.0;
09:13:28;09:13:28;B;764.62;1494.8;43.0;
09:13:29;09:13:29;B;765.64;1494.8;43.0;
09:13:30;09:13:30;B;764.6;1495.1;46.0;
09:13:31;09:13:31;B;762.84;1495.1;46.0;
09:13:32;09:13:32;B;761.62;1496.8;46.0;
09:13:33;09:13:33;B;761.63;1496.8;46.0;
09:13:34;09:13:34;B;761.68;1496.8;46.0;
09:13:35;09:13:35;B;761.68;1496.8;46.0;
09:13:36;09:13:36;B;765.39;1496.5;46.0;
09:13:37;09:13:37;B;770.9;1496.5;46.0;
09:13:38;09:13:38;B;770.9;1496.5;46.0;
09:13:39;09:13:39;B;778.31;1497.8;46.0;
09:13:40;09:13:40;B;779.04;1497.8;46.0;
09:13:41;09:13:41;B;781.61;1499.0;46.0;
09:13:42;09:13:42;B;782.4;1499.0;46.0;
09:13:43;09:13:43;B;783.5;1498.7;45.0;
09:13:44;09:13:44;B;782.93;1498.7;45.0;
09:13:45;09:13:45;B;783.87;1499.8;48.0;
09:13:46;09:13:46;B;784.97;1499.8;48.0;
09:13:47;09:13:47;B;774.08;1497.5;46.0;
09:13:48;09:13:48;B;774.08;1497.5;46.0;
09:13:49;09:13:49;B;774.08;1497.5;46.0;
09:13:50;09:13:50;B;???;28.0;
09:13:51;09:13:51;B;???;28.0;
09:13:52;09:13:52;B;???;28.0;
09:13:53;09:13:53;B;???;13.0;
09:13:54;09:13:54;B;???;13.0;
09:13:55;09:13:55;B;???;34.0;
09:13:56;09:13:56;B;???;34.0;
09:13:57;09:13:57;B;???;34.0;
09:13:58;09:13:58;B;???;19.0;
09:13:59;09:13:59;B;???;19.0;
09:14:00;09:14:00;B;???;19.0;
09:14:01;09:14:01;B;???;21.0;
09:14:02;09:14:02;B;???;21.0;
09:14:03;09:14:03;B;???;21.0;
09:14:04;09:14:04;B;???;35.0;
