"# Flow rate: avg: -20.0079 [m3/h] 
# Median: -19.8500 [m3/h]
# Mode: -21.9100 [m3/h]
# Max: -17.1800 [m3/h]
# Min: -21.9100 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 09:21:20
# Par.Record       : Par.Record    04
# Meas. Point No.: : B:06.22
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       4.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      36.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        43

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:21:20;09:21:20;B;???;32.0;
09:21:21;09:21:21;B;???;32.0;
09:21:22;09:21:22;B;-21.91;1834.4;34.0;
09:21:23;09:21:23;B;-21.91;1834.4;34.0;
09:21:24;09:21:24;B;-21.21;1675.9;39.0;
09:21:25;09:21:25;B;-21.21;1675.9;39.0;
09:21:26;09:21:26;B;-21.09;1624.0;39.0;
09:21:27;09:21:27;B;-20.44;1624.0;39.0;
09:21:28;09:21:28;B;-20.26;1627.0;39.0;
09:21:29;09:21:29;B;-20.95;1610.6;39.0;
09:21:30;09:21:30;B;???;1547.8;40.0;
09:21:31;09:21:31;B;-21.4;1545.5;40.0;
09:21:32;09:21:32;B;-20.68;1545.5;40.0;
09:21:33;09:21:33;B;-20.89;1539.5;38.0;
09:21:34;09:21:34;B;-19.12;1545.9;39.0;
09:21:35;09:21:35;B;-18.92;1550.7;40.0;
09:21:36;09:21:36;B;-18.58;1550.7;40.0;
09:21:37;09:21:37;B;-18.63;1549.4;40.0;
09:21:38;09:21:38;B;-17.37;1553.1;40.0;
09:21:39;09:21:39;B;-17.18;1553.1;40.0;
09:21:40;09:21:40;B;-18.95;1546.5;40.0;
09:21:41;09:21:41;B;-19.06;1538.4;40.0;
09:21:42;09:21:42;B;-19.3;1531.3;40.0;
09:21:43;09:21:43;B;-19.69;1522.4;40.0;
09:21:44;09:21:44;B;-19.37;1522.4;40.0;
09:21:45;09:21:45;B;-19.17;1520.8;41.0;
09:21:46;09:21:46;B;-19.07;1517.8;41.0;
09:21:47;09:21:47;B;-19.07;1517.8;41.0;
09:21:48;09:21:48;B;-18.93;1516.7;40.0;
09:21:49;09:21:49;B;-18.97;1520.0;41.0;
09:21:50;09:21:50;B;-19.16;1517.9;41.0;
09:21:51;09:21:51;B;-19.32;1529.1;41.0;
09:21:52;09:21:52;B;-19.43;1529.1;41.0;
09:21:53;09:21:53;B;-19.85;1546.1;41.0;
09:21:54;09:21:54;B;-20.34;1549.7;42.0;
09:21:55;09:21:55;B;-20.72;1547.3;43.0;
09:21:56;09:21:56;B;-21.08;1545.4;42.0;
09:21:57;09:21:57;B;-21.41;1545.4;42.0;
09:21:58;09:21:58;B;-21.47;1538.2;41.0;
09:21:59;09:21:59;B;-21.47;1531.6;40.0;
09:22:00;09:22:00;B;-21.48;1531.6;40.0;
09:22:01;09:22:01;B;???;1524.2;40.0;
09:22:02;09:22:02;B;-21.25;1517.4;40.0;
