POINTNAMES,NEWNAMES
STE-03,573-03
AT-2,8105
PM-V-3,573-03
AT-EI906-RT,3906
47.09,06.07
47.08,05.06
AT-E100,3100.03
AT-E100-RT,3100.03
AT-3,8106
AT-5,8104
AT-COL-2,8107
AT-4,8108
AT-EI906,3906
AT-EI9061006-RT,3900.03
AT-EI1006,31006
AT-E800,3800.01
AT-PEC,3100.01
4711,4710
4700.01,4700.01
AT-COL-6,8109
AT-6,8109
STE-07,573-07
3-900-02,3900.02
1191,1191
PM-V-4,573-04
STE-04,573-04
AT-COL-345,8100
AT-345,8100
AT-COL-3,8106
AT-COL-4,8108
AT-EI906-cambiando-posicion,3906
AT-PEC-RT,3100.01
PM-V-7,573-07
47-1,8105
1181,1181
1192,1192
47.11,11.12
4601,4500.01
4602,4500.01
4605,4500.01
47.1,10.11
4700,4700
47.17,15.16
47.16,15.16
3900.01,3900.01
3700.01,3700.01
5.06,5.06
AT-COL-1,8105
AT-1,8105
AT-COL-5,8104
PM-V-2,373-02
STE-02,573-02
STE-08,573-08
PM-V-10,573-10
STE-10,573-10
7357,7357
47-2,8107
47-3,8106
47-4,8108
47-5,8105
0,
AT-7,00.01
AT-COL-350,00.01
AT-EI9061006,3900.03
AT-EI9061006-5-cambiando-posicion,3900.03
AT-EI9061006-3i4,3900.03
AT-EI9061006-3i1,3900.03
AT-EI9061006-3-experiment,3900.03
AT-EI9061006-1-experiment,3900.03
STE-01,573-01
AT-EI150,3150
AT-EI150RARO2,3150
AT-EI150RARO,3150
AT-EI102-RT,3102
AT-EI102,3102
AT-E800-experiment,3800
AT-EI9001006-experiment,3900.02
AT-EI9061006-experiment,3900.02
AT-EI906-experiment,3906
STE-05,573-05
-711,5700
1-170,1170
3-900-01,3900.01
3-900-04,3900.03
52107,52107
52207,52207
1182,1182
47.11.3,
4501,4501
4603,4600.01
4604,5600.01
47.19,
4811,4810
4741,4740
47.05,8104
3806,3806
3801,3801
3900.02,3900.02
47-6.7,6.07
5800.01,5800.01
8107,8107
8105,8105
6.07,06.07
3100.01,3100.01
PM-V-8,573-08
PM-V-11,573-11
STE-11,573-11
35248,573-03
temp,
AT-E900E1000-3-experiment,3900.01
AT-E900E1000-1-experiment,3900.01
PM-V-1,573-01
44520,573-01
AT-EI806,3806
AT-EI801,3801
573-5,573-05
-202,4202
-303,4303
1-120,1120
1-160,1160
273-0,10.11
273,10.11
3-100-01,3100.01
3-100-02,3100.02
3-100-04,3100.03
3-700-01,3700.01
3-800-02,3801
3-800-03,3806
3-800-03,3806
3-900-08,31006
3-900-09,3906
31-701,5700
323,06.07
5-800-01,5800.01
5-800-02,5801
5-800-03,5802
47-8,05.06
52101,52100.01
5601,5600
4200.01,4200.01
3906,39006
31006,31006
3900.03,3900.03
31001,31001
3901,3901
5700.01,5700
47-6.22,06.22
47-5.6,05.06
47-10.11,10.11
47-11.12,11.12
1120,1120
6.22,06.22
01-Mar,
251209t134322,
