# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 09:18:34
# Par.Record       :
# Meas. Point No.: : B:-710-01
# Outer Diameter  :     168.3 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      78.5 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        44
# Average MEASURE: 29.4309375
# Average SSPEED: 1155.8795454545455

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,31.09,1481.4,42.0
B,30.13,1484.2,42.0
B,27.58,1484.2,42.0
B,27.58,1484.2,42.0
B,29.36,1508.4,40.0
B,29.44,1504.5,44.0
B,28.47,1504.5,44.0
B,27.43,1502.2,44.0
B,28.78,1502.2,46.0
B,28.72,1502.2,46.0
B,28.67,1501.0,47.0
B,30.13,1501.0,47.0
B,31.39,1499.9,47.0
B,31.79,1501.5,47.0
B,30.1,1500.2,47.0
B,29.78,1500.2,47.0
B,28.56,1498.4,47.0
B,29.45,1496.4,47.0
B,30.49,1494.3,47.0
B,29.39,1494.3,47.0
B,29.56,1492.1,47.0
B,29.65,1492.1,47.0
B,28.88,1489.7,47.0
B,28.83,1487.3,47.0
B,28.74,1487.3,47.0
B,29.49,1485.0,47.0
B,29.79,1484.6,46.0
B,29.92,1484.1,47.0
B,29.76,1484.1,47.0
B,29.77,1483.6,47.0
B,29.77,1483.6,47.0
B,29.3,1483.0,47.0
B,???,1483.5,42.0
B,???,1483.5,42.0
B,???,11.0
