# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 12:01:37
# Par.Record       :
# Meas. Point No.: : B:1-120
# Outer Diameter  :     141.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      57.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        87
# Average MEASURE: 85.15233333333335
# Average SSPEED: 1180.1367816091954

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,12.0
B,???,12.0
B,???,12.0
B,???,12.0
B,???,12.0
B,91.6,1574.8,16.0
B,89.38,1552.6,44.0
B,84.31,1552.6,44.0
B,82.26,1552.6,44.0
B,78.87,1556.8,42.0
B,76.87,1556.8,42.0
B,76.87,1556.8,42.0
B,71.73,1555.4,42.0
B,71.73,1555.4,42.0
B,78.99,1554.7,41.0
B,80.36,1554.7,41.0
B,85.27,1551.7,42.0
B,85.55,1549.5,41.0
B,86.26,1549.5,41.0
B,83.7,1549.6,42.0
B,81.53,1552.3,42.0
B,84.47,1552.3,42.0
B,88.64,1553.8,43.0
B,89.69,1555.0,44.0
B,90.08,1555.0,44.0
B,89.51,1555.3,46.0
B,89.18,1554.9,47.0
B,89.37,1554.9,47.0
B,89.36,1554.5,47.0
B,89.58,1557.4,47.0
B,89.56,1559.7,47.0
B,89.9,1559.7,47.0
B,89.96,1557.5,46.0
B,90.31,1558.8,46.0
B,90.28,1560.5,46.0
B,90.42,1560.5,46.0
B,90.52,1557.7,46.0
B,90.07,1550.9,42.0
B,88.72,1550.9,42.0
B,87.63,1535.6,42.0
B,86.91,1519.6,44.0
B,86.22,1519.6,44.0
B,85.61,1503.4,44.0
B,85.37,1488.6,46.0
B,85.42,1474.3,47.0
B,85.36,1474.3,47.0
B,85.25,1475.5,47.0
B,85.25,1477.2,48.0
B,85.26,1477.2,48.0
B,85.31,1478.8,48.0
B,85.34,1480.6,48.0
B,85.46,1482.4,48.0
B,85.39,1482.4,48.0
B,85.43,1482.3,48.0
B,85.55,1482.3,48.0
B,85.48,1479.4,48.0
B,???,1479.4,48.0
B,???,1479.4,48.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,1488.6,34.0
B,???,1488.6,34.0
B,???,28.0
B,84.46,1498.8,36.0
B,83.99,1503.1,42.0
B,83.59,1503.1,42.0
B,82.35,1499.0,43.0
B,82.35,1499.0,43.0
B,80.66,1494.7,41.0
B,80.25,1490.1,38.0
B,80.12,1490.1,38.0
B,80.23,1490.7,37.0
B,???,1541.9,36.0
B,???,36.0
B,???,28.0
B,???,30.0
B,???,38.0
B,???,27.0
B,???,32.0
B,???,1560.9,34.0
B,???,1560.9,34.0
B,???,31.0
B,???,29.0
B,???,11.0
B,???,11.0
