# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 12:05:41
# Par.Record       :
# Meas. Point No.: : B:1-160
# Outer Diameter  :     129.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      44.7 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        61
# Average MEASURE: 76.33618181818181
# Average SSPEED: 1358.3600000000001

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???
B,???,13.0
B,???,13.0
B,77.82,1474.9,69.0
B,78.0,1477.1,67.0
B,78.4,1477.1,67.0
B,79.61,1478.1,69.0
B,81.07,1478.6,70.0
B,80.76,1479.0,70.0
B,79.4,1479.0,70.0
B,79.61,1480.1,69.0
B,80.36,1480.1,69.0
B,80.8,1480.1,69.0
B,84.5,1480.2,68.0
B,84.5,1480.2,68.0
B,83.33,1480.2,67.0
B,82.66,1480.3,67.0
B,83.62,1480.3,67.0
B,83.41,1480.3,67.0
B,82.59,1480.1,64.0
B,79.68,1480.9,54.0
B,75.55,1480.9,54.0
B,???,54.0
B,72.96,1483.5,54.0
B,72.89,1482.0,55.0
B,74.52,1482.0,55.0
B,74.5,1482.0,69.0
B,74.43,1482.0,69.0
B,74.23,1481.4,65.0
B,74.73,1480.9,67.0
B,74.36,1480.5,69.0
B,74.16,1480.5,69.0
B,74.05,1480.1,69.0
B,74.09,1479.6,68.0
B,74.09,1479.6,68.0
B,74.43,1479.6,68.0
B,74.49,1479.7,68.0
B,74.08,1479.7,68.0
B,74.02,1479.8,68.0
B,74.11,1480.0,68.0
B,74.03,1480.0,68.0
B,74.16,1480.1,68.0
B,74.09,1480.1,67.0
B,74.06,1480.1,67.0
B,73.64,1479.8,67.0
B,73.64,1479.8,67.0
B,73.44,1479.7,67.0
B,73.31,1479.5,67.0
B,73.15,1479.3,66.0
B,73.29,1479.3,66.0
B,72.99,1479.3,66.0
B,72.91,1479.3,66.0
B,72.61,1479.3,66.0
B,72.88,1479.3,66.0
B,73.32,1479.4,68.0
B,73.99,1479.4,68.0
B,75.27,1480.1,64.0
B,75.65,1480.7,64.0
B,76.25,1480.7,64.0
B,???,13.0
B,???,13.0
