# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 12:09:02
# Par.Record       :
# Meas. Point No.: : B:1-170
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      33.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        53
# Average MEASURE: 55.43571428571428
# Average SSPEED: 1191.9245283018868

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,1467.3,37.0
B,-65.78,1463.9,56.0
B,-66.49,1463.9,56.0
B,???,1463.9,60.0
B,???,1463.9,60.0
B,???,1463.9,60.0
B,???,15.0
B,???,24.0
B,???,24.0
B,???,1464.0,51.0
B,???,1464.0,51.0
B,???,1464.0,51.0
B,53.89,1464.7,47.0
B,56.34,1464.7,47.0
B,62.1,1464.8,44.0
B,61.21,1465.1,44.0
B,60.88,1465.1,44.0
B,60.73,1465.5,39.0
B,59.92,1467.0,31.0
B,58.16,1467.0,31.0
B,58.16,1467.0,31.0
B,61.54,1467.4,50.0
B,64.98,1467.8,50.0
B,64.98,1467.6,51.0
B,64.95,1467.6,51.0
B,64.72,1467.1,51.0
B,64.21,1466.6,54.0
B,64.19,1466.6,54.0
B,64.54,1466.1,56.0
B,64.6,1465.5,56.0
B,64.27,1465.5,56.0
B,64.18,1465.5,57.0
B,64.04,1465.5,57.0
B,64.15,1465.5,55.0
B,64.18,1465.4,56.0
B,64.11,1465.4,56.0
B,64.12,1465.4,56.0
B,64.15,1465.4,54.0
B,64.15,1465.4,54.0
B,64.26,1465.4,54.0
B,64.17,1465.4,54.0
B,64.25,1465.4,54.0
B,64.19,1465.4,54.0
B,64.22,1465.2,52.0
B,63.98,1465.1,51.0
B,???,1465.1,51.0
B,???,13.0
