Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
2	11/12/2025 1:03:10 PM		-0.175999999046326	-9.61652901023626	98	101	10	134.100006103516	∞	-2.51915480475873	-25	0	8	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	100.30303030303
3	11/12/2025 1:03:20 PM		-0.17399999499321	-9.4746820628643	98	101	10	134.100006103516	∞	-2.49052809085697	-25	0	8	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	100.30303030303
4	11/12/2025 1:03:30 PM		-0.172999992966652	-9.43167954683304	97	101	10	134.100006103516	∞	-2.47621473390609	-25	0	8	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
5	11/12/2025 1:03:40 PM		NaN	NaN	97	100	10	134.100006103516	∞	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	99.2929292929293
6	11/12/2025 1:03:50 PM		NaN	NaN	97	100	30	104.300003051758	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	99.2929292929293
7	11/12/2025 1:04:00 PM		NaN	NaN	97	100	30	104.300003051758	92	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	99.2929292929293
8	11/12/2025 1:04:10 PM		NaN	NaN	97	100	29	105.790000915527	92	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	99.2929292929293
9	11/12/2025 1:04:20 PM		NaN	NaN	97	100	29	105.790000915527	92	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	99.2929292929293
10	11/12/2025 1:04:30 PM		-0.164000004529953	-8.91719246283174	97	100	29	105.790000915527	92	-2.3473943118006	-14	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.2929292929293
11	11/12/2025 1:04:40 PM		-0.185000002384186	-10.0952387787402	97	100	29	105.790000915527	92	-2.64797522686422	-14	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.2929292929293
12	11/12/2025 1:04:50 PM		-0.197999998927116	-10.7758300378919	97	101	29	105.790000915527	92	-2.83404907677323	-14	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
13	11/12/2025 1:05:00 PM		-0.200000002980232	-10.9307317994535	97	101	29	105.790000915527	92	-2.86267600022256	-14	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
14	11/12/2025 1:05:10 PM		-0.189999997615814	-10.3369804099202	97	101	29	105.790000915527	92	-2.71954222116619	-14	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
15	11/12/2025 1:05:20 PM		-0.18299999833107	-9.97381350025535	97	101	29	105.790000915527	92	-2.61934851296246	-14	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
16	11/12/2025 1:05:30 PM		-0.19200000166893	-10.449480637908	97	101	29	105.790000915527	92	-2.74816893506795	-13	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
17	11/12/2025 1:05:40 PM		-0.196999996900558	-10.7162799686193	97	101	29	105.790000915527	92	-2.81973571982235	-13	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	99.7979797979798
18	11/12/2025 1:05:50 PM		-0.204999998211861	-11.2043808214366	98	101	29	105.790000915527	92	-2.93424278497696	-11	0	2	∞	2	0	0	0	0	1	0	0	0	0	0	0	0	100.30303030303
19	11/12/2025 1:06:00 PM		NaN	NaN	98	101	31	102.809997558594	92	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	100.30303030303
20	11/12/2025 1:06:10 PM		NaN	NaN	98	101	34	98.3399963378906	92	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	100.30303030303
