Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	2/5/2026 1:14:55 PM		NaN	NaN	497.773986816406	124	122	28	107.279998779297	83	NaN	21	17	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	124.040404040404
2	2/5/2026 1:15:55 PM		1.99000000953674	357.402849197388	508.105010986328	125	123	29	105.790000915527	39	94.6510456502438	21	17	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	125.050505050505
3	2/5/2026 1:16:55 PM		2.11899995803833	380.647355318069	505.148986816406	126	123	29	105.790000915527	95	100.786712765694	18	16	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	125.555555555556
4	2/5/2026 1:17:55 PM		2.04299998283386	367.037183046341	501.938995361328	127	124	28	107.279998779297	91	97.1718996763229	15	16	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	126.565656565657
5	2/5/2026 1:18:55 PM		2.00399994850159	359.893012046814	499.183013916016	127	125	29	105.790000915527	83	95.316930860281	14	17	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	127.070707070707
6	2/5/2026 1:19:55 PM		2.05699992179871	369.471663236618	498.863006591797	127	125	29	105.790000915527	97	97.8377848863602	16	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.070707070707
7	2/5/2026 1:20:55 PM		2.10500001907349	378.131309151649	498.468994140625	128	126	29	105.790000915527	82	100.120827555656	18	16	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	128.080808080808
8	2/5/2026 1:21:55 PM		1.98500001430511	356.602370738983	498.56298828125	129	126	29	105.790000915527	98	94.4132275879383	19	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.585858585859
9	2/5/2026 1:22:55 PM		2.13499999046326	383.521181344986	499.244995117188	129	127	29	105.790000915527	97	101.547729223967	19	17	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	129.090909090909
10	2/5/2026 1:23:55 PM		2.11500000953674	379.882282018661	500.204010009766	130	127	29	105.790000915527	79	100.596463680267	18	16	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	129.59595959596
11	2/5/2026 1:24:55 PM		2.00399994850159	359.946548938751	496.597991943359	131	128	29	105.790000915527	81	95.316930860281	15	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.606060606061
12	2/5/2026 1:25:55 PM		2.19600009918213	394.403573870659	502.165985107422	131	128	29	105.790000915527	86	104.449094831944	19	17	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	130.606060606061
13	2/5/2026 1:26:55 PM		2.08200001716614	373.959320783615	496.888000488281	132	129	29	105.790000915527	96	99.0268684923649	15	17	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	131.616161616162
14	2/5/2026 1:27:55 PM		2.03800010681152	366.064238548279	497.661987304688	132	130	29	105.790000915527	96	96.9340816140175	18	17	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	132.121212121212
15	2/5/2026 1:28:55 PM		2.16499996185303	388.890078663826	497.549011230469	132	131	29	105.790000915527	96	102.974630892277	19	16	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	132.626262626263
16	2/5/2026 1:29:55 PM		2.04299998283386	367.05324947834	498.111999511719	133	131	29	105.790000915527	98	97.1718996763229	21	17	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	133.131313131313
17	2/5/2026 1:30:55 PM		2.16700005531311	389.256146550179	498.087005615234	134	132	29	105.790000915527	96	103.06975543499	17	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.141414141414
