Index	Date	Trigger	A Flow velocity [m/s]	A Volumetric flow rate [m³/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	2/24/2026 1:49:17 PM		NaN	NaN	494.252990722656	150	145	41	87.9100036621094	86	24	32	25	178	0	0	0	0	0	0	0	0	0	0	0	0	0	148.787878787879
2	2/24/2026 1:59:17 PM		3.47410941123962	112.671688199043	492.865997314453	149	145	41	87.9100036621094	85	25	37	26	254	0	0	0	0	0	0	0	0	0	0	0	0	0	148.282828282828
3	2/24/2026 2:09:17 PM		3.49896860122681	113.477919995785	492.947998046875	149	145	41	87.9100036621094	87	25	36	24	254	0	0	0	0	0	0	0	0	0	0	0	0	0	148.282828282828
4	2/24/2026 2:19:17 PM		3.55325722694397	115.238602459431	492.908996582031	149	144	41	87.9100036621094	65	26	36	27	84	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
5	2/24/2026 2:29:17 PM		3.75450348854065	121.76538258791	492.727996826172	149	144	42	86.4199981689453	82	28	36	27	97	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
6	2/24/2026 2:39:17 PM		3.80992674827576	123.56286495924	493.167999267578	149	144	39	90.8899993896484	75	31	33	26	254	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
7	2/24/2026 2:49:17 PM		5.51408386230469	178.831779956818	494.782012939453	149	144	40	89.4000015258789	66	27	36	21	171	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
8	2/24/2026 2:59:17 PM		6.04735136032104	196.126610040665	493.0419921875	149	144	39	90.8899993896484	76	27	33	20	254	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
9	2/24/2026 3:09:17 PM		6.80769157409668	220.785833895206	492.851013183594	149	144	39	90.8899993896484	22	26	33	21	254	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
10	2/24/2026 3:19:17 PM		6.80959796905518	220.847658813	505.885009765625	149	144	40	89.4000015258789	57	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
11	2/24/2026 3:29:17 PM		6.59614181518555	213.924890756607	492.938995361328	149	144	40	89.4000015258789	61	27	35	21	254	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
12	2/24/2026 3:39:17 PM		6.8196120262146	221.172434091568	492.764007568359	149	144	38	92.379997253418	90	17	31	19	185	0	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
13	2/24/2026 3:49:17 PM		6.79737281799316	220.451174676418	∞	149	144	38	92.379997253418	0	26	30	19	192	2	0	0	0	0	0	0	0	0	0	0	0	0	147.777777777778
14	2/24/2026 3:59:17 PM		5.27991962432861	171.237400174141	493.532989501953	149	145	40	89.4000015258789	50	25	33	23	254	0	0	0	0	0	0	0	0	0	0	0	0	0	148.282828282828
15	2/24/2026 4:09:17 PM		5.52325344085693	179.129156470299	494.936004638672	149	145	37	93.870002746582	87	25	30	17	254	0	0	0	0	0	0	0	0	0	0	0	0	0	148.282828282828
16	2/24/2026 4:19:17 PM		7.08060836791992	229.637029767036	∞	150	145	31	102.809997558594	54	17	22	0	∞	2	0	0	0	0	0	0	0	0	0	0	0	0	148.787878787879
17	2/24/2026 4:29:17 PM		8.77873039245605	284.710183739662	∞	150	145	28	107.279998779297	0	17	18	0	254	2	0	0	0	0	0	0	0	0	0	0	0	0	148.787878787879
18	2/24/2026 4:39:17 PM		6.46030807495117	209.519536793232	490.415985107422	150	146	40	89.4000015258789	74	22	32	21	191	0	0	0	0	0	0	0	0	0	0	0	0	0	149.292929292929
19	2/24/2026 4:49:17 PM		7.73112297058105	250.734373927116	492.785003662109	150	146	38	92.379997253418	62	17	31	15	254	0	0	0	0	0	0	0	0	0	0	0	0	0	149.292929292929
20	2/24/2026 4:59:17 PM		7.8244161605835	253.760066628456	∞	150	145	38	92.379997253418	0	20	32	13	254	2	0	0	0	0	0	0	0	0	0	0	0	0	148.787878787879
21	2/24/2026 5:09:17 PM		7.51055717468262	243.581029772758	493.121002197266	150	145	39	90.8899993896484	68	24	33	18	249	0	0	0	0	0	0	0	0	0	0	0	0	0	148.787878787879
