# MEASURE 
# Avg: 8.1965
# Median: 8.9600
# Mode: 8.9300
# Max: 10.5000
# Min: -8.9000
# MEASURE 
# Avg: 8.1965
# Median: 8.9600
# Mode: 8.9300
# Max: 10.5000
# Min: -8.9000
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 07:54:48
# Par.Record       :
# Meas. Point No.: : B:4501
# Outer Diameter  :      60.5 mm
# Wall Thickness  :       3.6 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :       5.0 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       142

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
07:54:48;07:54:48;B;???;15.0;
07:54:49;07:54:49;B;???;15.0;
07:54:50;07:54:50;B;-8.34;1208.5;12.0;
07:54:51;07:54:51;B;-8.34;1208.5;12.0;
07:54:52;07:54:52;B;-8.48;1340.1;48.0;
07:54:53;07:54:53;B;-8.9;1340.1;48.0;
07:54:54;07:54:54;B;???;1340.1;48.0;
07:54:55;07:54:55;B;???;1340.1;48.0;
07:54:56;07:54:56;B;???;13.0;
07:54:57;07:54:57;B;???;13.0;
07:54:58;07:54:58;B;???;12.0;
07:54:59;07:54:59;B;???;12.0;
07:55:00;07:55:00;B;-4.29;1392.2;51.0;
07:55:01;07:55:01;B;-0.71;1392.2;51.0;
07:55:02;07:55:02;B;-0.71;1392.2;51.0;
07:55:03;07:55:03;B;2.55;1415.6;26.0;
07:55:04;07:55:04;B;3.54;1415.6;26.0;
07:55:05;07:55:05;B;4.5;1415.6;26.0;
07:55:06;07:55:06;B;6.46;1430.3;26.0;
07:55:07;07:55:07;B;8.39;1430.3;26.0;
07:55:08;07:55:08;B;9.5;1441.4;26.0;
07:55:09;07:55:09;B;9.32;1441.4;26.0;
07:55:10;07:55:10;B;9.28;1448.9;26.0;
07:55:11;07:55:11;B;9.25;1448.9;26.0;
07:55:12;07:55:12;B;9.02;1454.3;26.0;
07:55:13;07:55:13;B;9.27;1454.3;26.0;
07:55:14;07:55:14;B;9.65;1490.3;26.0;
07:55:15;07:55:15;B;9.9;1490.3;26.0;
07:55:16;07:55:16;B;9.9;1490.3;26.0;
07:55:17;07:55:17;B;9.75;1489.2;26.0;
07:55:18;07:55:18;B;9.71;1488.0;26.0;
07:55:19;07:55:19;B;9.5;1488.0;26.0;
07:55:20;07:55:20;B;9.37;1489.3;26.0;
07:55:21;07:55:21;B;9.72;1489.3;26.0;
07:55:22;07:55:22;B;9.76;1489.6;26.0;
07:55:23;07:55:23;B;9.87;1489.6;26.0;
07:55:24;07:55:24;B;9.95;1489.6;26.0;
07:55:25;07:55:25;B;10.12;1489.6;26.0;
07:55:26;07:55:26;B;10.12;1489.6;26.0;
07:55:27;07:55:27;B;10.21;1489.5;26.0;
07:55:28;07:55:28;B;10.13;1489.5;26.0;
07:55:29;07:55:29;B;10.13;1489.5;26.0;
07:55:30;07:55:30;B;10.1;1488.5;26.0;
07:55:31;07:55:31;B;10.09;1488.5;26.0;
07:55:32;07:55:32;B;10.09;1488.5;26.0;
07:55:33;07:55:33;B;10.11;1487.2;26.0;
07:55:34;07:55:34;B;10.11;1487.2;26.0;
07:55:35;07:55:35;B;10.11;1487.2;26.0;
07:55:36;07:55:36;B;10.16;1485.9;26.0;
07:55:37;07:55:37;B;10.5;1485.9;26.0;
07:55:38;07:55:38;B;10.5;1485.9;26.0;
07:55:39;07:55:39;B;10.5;1485.9;26.0;
07:55:40;07:55:40;B;10.41;1484.8;55.0;
07:55:41;07:55:41;B;10.24;1484.8;55.0;
07:55:42;07:55:42;B;9.98;1484.1;54.0;
07:55:43;07:55:43;B;9.91;1484.1;54.0;
07:55:44;07:55:44;B;9.63;1482.8;54.0;
07:55:45;07:55:45;B;9.4;1481.5;54.0;
07:55:46;07:55:46;B;9.35;1480.3;54.0;
07:55:47;07:55:47;B;9.18;1480.3;54.0;
07:55:48;07:55:48;B;8.99;1479.3;54.0;
07:55:49;07:55:49;B;8.93;1477.8;54.0;
07:55:50;07:55:50;B;8.96;1477.8;54.0;
07:55:51;07:55:51;B;9.02;1477.5;54.0;
07:55:52;07:55:52;B;9.02;1478.6;50.0;
07:55:53;07:55:53;B;9.02;1478.6;50.0;
07:55:54;07:55:54;B;9.05;1479.3;49.0;
07:55:55;07:55:55;B;9.1;1478.9;49.0;
07:55:56;07:55:56;B;9.11;1477.0;47.0;
07:55:57;07:55:57;B;9.06;1477.0;47.0;
