# MEASURE 
# Avg: 0.0405
# Median: 0.0200
# Mode: 0.0100
# Max: 0.2800
# Min: -0.1100
# MEASURE 
# Avg: 0.0405
# Median: 0.0200
# Mode: 0.0100
# Max: 0.2800
# Min: -0.1100
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 08:27:23
# Par.Record       :
# Meas. Point No.: : B:4605
# Outer Diameter  :      22.0 mm
# Wall Thickness  :       1.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         1 NUM
# Transd. Distance :     -46.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        45

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:27:23;08:27:23;B;???;28.0;
08:27:24;08:27:24;B;???;74.0;
08:27:25;08:27:25;B;0.13;2452.8;71.0;
08:27:26;08:27:26;B;0.07;2325.1;66.0;
08:27:27;08:27:27;B;0.05;2275.0;66.0;
08:27:28;08:27:28;B;0.03;2275.0;66.0;
08:27:29;08:27:29;B;-0.11;2268.7;65.0;
08:27:30;08:27:30;B;-0.1;2295.4;62.0;
08:27:31;08:27:31;B;-0.07;2295.4;62.0;
08:27:32;08:27:32;B;0.01;2296.5;61.0;
08:27:33;08:27:33;B;0.03;2330.0;62.0;
08:27:34;08:27:34;B;0.02;2330.0;62.0;
08:27:35;08:27:35;B;0.02;2360.8;62.0;
08:27:36;08:27:36;B;0.06;2194.1;60.0;
08:27:37;08:27:37;B;0.05;2220.5;59.0;
08:27:38;08:27:38;B;0.05;2220.5;59.0;
08:27:39;08:27:39;B;0.04;2252.6;59.0;
08:27:40;08:27:40;B;0.13;2289.4;59.0;
08:27:41;08:27:41;B;0.12;2289.4;59.0;
08:27:42;08:27:42;B;0.09;2343.6;60.0;
08:27:43;08:27:43;B;0.06;2343.6;60.0;
08:27:44;08:27:44;B;0.02;2398.4;60.0;
08:27:45;08:27:45;B;0.02;2451.4;60.0;
08:27:46;08:27:46;B;0.02;2504.9;61.0;
08:27:47;08:27:47;B;0.01;2504.9;61.0;
08:27:48;08:27:48;B;0.01;2503.3;61.0;
08:27:49;08:27:49;B;0.01;2501.5;61.0;
08:27:50;08:27:50;B;0.01;2499.5;60.0;
08:27:51;08:27:51;B;0.01;2499.5;60.0;
08:27:52;08:27:52;B;0.01;2493.7;61.0;
08:27:53;08:27:53;B;0.01;2497.5;61.0;
08:27:54;08:27:54;B;0.0;2497.5;61.0;
08:27:55;08:27:55;B;0.0;2504.3;61.0;
08:27:56;08:27:56;B;0.0;2513.0;61.0;
08:27:57;08:27:57;B;0.0;2520.3;61.0;
08:27:58;08:27:58;B;0.0;2520.3;61.0;
08:27:59;08:27:59;B;-0.0;2527.0;61.0;
08:28:00;08:28:00;B;0.06;2346.0;67.0;
08:28:01;08:28:01;B;0.06;2346.0;67.0;
08:28:02;08:28:02;B;0.19;2372.0;68.0;
08:28:03;08:28:03;B;0.22;2396.8;66.0;
08:28:04;08:28:04;B;0.28;2396.8;66.0;
08:28:05;08:28:05;B;???;28.0;
08:28:06;08:28:06;B;???;24.0;
08:28:07;08:28:07;B;???;24.0;
