# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 10:42:43
# Par.Record       :
# Meas. Point No.: : B:4811
# Outer Diameter  :      76.1 mm
# Wall Thickness  :       3.6 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :       5.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        41
# MEASURE Stats -> Avg: -21.1983 | Median: -21.1100 | Mode: -21.5500 | Max: -19.9200 | Min: -22.9100
# SSPEED Stats -> Avg: 1335.1000 | Median: 1521.8000 | Mode: 13.0000 | Max: 1552.5000 | Min: 13.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:42:43;B;???;13.0;
10:42:44;B;???;13.0;
10:42:45;B;???;13.0;
10:42:46;B;???;13.0;
10:42:47;B;???;32.0;
10:42:48;B;-21.55;1474.0;33.0;
10:42:49;B;-21.55;1474.0;33.0;
10:42:50;B;-21.83;1552.5;32.0;
10:42:51;B;-22.68;1552.5;32.0;
10:42:52;B;-22.79;1552.5;32.0;
10:42:53;B;-22.79;1552.5;32.0;
10:42:54;B;-22.2;1536.7;33.0;
10:42:55;B;-21.85;1536.7;33.0;
10:42:56;B;-21.85;1536.7;33.0;
10:42:57;B;-21.05;1527.4;36.0;
10:42:58;B;-21.05;1527.4;36.0;
10:42:59;B;-20.62;1522.4;36.0;
10:43:00;B;-20.47;1522.4;36.0;
10:43:01;B;-20.85;1522.9;36.0;
10:43:02;B;-21.01;1522.9;36.0;
10:43:03;B;-21.54;1521.8;38.0;
10:43:04;B;-21.78;1521.8;38.0;
10:43:05;B;-22.24;1525.1;42.0;
10:43:06;B;-22.45;1525.1;42.0;
10:43:07;B;-22.91;1533.2;43.0;
10:43:08;B;-22.58;1533.0;43.0;
10:43:09;B;-22.39;1532.9;43.0;
10:43:10;B;-22.07;1526.2;41.0;
10:43:11;B;-21.17;1526.2;41.0;
10:43:12;B;-19.92;1519.6;41.0;
10:43:13;B;-19.95;1513.2;41.0;
10:43:14;B;-19.92;1506.5;42.0;
10:43:15;B;-19.93;1506.5;42.0;
10:43:16;B;-19.95;1500.1;42.0;
10:43:17;B;-19.94;1500.1;42.0;
10:43:18;B;-20.04;1493.7;42.0;
10:43:19;B;-20.09;1492.5;42.0;
10:43:20;B;-20.08;1491.7;42.0;
10:43:21;B;-20.07;1491.7;42.0;
10:43:22;B;-19.99;1490.8;42.0;
10:43:23;B;-19.99;1489.9;42.0;
