# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 09:21:58
# Par.Record       :
# Meas. Point No.: : B:3900.02
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        50
# MEASURE Stats -> Avg: -192.9759 | Median: -193.1650 | Mode: -192.9500 | Max: -187.7100 | Min: -195.3700
# SSPEED Stats -> Avg: 1001.4180 | Median: 1379.4000 | Mode: 1379.5000 | Max: 1379.7000 | Min: 26.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:21:58;B;???;32.0;
09:21:59;B;???;32.0;
09:22:00;B;???;32.0;
09:22:01;B;???;30.0;
09:22:02;B;???;30.0;
09:22:03;B;???;30.0;
09:22:04;B;???;30.0;
09:22:05;B;???;30.0;
09:22:06;B;???;30.0;
09:22:07;B;???;1379.7;48.0;
09:22:08;B;???;1379.7;48.0;
09:22:09;B;-187.71;1379.4;66.0;
09:22:10;B;-188.45;1379.4;66.0;
09:22:11;B;-189.39;1379.4;66.0;
09:22:12;B;-190.06;1379.4;66.0;
09:22:13;B;-192.16;1379.4;69.0;
09:22:14;B;-192.95;1379.5;70.0;
09:22:15;B;-192.95;1379.5;70.0;
09:22:16;B;-192.8;1379.5;70.0;
09:22:17;B;-193.47;1379.5;70.0;
09:22:18;B;-194.9;1379.5;68.0;
09:22:19;B;-195.06;1379.5;68.0;
09:22:20;B;-194.72;1379.6;63.0;
09:22:21;B;-194.08;1379.5;71.0;
09:22:22;B;-194.23;1379.5;71.0;
09:22:23;B;-193.49;1379.5;70.0;
09:22:24;B;-193.95;1379.5;72.0;
09:22:25;B;-193.5;1379.5;72.0;
09:22:26;B;-193.45;1379.5;72.0;
09:22:27;B;-194.55;1379.5;72.0;
09:22:28;B;-195.37;1379.5;72.0;
09:22:29;B;-194.86;1379.5;72.0;
09:22:30;B;-194.29;1379.5;72.0;
09:22:31;B;-193.19;1379.5;71.0;
09:22:32;B;-193.38;1379.5;71.0;
09:22:33;B;-193.14;1379.5;71.0;
09:22:34;B;-193.26;1379.5;71.0;
09:22:35;B;-192.85;1379.4;70.0;
09:22:36;B;-192.64;1379.4;70.0;
09:22:37;B;-192.63;1379.4;68.0;
09:22:38;B;-192.36;1379.4;68.0;
09:22:39;B;-192.76;1379.3;67.0;
09:22:40;B;-192.81;1379.2;66.0;
09:22:41;B;-192.81;1378.9;61.0;
09:22:42;B;-192.96;1378.9;61.0;
09:22:43;B;???;29.0;
09:22:44;B;???;28.0;
09:22:45;B;???;26.0;
09:22:46;B;???;26.0;
09:22:47;B;???;26.0;
