# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 08:46:08
# Par.Record       : Par.Record    01
# Meas. Point No.: : B:3900.01
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        52
# MEASURE Stats -> Avg: 253.5097 | Median: 252.9200 | Mode: 248.8700 | Max: 265.5800 | Min: 247.6400
# SSPEED Stats -> Avg: 1165.1308 | Median: 1470.3000 | Mode: 1470.4000 | Max: 1470.5000 | Min: 26.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:46:08;B;???;26.0;
08:46:09;B;???;26.0;
08:46:10;B;???;26.0;
08:46:11;B;???;28.0;
08:46:12;B;???;28.0;
08:46:13;B;???;28.0;
08:46:14;B;248.87;1469.9;58.0;
08:46:15;B;248.87;1469.9;58.0;
08:46:16;B;250.8;1470.0;69.0;
08:46:17;B;254.47;1470.0;69.0;
08:46:18;B;251.83;1470.0;69.0;
08:46:19;B;252.13;1470.0;69.0;
08:46:20;B;251.76;1470.1;69.0;
08:46:21;B;255.58;1470.1;69.0;
08:46:22;B;251.31;1470.2;69.0;
08:46:23;B;252.97;1470.3;68.0;
08:46:24;B;248.34;1470.3;69.0;
08:46:25;B;253.89;1470.3;69.0;
08:46:26;B;255.1;1470.3;69.0;
08:46:27;B;253.8;1470.4;68.0;
08:46:28;B;249.51;1470.4;67.0;
08:46:29;B;247.64;1470.4;67.0;
08:46:30;B;262.38;1470.4;68.0;
08:46:31;B;265.58;1470.4;69.0;
08:46:32;B;260.64;1470.5;68.0;
08:46:33;B;255.48;1470.5;67.0;
08:46:34;B;258.16;1470.5;67.0;
08:46:35;B;253.52;1470.5;68.0;
08:46:36;B;253.48;1470.4;66.0;
08:46:37;B;252.75;1470.4;66.0;
08:46:38;B;252.04;1470.4;66.0;
08:46:39;B;252.43;1470.4;68.0;
08:46:40;B;252.25;1470.4;69.0;
08:46:41;B;251.91;1470.4;69.0;
08:46:42;B;252.59;1470.5;70.0;
08:46:43;B;255.23;1470.4;69.0;
08:46:44;B;254.84;1470.4;70.0;
08:46:45;B;255.57;1470.4;70.0;
08:46:46;B;255.14;1470.4;70.0;
08:46:47;B;253.54;1470.4;69.0;
08:46:48;B;253.79;1470.4;69.0;
08:46:49;B;251.72;1470.3;69.0;
08:46:50;B;251.93;1470.3;69.0;
08:46:51;B;252.92;1470.3;69.0;
08:46:52;B;252.12;1470.2;69.0;
08:46:53;B;???;1470.0;64.0;
08:46:54;B;???;1470.0;64.0;
08:46:55;B;???;30.0;
08:46:56;B;???;28.0;
08:46:57;B;???;28.0;
08:46:58;B;???;29.0;
08:46:59;B;???;28.0;
