# MEASURE 
# Avg: -32.4579
# Median: -32.6150
# Mode: -32.6900
# Max: -30.8900
# Min: -33.5200
# MEASURE 
# Avg: -32.4579
# Median: -32.6150
# Mode: -32.6900
# Max: -30.8900
# Min: -33.5200
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 08:56:30
# Par.Record       : Par.Record    02
# Meas. Point No.: : B:4700.01
# Outer Diameter  :     168.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      78.2 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        34

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:56:30;08:56:30;B;???;32.0;
08:56:31;08:56:31;B;???;32.0;
08:56:32;08:56:32;B;???;32.0;
08:56:33;08:56:33;B;???;32.0;
08:56:34;08:56:34;B;-32.69;1464.4;41.0;
08:56:35;08:56:35;B;-32.69;1464.4;41.0;
08:56:36;08:56:36;B;-31.88;1482.7;41.0;
08:56:37;08:56:37;B;-31.74;1482.7;41.0;
08:56:38;08:56:38;B;-31.05;1482.7;41.0;
08:56:39;08:56:39;B;-31.05;1482.7;41.0;
08:56:40;08:56:40;B;-30.89;1484.7;43.0;
08:56:41;08:56:41;B;-32.2;1484.7;43.0;
08:56:42;08:56:42;B;-32.86;1484.7;43.0;
08:56:43;08:56:43;B;-32.86;1484.7;43.0;
08:56:44;08:56:44;B;-33.16;1491.2;40.0;
08:56:45;08:56:45;B;-33.29;1491.2;40.0;
08:56:46;08:56:46;B;-33.45;1491.2;40.0;
08:56:47;08:56:47;B;-33.27;1492.9;41.0;
08:56:48;08:56:48;B;-33.43;1492.9;41.0;
08:56:49;08:56:49;B;-32.36;1492.9;41.0;
08:56:50;08:56:50;B;-32.36;1492.9;41.0;
08:56:51;08:56:51;B;-32.27;1494.1;41.0;
08:56:52;08:56:52;B;-32.62;1494.1;41.0;
08:56:53;08:56:53;B;-31.75;1494.1;41.0;
08:56:54;08:56:54;B;-31.75;1494.1;41.0;
08:56:55;08:56:55;B;-31.89;1490.8;43.0;
08:56:56;08:56:56;B;-31.89;1490.8;43.0;
08:56:57;08:56:57;B;-33.51;1503.5;42.0;
08:56:58;08:56:58;B;-33.52;1503.5;42.0;
08:56:59;08:56:59;B;-32.61;1505.0;42.0;
08:57:00;08:57:00;B;-32.89;1505.0;42.0;
08:57:01;08:57:01;B;-32.89;1505.0;42.0;
08:57:02;08:57:02;B;???;1500.3;42.0;
08:57:03;08:57:03;B;???;1500.3;42.0;
