# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 10:33:32
# Par.Record       :
# Meas. Point No.: : B:3-900-01
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        72
# Average MEASURE: 233.09564102564102
# Average SSPEED: 960.7986111111111

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,238.19,1462.6,37.0
B,238.19,1462.6,37.0
B,233.95,1462.3,42.0
B,231.07,1462.3,42.0
B,231.07,1462.3,42.0
B,229.7,1461.6,40.0
B,231.25,1461.6,40.0
B,231.44,1461.4,40.0
B,231.52,1461.4,40.0
B,230.83,1461.5,49.0
B,230.8,1461.5,49.0
B,227.02,1461.3,51.0
B,???,1461.5,46.0
B,???,1461.5,46.0
B,???,1461.6,26.0
B,236.64,1462.0,45.0
B,242.12,1462.5,42.0
B,242.19,1462.5,42.0
B,237.6,1462.8,43.0
B,237.95,1462.9,42.0
B,240.66,1462.9,46.0
B,241.09,1462.9,46.0
B,236.39,1462.8,50.0
B,231.0,1462.7,45.0
B,232.0,1462.6,45.0
B,235.76,1462.6,44.0
B,235.37,1462.6,44.0
B,233.74,1462.5,47.0
B,233.64,1462.2,49.0
B,232.61,1462.2,49.0
B,231.45,1461.9,51.0
B,231.68,1461.4,48.0
B,231.39,1461.0,48.0
B,231.02,1461.0,48.0
B,230.26,1460.8,46.0
B,229.81,1460.4,45.0
B,229.37,1459.9,42.0
B,228.93,1459.3,42.0
B,228.65,1459.3,42.0
B,228.42,1459.3,42.0
B,228.28,1459.5,39.0
B,227.68,1459.5,39.0
B,???,1482.7,29.0
B,???,1482.7,29.0
B,???,1481.7,35.0
B,???,1481.7,35.0
B,???,1481.7,35.0
B,???,19.0
B,???,19.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,15.0
B,???,16.0
B,???,16.0
B,???,16.0
B,???,15.0
B,???,15.0
