# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 09:14:37
# Par.Record       :
# Meas. Point No.: : B:3-900-01
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        65
# Average MEASURE: 225.6409433962264
# Average SSPEED: 1215.4446153846152

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,1460.0,58.0
B,226.49,1460.0,74.0
B,224.1,1460.0,74.0
B,224.1,1460.0,74.0
B,226.96,1460.0,73.0
B,226.78,1460.0,73.0
B,229.1,1460.0,74.0
B,227.5,1460.0,74.0
B,225.11,1460.0,74.0
B,230.49,1460.1,74.0
B,233.77,1460.1,74.0
B,231.34,1460.2,74.0
B,217.29,1460.2,74.0
B,208.68,1460.2,74.0
B,223.21,1460.3,74.0
B,232.54,1460.3,73.0
B,225.88,1460.3,73.0
B,221.93,1460.3,73.0
B,224.85,1460.3,73.0
B,228.82,1460.4,73.0
B,226.49,1460.4,73.0
B,227.75,1460.4,73.0
B,227.54,1460.4,73.0
B,228.43,1460.4,73.0
B,227.67,1460.4,73.0
B,227.87,1460.5,73.0
B,225.8,1460.5,73.0
B,224.95,1460.5,73.0
B,225.25,1460.5,73.0
B,224.31,1460.5,73.0
B,224.34,1460.5,73.0
B,225.02,1460.5,73.0
B,225.43,1460.5,73.0
B,225.21,1460.5,73.0
B,226.43,1460.6,73.0
B,226.43,1460.6,73.0
B,227.64,1460.6,73.0
B,227.67,1460.6,73.0
B,226.91,1460.6,73.0
B,225.86,1460.6,73.0
B,226.4,1460.6,73.0
B,227.08,1460.6,73.0
B,227.24,1460.6,73.0
B,224.64,1460.6,73.0
B,223.58,1460.6,73.0
B,224.36,1460.6,73.0
B,223.94,1460.6,73.0
B,224.13,1460.6,73.0
B,224.29,1460.6,73.0
B,223.68,1460.6,73.0
B,223.26,1460.6,73.0
B,223.56,1460.5,73.0
B,223.69,1460.5,73.0
B,223.18,1460.5,73.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
