# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 10:30:43
# Par.Record       :
# Meas. Point No.: : B:3-900-02
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        88
# Average MEASURE: 165.0146835443038
# Average SSPEED: 1252.609090909091

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,13.0
B,???,13.0
B,???,33.0
B,???,33.0
B,162.75,1377.0,52.0
B,162.75,1377.0,52.0
B,158.99,1377.1,37.0
B,158.34,1377.1,37.0
B,156.65,1377.2,33.0
B,154.56,1377.2,33.0
B,154.56,1377.2,33.0
B,153.95,1377.1,32.0
B,153.88,1377.1,32.0
B,153.64,1376.8,31.0
B,152.74,1376.8,31.0
B,152.74,1376.8,31.0
B,157.52,1376.4,38.0
B,159.74,1376.4,38.0
B,160.45,1376.2,38.0
B,162.17,1376.1,39.0
B,163.5,1376.1,39.0
B,162.18,1375.6,37.0
B,161.84,1375.0,37.0
B,160.62,1375.0,37.0
B,161.34,1374.2,34.0
B,161.7,1374.2,34.0
B,159.15,1373.7,34.0
B,159.15,1373.7,34.0
B,156.52,1373.3,33.0
B,158.15,1372.8,35.0
B,158.91,1372.8,35.0
B,159.59,1372.2,35.0
B,160.0,1372.0,36.0
B,160.89,1372.0,36.0
B,160.12,1372.1,37.0
B,159.9,1372.1,37.0
B,160.15,1372.5,44.0
B,160.15,1372.5,44.0
B,161.37,1372.8,43.0
B,161.89,1373.1,44.0
B,162.27,1373.6,44.0
B,161.24,1373.4,42.0
B,161.33,1372.9,38.0
B,160.7,1372.9,38.0
B,160.39,1372.6,38.0
B,161.65,1373.4,60.0
B,162.94,1374.3,62.0
B,163.06,1374.3,62.0
B,165.0,1375.0,63.0
B,165.94,1375.7,64.0
B,166.2,1376.4,63.0
B,167.0,1377.1,62.0
B,168.04,1377.1,62.0
B,169.03,1377.8,62.0
B,169.93,1377.8,64.0
B,169.92,1377.9,64.0
B,170.28,1377.9,64.0
B,170.93,1377.9,64.0
B,171.34,1377.9,64.0
B,172.12,1378.0,63.0
B,172.35,1378.0,63.0
B,172.68,1378.0,63.0
B,172.75,1378.0,64.0
B,173.16,1377.9,64.0
B,173.21,1377.9,64.0
B,173.14,1377.9,64.0
B,173.68,1378.0,65.0
B,173.97,1378.0,65.0
B,173.97,1378.0,65.0
B,173.94,1378.0,65.0
B,174.69,1378.0,65.0
B,174.38,1378.1,65.0
B,174.45,1378.1,65.0
B,174.42,1378.1,65.0
B,174.64,1378.1,65.0
B,174.74,1378.1,68.0
B,174.06,1378.2,67.0
B,173.65,1378.3,67.0
B,173.65,1378.3,67.0
B,173.7,1378.3,67.0
B,173.05,1378.3,66.0
B,173.01,1378.3,67.0
B,173.01,1378.3,67.0
B,???,1378.3,67.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
