# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 10:28:04
# Par.Record       :
# Meas. Point No.: : B:3-900-04
# Outer Diameter  :     154.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      64.0 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        59
# Average MEASURE: 150.00408163265305
# Average SSPEED: 1246.7627118644068

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,14.0
B,???,14.0
B,???,14.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,149.24,1464.4,58.0
B,148.34,1466.1,61.0
B,148.02,1466.1,61.0
B,147.22,1466.8,66.0
B,144.78,1466.8,66.0
B,144.96,1467.3,64.0
B,145.08,1467.5,64.0
B,146.17,1467.5,64.0
B,146.29,1468.3,65.0
B,146.58,1468.7,63.0
B,147.4,1468.7,63.0
B,147.24,1468.9,66.0
B,148.69,1469.1,66.0
B,149.2,1469.1,66.0
B,152.9,1469.1,66.0
B,152.9,1469.1,66.0
B,152.13,1469.1,62.0
B,150.9,1468.9,62.0
B,152.43,1468.7,60.0
B,154.86,1468.7,60.0
B,153.85,1468.6,56.0
B,154.36,1468.5,56.0
B,154.36,1468.5,56.0
B,155.34,1468.4,55.0
B,155.35,1468.4,56.0
B,154.96,1468.4,56.0
B,154.79,1468.5,54.0
B,154.86,1468.5,52.0
B,154.7,1468.5,52.0
B,???,1468.5,52.0
B,153.71,1468.6,62.0
B,153.89,1468.6,62.0
B,153.0,1468.9,62.0
B,152.12,1469.2,68.0
B,151.88,1469.2,68.0
B,150.8,1469.5,68.0
B,150.45,1469.8,68.0
B,149.49,1469.8,68.0
B,149.02,1470.1,67.0
B,148.74,1470.1,66.0
B,148.1,1470.1,66.0
B,147.33,1470.1,66.0
B,147.04,1470.1,65.0
B,147.04,1470.1,65.0
B,146.98,1470.1,64.0
B,146.92,1470.2,64.0
B,146.86,1470.2,64.0
B,146.41,1470.2,63.0
B,146.32,1470.2,62.0
B,146.2,1470.2,62.0
B,???,13.0
B,???,13.0
