# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 11:37:49
# Par.Record       :
# Meas. Point No.: : B:47-4
# Outer Diameter  :     220.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     118.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        84
# Average MEASURE: 266.29797101449276
# Average SSPEED: 1223.875

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,14.0
B,???,14.0
B,???,14.0
B,???,14.0
B,???,14.0
B,???,14.0
B,???,14.0
B,???,15.0
B,???,15.0
B,241.09,1490.5,45.0
B,241.09,1490.5,45.0
B,248.26,1486.8,46.0
B,251.68,1486.8,46.0
B,252.77,1486.8,46.0
B,256.7,1485.6,46.0
B,261.22,1485.6,46.0
B,264.51,1485.6,46.0
B,264.51,1485.6,46.0
B,271.19,1485.5,46.0
B,271.55,1485.5,46.0
B,271.55,1485.5,46.0
B,265.89,1483.1,47.0
B,259.45,1483.1,47.0
B,258.26,1481.9,49.0
B,261.51,1481.9,49.0
B,263.56,1482.2,49.0
B,264.7,1482.2,49.0
B,264.7,1482.2,49.0
B,265.33,1483.1,49.0
B,265.33,1483.1,49.0
B,267.51,1482.4,48.0
B,267.51,1482.4,48.0
B,270.74,1483.8,47.0
B,270.84,1486.0,44.0
B,271.09,1486.0,44.0
B,272.32,1487.2,45.0
B,275.76,1487.2,45.0
B,276.69,1488.3,45.0
B,272.26,1488.3,45.0
B,272.26,1488.3,45.0
B,265.13,1486.8,46.0
B,265.13,1486.8,46.0
B,260.27,1485.0,45.0
B,259.98,1482.4,45.0
B,259.74,1482.4,45.0
B,258.54,1480.9,46.0
B,259.81,1481.7,47.0
B,260.54,1481.7,47.0
B,266.22,1482.9,46.0
B,266.22,1482.9,46.0
B,269.56,1484.8,46.0
B,270.49,1488.5,46.0
B,270.87,1488.8,46.0
B,270.82,1488.8,46.0
B,271.78,1488.6,46.0
B,271.85,1488.6,46.0
B,272.39,1488.8,45.0
B,271.63,1488.8,45.0
B,272.01,1489.3,45.0
B,272.42,1489.8,45.0
B,272.42,1489.8,45.0
B,271.78,1490.3,46.0
B,271.65,1490.2,46.0
B,271.0,1490.5,46.0
B,271.6,1490.5,46.0
B,271.24,1491.3,46.0
B,269.76,1491.4,45.0
B,269.63,1491.0,45.0
B,269.58,1491.0,45.0
B,269.95,1490.7,45.0
B,269.56,1490.8,45.0
B,269.88,1490.8,45.0
B,268.8,1490.4,46.0
B,268.16,1490.0,45.0
B,268.23,1490.0,45.0
B,267.95,1489.7,45.0
B,268.07,1489.4,45.0
B,268.07,1489.4,45.0
B,???,16.0
B,???,16.0
B,???,16.0
B,???,13.0
B,???,13.0
B,???,15.0
