# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 05.05.2026
# TIME             : 10:23:01
# Par.Record       :
# Meas. Point No.: : A:47-8
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       5.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     198.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:10 AVERAGE
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       655
# Average MEASURE: 611.8890672782875
# Average SSPEED: 1492.7702290076336

TIME,CHANNEL,date,MEASURE,SSPEED,AMP,SCNR,,00:00:10,TIME
10:23:01,,,,,,,,,10:23:01
10:23:11,A,10:23:01,???,1489,46,,,,10:23:11
10:23:21,A,10:23:11,588.75,1489.6,46,,,,10:23:21
10:23:31,A,10:23:21,580.82,1488.8,46,,,,10:23:31
10:23:41,A,10:23:31,627.01,1499.9,46,,,,10:23:41
10:23:51,A,10:23:41,622.87,1500.4,46,,,,10:23:51
10:24:01,A,10:23:51,615.41,1494.2,46,,,,10:24:01
10:24:11,A,10:24:01,607.09,1487.6,46,,,,10:24:11
10:24:21,A,10:24:11,612.58,1493,46,,,,10:24:21
10:24:31,A,10:24:21,622.27,1496.5,46,,,,10:24:31
10:24:41,A,10:24:31,612.68,1491,46,,,,10:24:41
10:24:51,A,10:24:41,620.64,1489,46,,,,10:24:51
10:25:01,A,10:24:51,619.14,1493.3,46,,,,10:25:01
10:25:11,A,10:25:01,620.11,1495.2,46,,,,10:25:11
10:25:21,A,10:25:11,619.37,1488.3,46,,,,10:25:21
10:25:31,A,10:25:21,626.05,1487.7,46,,,,10:25:31
10:25:41,A,10:25:31,629.32,1492.2,46,,,,10:25:41
10:25:51,A,10:25:41,619.84,1492.2,46,,,,10:25:51
10:26:01,A,10:25:51,622.74,1491.8,46,,,,10:26:01
10:26:11,A,10:26:01,628.02,1495.1,46,,,,10:26:11
10:26:21,A,10:26:11,620.18,1496.9,46,,,,10:26:21
10:26:31,A,10:26:21,633.89,1495.9,46,,,,10:26:31
10:26:41,A,10:26:31,635.72,1498.1,46,,,,10:26:41
10:26:51,A,10:26:41,627.77,1497.9,46,,,,10:26:51
10:27:01,A,10:26:51,624.94,1496.1,46,,,,10:27:01
10:27:11,A,10:27:01,628.38,1497.1,46,,,,10:27:11
10:27:21,A,10:27:11,624.89,1496.7,46,,,,10:27:21
10:27:31,A,10:27:21,627.83,1496.8,46,,,,10:27:31
10:27:41,A,10:27:31,625.09,1494.9,46,,,,10:27:41
10:27:51,A,10:27:41,625.48,1495.2,46,,,,10:27:51
10:28:01,A,10:27:51,629.77,1498.2,46,,,,10:28:01
10:28:11,A,10:28:01,627.79,1493.8,46,,,,10:28:11
10:28:21,A,10:28:11,632.3,1495.7,46,,,,10:28:21
10:28:31,A,10:28:21,628.79,1498.9,46,,,,10:28:31
10:28:41,A,10:28:31,625.48,1499.8,46,,,,10:28:41
10:28:51,A,10:28:41,618.55,1495.6,46,,,,10:28:51
10:29:01,A,10:28:51,623.28,1491,46,,,,10:29:01
10:29:11,A,10:29:01,625.93,1494.1,46,,,,10:29:11
10:29:21,A,10:29:11,625.18,1496.8,46,,,,10:29:21
10:29:31,A,10:29:21,624.07,1496.8,46,,,,10:29:31
10:29:41,A,10:29:31,624.41,1495.8,46,,,,10:29:41
10:29:51,A,10:29:41,629.83,1495.8,46,,,,10:29:51
10:30:01,A,10:29:51,619.29,1496.7,46,,,,10:30:01
10:30:11,A,10:30:01,623.24,1499.6,46,,,,10:30:11
10:30:21,A,10:30:11,627.36,1494.6,46,,,,10:30:21
10:30:31,A,10:30:21,626.5,1493.9,46,,,,10:30:31
10:30:41,A,10:30:31,624.76,1495.9,46,,,,10:30:41
