# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 06.05.2026
# TIME             : 09:31:22
# Par.Record       :
# Meas. Point No.: : B:52107
# Outer Diameter  :      76.0 mm
# Wall Thickness  :       3.4 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         1 NUM
# Transd. Distance :     -21.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        47
# Average MEASURE: -6.850606060606061
# Average SSPEED: 1451.4404255319148

TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
09:31:22,B,???,14.0,09:31:22
09:31:23,B,???,14.0,09:31:23
09:31:24,B,???,14.0,09:31:24
09:31:25,B,???,28.0,09:31:25
09:31:26,B,???,32.0,09:31:26
09:31:27,B,???,32.0,09:31:27
09:31:28,B,???,32.0,09:31:28
09:31:29,B,???,32.0,09:31:29
09:31:30,B,???,1892.9,33.0,09:31:30
09:31:31,B,???,1892.9,33.0,09:31:31
09:31:32,B,-3.71,1937.2,34.0,09:31:32
09:31:33,B,-4.23,1937.2,34.0,09:31:33
09:31:34,B,-7.4,1868.5,33.0,09:31:34
09:31:35,B,???,1868.5,33.0,09:31:35
09:31:36,B,-8.05,1857.9,32.0,09:31:36
09:31:37,B,-8.05,1857.9,32.0,09:31:37
09:31:38,B,-8.38,1848.3,35.0,09:31:38
09:31:39,B,-8.34,1848.3,35.0,09:31:39
09:31:40,B,-8.28,1834.3,35.0,09:31:40
09:31:41,B,-8.41,1834.3,35.0,09:31:41
09:31:42,B,-8.2,1840.7,35.0,09:31:42
09:31:43,B,-7.7,1840.7,35.0,09:31:43
09:31:44,B,-8.03,1871.4,34.0,09:31:44
09:31:45,B,-8.27,1871.4,34.0,09:31:45
09:31:46,B,-8.55,1900.8,35.0,09:31:46
09:31:47,B,-8.6,1900.8,35.0,09:31:47
09:31:48,B,-6.22,1892.0,36.0,09:31:48
09:31:49,B,-5.15,1881.7,35.0,09:31:49
09:31:50,B,-5.15,1881.7,35.0,09:31:50
09:31:51,B,-5.64,1900.9,36.0,09:31:51
09:31:52,B,-6.57,1884.4,36.0,09:31:52
09:31:53,B,-6.98,1884.4,36.0,09:31:53
09:31:54,B,-6.32,1858.3,34.0,09:31:54
09:31:55,B,-5.2,1826.2,34.0,09:31:55
09:31:56,B,-5.43,1853.8,34.0,09:31:56
09:31:57,B,-5.98,1853.8,34.0,09:31:57
09:31:58,B,-6.3,1884.6,36.0,09:31:58
09:31:59,B,-6.35,1912.2,36.0,09:31:59
09:32:00,B,-6.45,1912.2,36.0,09:32:00
09:32:01,B,-6.75,1937.4,35.0,09:32:01
09:32:02,B,-6.74,1937.4,35.0,09:32:02
09:32:03,B,-6.82,1961.3,36.0,09:32:03
09:32:04,B,-6.84,2003.2,36.0,09:32:04
09:32:05,B,-6.98,2003.2,36.0,09:32:05
09:32:06,B,???,21.0,09:32:06
09:32:07,B,???,12.0,09:32:07
09:32:08,B,???,14.0,09:32:08
