# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 06.05.2026
# TIME             : 09:47:17
# Par.Record       :
# Meas. Point No.: : B:5601
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       4.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      16.2 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        85
# Average MEASURE: 6.948771929824561
# Average SSPEED: 1164.9258823529412

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,12.0
B,???,12.0
B,???,12.0
B,???,13.0
B,???,13.0
B,???,13.0
B,-11.69,1679.1,40.0
B,-11.52,1640.5,40.0
B,-11.34,1640.5,40.0
B,-11.01,1640.5,40.0
B,-11.01,1640.5,40.0
B,-11.01,1640.5,40.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,12.0
B,???,12.0
B,-8.66,1604.7,34.0
B,-5.23,1604.7,34.0
B,1.7,1604.7,34.0
B,5.47,1604.0,36.0
B,9.06,1604.0,36.0
B,9.06,1604.0,36.0
B,9.91,1609.1,34.0
B,10.07,1609.1,34.0
B,10.98,1603.3,35.0
B,11.03,1610.3,35.0
B,11.08,1610.3,35.0
B,10.82,1616.3,35.0
B,10.57,1614.6,35.0
B,10.31,1614.6,35.0
B,10.28,1610.0,37.0
B,10.31,1605.6,39.0
B,10.36,1605.6,39.0
B,10.41,1594.3,38.0
B,10.57,1591.5,34.0
B,10.97,1591.5,34.0
B,10.74,1593.3,29.0
B,10.67,1594.3,32.0
B,10.51,1594.3,32.0
B,10.29,1595.9,32.0
B,10.24,1585.4,34.0
B,10.16,1585.4,34.0
B,9.7,1574.5,34.0
B,9.24,1567.7,30.0
B,9.18,1567.7,30.0
B,9.73,1581.4,32.0
B,9.67,1566.3,35.0
B,9.4,1566.3,35.0
B,9.69,1579.6,32.0
B,9.81,1561.0,34.0
B,9.62,1561.0,34.0
B,9.38,1568.9,29.0
B,9.42,1568.9,29.0
B,???,1565.2,26.0
B,???,1565.2,26.0
B,???,1626.1,24.0
B,???,1626.1,24.0
B,???,1626.1,24.0
B,???,21.0
B,???,21.0
B,9.63,1611.5,32.0
B,9.65,1611.5,32.0
B,9.8,1593.4,37.0
B,9.8,1593.4,37.0
B,9.85,1576.6,37.0
B,9.93,1576.6,37.0
B,9.99,1560.5,37.0
B,10.01,1560.5,37.0
B,10.03,1544.7,37.0
B,9.86,1541.6,34.0
B,9.86,1539.4,36.0
B,9.75,1539.4,36.0
B,9.49,1533.6,36.0
B,9.49,1533.6,36.0
B,???,11.0
B,???,11.0
B,???,13.0
B,???,13.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
B,???,11.0
