Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/27/2025 2:39:57 PM		2.70900011062622	0.125717580318451	473.157012939453	157	156	30	104.300003051758	4	125.297516584396	7	18	17	19	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
2	10/27/2025 2:40:07 PM		2.07999992370605	0.0965275838971138	461.066009521484	157	156	30	104.300003051758	22	96.2048158049583	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
3	10/27/2025 2:40:17 PM		2.67400002479553	0.124116390943527	462.81201171875	157	156	30	104.300003051758	38	123.678682744503	15	18	17	32	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
4	10/27/2025 2:40:27 PM		2.32500004768372	0.107916861772537	459.526000976562	157	156	30	104.300003051758	92	107.536632567644	13	16	18	69	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
5	10/27/2025 2:40:37 PM		2.14400005340576	0.099516399204731	459.869995117188	157	156	30	104.300003051758	86	99.1649620234966	12	17	16	42	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
6	10/27/2025 2:40:47 PM		2.36899995803833	0.109929151833057	465.332000732422	157	156	30	104.300003051758	95	109.571731835604	13	17	16	44	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
7	10/27/2025 2:40:57 PM		2.10199999809265	0.0975397303700447	456.311004638672	157	156	30	104.300003051758	63	97.2223654389381	15	17	16	37	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
8	10/27/2025 2:41:07 PM		2.20000004768372	0.102094322443008	458.18798828125	157	156	30	104.300003051758	78	101.755090802908	14	17	15	43	0	0	0	0	0	0	0	0	0	0	0	0	0	157.878787878788
9	10/27/2025 2:41:17 PM		2.36899995803833	0.109950348734856	464.575988769531	156	156	30	104.300003051758	70	109.571731835604	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	157.373737373737
10	10/27/2025 2:41:27 PM		NaN	NaN	464.953002929688	156	155	30	104.300003051758	49	NaN	11	16	15	45	3	0	0	0	0	0	0	0	0	0	0	0	0	156.868686868687
