Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
6	11/12/2025 12:26:34 PM		NaN	NaN	∞	101	101	39	90.8899993896484	0	NaN	15	33	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	101.818181818182
7	11/12/2025 12:26:44 PM		1.73099994659424	319.027358293533	484.404998779297	101	101	39	90.8899993896484	37	83.7345957756042	17	31	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	101.818181818182
8	11/12/2025 12:26:54 PM		3.49300003051758	643.743842840195	487.951995849609	101	101	40	89.4000015258789	45	168.9687743783	11	31	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	101.818181818182
9	11/12/2025 12:27:04 PM		2.99699997901917	552.340596914291	484.545989990234	102	101	40	89.4000015258789	58	144.975502789021	15	31	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	102.323232323232
10	11/12/2025 12:27:14 PM		3.20099997520447	589.851611852646	484.68798828125	102	101	40	89.4000015258789	43	154.843698441982	17	31	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	102.323232323232
11	11/12/2025 12:27:24 PM		2.41599988937378	445.183476805687	485.209014892578	102	102	39	90.8899993896484	67	116.870471835136	13	31	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	102.828282828283
12	11/12/2025 12:27:34 PM		2.03800010681152	375.566151738167	487.364013671875	102	102	40	89.4000015258789	39	98.5852763056755	14	31	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	102.828282828283
13	11/12/2025 12:27:44 PM		1.67900002002716	309.348177909851	488.360992431641	102	102	40	89.4000015258789	3	81.2191732227802	15	31	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	102.828282828283
14	11/12/2025 12:27:54 PM		0.583000004291534	107.52470344305	488.108001708984	102	102	40	89.4000015258789	53	28.20177488029	12	31	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	102.828282828283
15	11/12/2025 12:28:04 PM		-0.814999997615814	-150.158321857452	488.265014648438	102	102	40	89.4000015258789	37	-39.4244357943535	12	32	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	102.828282828283
16	11/12/2025 12:28:14 PM		NaN	NaN	∞	102	102	40	89.4000015258789	0	NaN	13	32	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	102.828282828283
17	11/12/2025 12:28:24 PM		NaN	NaN	∞	103	102	40	89.4000015258789	0	NaN	13	31	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	103.333333333333
18	11/12/2025 12:28:34 PM		NaN	NaN	∞	103	102	40	89.4000015258789	0	NaN	13	32	8	9	2	0	0	0	0	0	0	0	0	0	0	0	0	103.333333333333
