Index	Date	Trigger	A Flow velocity [m/s]	A Volumetric flow rate [m³/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	2/19/2026 11:23:32 AM		NaN	NaN	∞	84	83	30	104.300003051758	92	17	20	16	24	2	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
2	2/19/2026 11:23:33 AM		NaN	NaN	∞	84	83	30	104.300003051758	92	17	20	16	24	2	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
3	2/19/2026 11:23:34 AM		NaN	NaN	∞	84	83	30	104.300003051758	57	17	20	16	25	2	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
4	2/19/2026 11:23:35 AM		NaN	NaN	508.234985351562	84	83	30	104.300003051758	90	15	20	16	26	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
5	2/19/2026 11:23:36 AM		NaN	NaN	504.614990234375	84	83	30	104.300003051758	95	17	20	17	27	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
6	2/19/2026 11:23:37 AM		NaN	NaN	∞	84	83	30	104.300003051758	0	17	20	16	∞	2	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
7	2/19/2026 11:23:38 AM		8.64717483520508	280.443620681763	503.842987060547	84	83	30	104.300003051758	93	16	20	16	31	0	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
8	2/19/2026 11:23:39 AM		NaN	NaN	503.842987060547	84	83	30	104.300003051758	93	16	20	16	31	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
9	2/19/2026 11:23:40 AM		NaN	NaN	∞	84	83	29	105.790000915527	93	16	20	16	25	2	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
10	2/19/2026 11:23:41 AM		NaN	NaN	∞	84	83	29	105.790000915527	93	16	20	16	27	2	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
11	2/19/2026 11:23:42 AM		NaN	NaN	504.665985107422	84	83	29	105.790000915527	89	17	19	16	31	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
12	2/19/2026 11:23:43 AM		NaN	NaN	504.665985107422	84	83	29	105.790000915527	89	17	19	16	31	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
13	2/19/2026 11:23:44 AM		NaN	NaN	503.533996582031	84	83	29	105.790000915527	95	19	20	16	29	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
14	2/19/2026 11:23:45 AM		NaN	NaN	503.533996582031	84	83	29	105.790000915527	95	19	20	16	29	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
15	2/19/2026 11:23:46 AM		NaN	NaN	501.778991699219	84	83	29	105.790000915527	95	21	19	16	31	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
16	2/19/2026 11:23:47 AM		NaN	NaN	501.295989990234	84	83	29	105.790000915527	92	20	19	16	30	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
17	2/19/2026 11:23:48 AM		NaN	NaN	501.295989990234	84	83	29	105.790000915527	92	20	19	16	30	3	0	0	0	0	0	0	0	0	0	0	0	0	84.1414141414141
