# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 09:18:34
# Par.Record       :
# Meas. Point No.: : B:-710-01
# Outer Diameter  :     168.3 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      78.5 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        44
# MEASURE Stats -> Avg: 29.4309 | Median: 29.4700 | Mode: 30.1300 | Max: 31.7900 | Min: 27.4300
# SSPEED Stats -> Avg: 1155.8795 | Median: 1484.8000 | Mode: 11.0000 | Max: 1508.4000 | Min: 11.0000

TIME,TIME,TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
09:18:34,09:18:34,09:18:34,B,???,11.0,09:18:34
09:18:35,09:18:35,09:18:35,B,???,11.0,09:18:35
09:18:36,09:18:36,09:18:36,B,???,11.0,09:18:36
09:18:37,09:18:37,09:18:37,B,???,11.0,09:18:37
09:18:38,09:18:38,09:18:38,B,???,11.0,09:18:38
09:18:39,09:18:39,09:18:39,B,???,11.0,09:18:39
09:18:40,09:18:40,09:18:40,B,???,11.0,09:18:40
09:18:41,09:18:41,09:18:41,B,???,11.0,09:18:41
09:18:42,09:18:42,09:18:42,B,???,11.0,09:18:42
09:18:43,09:18:43,09:18:43,B,31.09,1481.4,42.0,09:18:43
09:18:44,09:18:44,09:18:44,B,30.13,1484.2,42.0,09:18:44
09:18:45,09:18:45,09:18:45,B,27.58,1484.2,42.0,09:18:45
09:18:46,09:18:46,09:18:46,B,27.58,1484.2,42.0,09:18:46
09:18:47,09:18:47,09:18:47,B,29.36,1508.4,40.0,09:18:47
09:18:48,09:18:48,09:18:48,B,29.44,1504.5,44.0,09:18:48
09:18:49,09:18:49,09:18:49,B,28.47,1504.5,44.0,09:18:49
09:18:50,09:18:50,09:18:50,B,27.43,1502.2,44.0,09:18:50
09:18:51,09:18:51,09:18:51,B,28.78,1502.2,46.0,09:18:51
09:18:52,09:18:52,09:18:52,B,28.72,1502.2,46.0,09:18:52
09:18:53,09:18:53,09:18:53,B,28.67,1501.0,47.0,09:18:53
09:18:54,09:18:54,09:18:54,B,30.13,1501.0,47.0,09:18:54
09:18:55,09:18:55,09:18:55,B,31.39,1499.9,47.0,09:18:55
09:18:56,09:18:56,09:18:56,B,31.79,1501.5,47.0,09:18:56
09:18:57,09:18:57,09:18:57,B,30.1,1500.2,47.0,09:18:57
09:18:58,09:18:58,09:18:58,B,29.78,1500.2,47.0,09:18:58
09:18:59,09:18:59,09:18:59,B,28.56,1498.4,47.0,09:18:59
09:19:00,09:19:00,09:19:00,B,29.45,1496.4,47.0,09:19:00
09:19:01,09:19:01,09:19:01,B,30.49,1494.3,47.0,09:19:01
09:19:02,09:19:02,09:19:02,B,29.39,1494.3,47.0,09:19:02
09:19:03,09:19:03,09:19:03,B,29.56,1492.1,47.0,09:19:03
09:19:04,09:19:04,09:19:04,B,29.65,1492.1,47.0,09:19:04
09:19:05,09:19:05,09:19:05,B,28.88,1489.7,47.0,09:19:05
09:19:06,09:19:06,09:19:06,B,28.83,1487.3,47.0,09:19:06
09:19:07,09:19:07,09:19:07,B,28.74,1487.3,47.0,09:19:07
09:19:08,09:19:08,09:19:08,B,29.49,1485.0,47.0,09:19:08
09:19:09,09:19:09,09:19:09,B,29.79,1484.6,46.0,09:19:09
09:19:10,09:19:10,09:19:10,B,29.92,1484.1,47.0,09:19:10
09:19:11,09:19:11,09:19:11,B,29.76,1484.1,47.0,09:19:11
09:19:12,09:19:12,09:19:12,B,29.77,1483.6,47.0,09:19:12
09:19:13,09:19:13,09:19:13,B,29.77,1483.6,47.0,09:19:13
09:19:14,09:19:14,09:19:14,B,29.3,1483.0,47.0,09:19:14
09:19:15,09:19:15,09:19:15,B,???,1483.5,42.0,09:19:15
09:19:16,09:19:16,09:19:16,B,???,1483.5,42.0,09:19:16
09:19:17,09:19:17,09:19:17,B,???,11.0,09:19:17
