# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 12:01:37
# Par.Record       :
# Meas. Point No.: : B:1-120
# Outer Diameter  :     141.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      57.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        87
# Average MEASURE: 85.15233333333335
# Average SSPEED: 1180.1367816091954

TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
12:01:37,B,???,12.0,12:01:37
12:01:38,B,???,12.0,12:01:38
12:01:39,B,???,12.0,12:01:39
12:01:40,B,???,12.0,12:01:40
12:01:41,B,???,12.0,12:01:41
12:01:42,B,91.6,1574.8,16.0,12:01:42
12:01:43,B,89.38,1552.6,44.0,12:01:43
12:01:44,B,84.31,1552.6,44.0,12:01:44
12:01:45,B,82.26,1552.6,44.0,12:01:45
12:01:46,B,78.87,1556.8,42.0,12:01:46
12:01:47,B,76.87,1556.8,42.0,12:01:47
12:01:48,B,76.87,1556.8,42.0,12:01:48
12:01:49,B,71.73,1555.4,42.0,12:01:49
12:01:50,B,71.73,1555.4,42.0,12:01:50
12:01:51,B,78.99,1554.7,41.0,12:01:51
12:01:52,B,80.36,1554.7,41.0,12:01:52
12:01:53,B,85.27,1551.7,42.0,12:01:53
12:01:54,B,85.55,1549.5,41.0,12:01:54
12:01:55,B,86.26,1549.5,41.0,12:01:55
12:01:56,B,83.7,1549.6,42.0,12:01:56
12:01:57,B,81.53,1552.3,42.0,12:01:57
12:01:58,B,84.47,1552.3,42.0,12:01:58
12:01:59,B,88.64,1553.8,43.0,12:01:59
12:02:00,B,89.69,1555.0,44.0,12:02:00
12:02:01,B,90.08,1555.0,44.0,12:02:01
12:02:02,B,89.51,1555.3,46.0,12:02:02
12:02:03,B,89.18,1554.9,47.0,12:02:03
12:02:04,B,89.37,1554.9,47.0,12:02:04
12:02:05,B,89.36,1554.5,47.0,12:02:05
12:02:06,B,89.58,1557.4,47.0,12:02:06
12:02:07,B,89.56,1559.7,47.0,12:02:07
12:02:08,B,89.9,1559.7,47.0,12:02:08
12:02:09,B,89.96,1557.5,46.0,12:02:09
12:02:10,B,90.31,1558.8,46.0,12:02:10
12:02:11,B,90.28,1560.5,46.0,12:02:11
12:02:12,B,90.42,1560.5,46.0,12:02:12
12:02:13,B,90.52,1557.7,46.0,12:02:13
12:02:14,B,90.07,1550.9,42.0,12:02:14
12:02:15,B,88.72,1550.9,42.0,12:02:15
12:02:16,B,87.63,1535.6,42.0,12:02:16
12:02:17,B,86.91,1519.6,44.0,12:02:17
12:02:18,B,86.22,1519.6,44.0,12:02:18
12:02:19,B,85.61,1503.4,44.0,12:02:19
12:02:20,B,85.37,1488.6,46.0,12:02:20
12:02:21,B,85.42,1474.3,47.0,12:02:21
12:02:22,B,85.36,1474.3,47.0,12:02:22
12:02:23,B,85.25,1475.5,47.0,12:02:23
12:02:24,B,85.25,1477.2,48.0,12:02:24
12:02:25,B,85.26,1477.2,48.0,12:02:25
12:02:26,B,85.31,1478.8,48.0,12:02:26
12:02:27,B,85.34,1480.6,48.0,12:02:27
12:02:28,B,85.46,1482.4,48.0,12:02:28
12:02:29,B,85.39,1482.4,48.0,12:02:29
12:02:30,B,85.43,1482.3,48.0,12:02:30
12:02:31,B,85.55,1482.3,48.0,12:02:31
12:02:32,B,85.48,1479.4,48.0,12:02:32
12:02:33,B,???,1479.4,48.0,12:02:33
12:02:34,B,???,1479.4,48.0,12:02:34
12:02:35,B,???,11.0,12:02:35
12:02:36,B,???,11.0,12:02:36
12:02:37,B,???,11.0,12:02:37
12:02:38,B,???,11.0,12:02:38
12:02:39,B,???,1488.6,34.0,12:02:39
12:02:40,B,???,1488.6,34.0,12:02:40
12:02:41,B,???,28.0,12:02:41
12:02:42,B,84.46,1498.8,36.0,12:02:42
12:02:43,B,83.99,1503.1,42.0,12:02:43
12:02:44,B,83.59,1503.1,42.0,12:02:44
12:02:45,B,82.35,1499.0,43.0,12:02:45
12:02:46,B,82.35,1499.0,43.0,12:02:46
12:02:47,B,80.66,1494.7,41.0,12:02:47
12:02:48,B,80.25,1490.1,38.0,12:02:48
12:02:49,B,80.12,1490.1,38.0,12:02:49
12:02:50,B,80.23,1490.7,37.0,12:02:50
12:02:51,B,???,1541.9,36.0,12:02:51
12:02:52,B,???,36.0,12:02:52
12:02:53,B,???,28.0,12:02:53
12:02:54,B,???,30.0,12:02:54
12:02:55,B,???,38.0,12:02:55
12:02:56,B,???,27.0,12:02:56
12:02:57,B,???,32.0,12:02:57
12:02:58,B,???,1560.9,34.0,12:02:58
12:02:59,B,???,1560.9,34.0,12:02:59
12:03:00,B,???,31.0,12:03:00
12:03:01,B,???,29.0,12:03:01
12:03:02,B,???,11.0,12:03:02
12:03:03,B,???,11.0,12:03:03
