# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 12:05:41
# Par.Record       :
# Meas. Point No.: : B:1-160
# Outer Diameter  :     129.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      44.7 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        61
# MEASURE Stats -> Avg: 76.3362 | Median: 74.4300 | Mode: 74.0900 | Max: 84.5000 | Min: 72.6100
# SSPEED Stats -> Avg: 1358.3600 | Median: 1479.9000 | Mode: 1480.1000 | Max: 1483.5000 | Min: 13.0000

TIME,TIME,TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
12:05:41,12:05:41,12:05:41,B,???,12:05:41
12:05:42,12:05:42,12:05:42,B,???,13.0,12:05:42
12:05:43,12:05:43,12:05:43,B,???,13.0,12:05:43
12:05:44,12:05:44,12:05:44,B,77.82,1474.9,69.0,12:05:44
12:05:45,12:05:45,12:05:45,B,78.0,1477.1,67.0,12:05:45
12:05:46,12:05:46,12:05:46,B,78.4,1477.1,67.0,12:05:46
12:05:47,12:05:47,12:05:47,B,79.61,1478.1,69.0,12:05:47
12:05:48,12:05:48,12:05:48,B,81.07,1478.6,70.0,12:05:48
12:05:49,12:05:49,12:05:49,B,80.76,1479.0,70.0,12:05:49
12:05:50,12:05:50,12:05:50,B,79.4,1479.0,70.0,12:05:50
12:05:51,12:05:51,12:05:51,B,79.61,1480.1,69.0,12:05:51
12:05:52,12:05:52,12:05:52,B,80.36,1480.1,69.0,12:05:52
12:05:53,12:05:53,12:05:53,B,80.8,1480.1,69.0,12:05:53
12:05:54,12:05:54,12:05:54,B,84.5,1480.2,68.0,12:05:54
12:05:55,12:05:55,12:05:55,B,84.5,1480.2,68.0,12:05:55
12:05:56,12:05:56,12:05:56,B,83.33,1480.2,67.0,12:05:56
12:05:57,12:05:57,12:05:57,B,82.66,1480.3,67.0,12:05:57
12:05:58,12:05:58,12:05:58,B,83.62,1480.3,67.0,12:05:58
12:05:59,12:05:59,12:05:59,B,83.41,1480.3,67.0,12:05:59
12:06:00,12:06:00,12:06:00,B,82.59,1480.1,64.0,12:06:00
12:06:01,12:06:01,12:06:01,B,79.68,1480.9,54.0,12:06:01
12:06:02,12:06:02,12:06:02,B,75.55,1480.9,54.0,12:06:02
12:06:03,12:06:03,12:06:03,B,???,54.0,12:06:03
12:06:04,12:06:04,12:06:04,B,72.96,1483.5,54.0,12:06:04
12:06:05,12:06:05,12:06:05,B,72.89,1482.0,55.0,12:06:05
12:06:06,12:06:06,12:06:06,B,74.52,1482.0,55.0,12:06:06
12:06:07,12:06:07,12:06:07,B,74.5,1482.0,69.0,12:06:07
12:06:08,12:06:08,12:06:08,B,74.43,1482.0,69.0,12:06:08
12:06:09,12:06:09,12:06:09,B,74.23,1481.4,65.0,12:06:09
12:06:10,12:06:10,12:06:10,B,74.73,1480.9,67.0,12:06:10
12:06:11,12:06:11,12:06:11,B,74.36,1480.5,69.0,12:06:11
12:06:12,12:06:12,12:06:12,B,74.16,1480.5,69.0,12:06:12
12:06:13,12:06:13,12:06:13,B,74.05,1480.1,69.0,12:06:13
12:06:14,12:06:14,12:06:14,B,74.09,1479.6,68.0,12:06:14
12:06:15,12:06:15,12:06:15,B,74.09,1479.6,68.0,12:06:15
12:06:16,12:06:16,12:06:16,B,74.43,1479.6,68.0,12:06:16
12:06:17,12:06:17,12:06:17,B,74.49,1479.7,68.0,12:06:17
12:06:18,12:06:18,12:06:18,B,74.08,1479.7,68.0,12:06:18
12:06:19,12:06:19,12:06:19,B,74.02,1479.8,68.0,12:06:19
12:06:20,12:06:20,12:06:20,B,74.11,1480.0,68.0,12:06:20
12:06:21,12:06:21,12:06:21,B,74.03,1480.0,68.0,12:06:21
12:06:22,12:06:22,12:06:22,B,74.16,1480.1,68.0,12:06:22
12:06:23,12:06:23,12:06:23,B,74.09,1480.1,67.0,12:06:23
12:06:24,12:06:24,12:06:24,B,74.06,1480.1,67.0,12:06:24
12:06:25,12:06:25,12:06:25,B,73.64,1479.8,67.0,12:06:25
12:06:26,12:06:26,12:06:26,B,73.64,1479.8,67.0,12:06:26
12:06:27,12:06:27,12:06:27,B,73.44,1479.7,67.0,12:06:27
12:06:28,12:06:28,12:06:28,B,73.31,1479.5,67.0,12:06:28
12:06:29,12:06:29,12:06:29,B,73.15,1479.3,66.0,12:06:29
12:06:30,12:06:30,12:06:30,B,73.29,1479.3,66.0,12:06:30
12:06:31,12:06:31,12:06:31,B,72.99,1479.3,66.0,12:06:31
12:06:32,12:06:32,12:06:32,B,72.91,1479.3,66.0,12:06:32
12:06:33,12:06:33,12:06:33,B,72.61,1479.3,66.0,12:06:33
12:06:34,12:06:34,12:06:34,B,72.88,1479.3,66.0,12:06:34
12:06:35,12:06:35,12:06:35,B,73.32,1479.4,68.0,12:06:35
12:06:36,12:06:36,12:06:36,B,73.99,1479.4,68.0,12:06:36
12:06:37,12:06:37,12:06:37,B,75.27,1480.1,64.0,12:06:37
12:06:38,12:06:38,12:06:38,B,75.65,1480.7,64.0,12:06:38
12:06:39,12:06:39,12:06:39,B,76.25,1480.7,64.0,12:06:39
12:06:40,12:06:40,12:06:40,B,???,13.0,12:06:40
12:06:41,12:06:41,12:06:41,B,???,13.0,12:06:41
