# MEASURE 
# Avg: 55.4357
# Median: 64.1500
# Mode: 64.1500
# Max: 64.9800
# Min: -66.4900
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 12:09:02
# Par.Record       :
# Meas. Point No.: : B:1-170
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      33.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        53

TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
12:09:02,B,???,13.0,12:09:02
12:09:03,B,???,13.0,12:09:03
12:09:04,B,???,13.0,12:09:04
12:09:05,B,???,13.0,12:09:05
12:09:06,B,???,13.0,12:09:06
12:09:07,B,???,13.0,12:09:07
12:09:08,B,???,1467.3,37.0,12:09:08
12:09:09,B,-65.78,1463.9,56.0,12:09:09
12:09:10,B,-66.49,1463.9,56.0,12:09:10
12:09:11,B,???,1463.9,60.0,12:09:11
12:09:12,B,???,1463.9,60.0,12:09:12
12:09:13,B,???,1463.9,60.0,12:09:13
12:09:14,B,???,15.0,12:09:14
12:09:15,B,???,24.0,12:09:15
12:09:16,B,???,24.0,12:09:16
12:09:17,B,???,1464.0,51.0,12:09:17
12:09:18,B,???,1464.0,51.0,12:09:18
12:09:19,B,???,1464.0,51.0,12:09:19
12:09:20,B,53.89,1464.7,47.0,12:09:20
12:09:21,B,56.34,1464.7,47.0,12:09:21
12:09:22,B,62.1,1464.8,44.0,12:09:22
12:09:23,B,61.21,1465.1,44.0,12:09:23
12:09:24,B,60.88,1465.1,44.0,12:09:24
12:09:25,B,60.73,1465.5,39.0,12:09:25
12:09:26,B,59.92,1467.0,31.0,12:09:26
12:09:27,B,58.16,1467.0,31.0,12:09:27
12:09:28,B,58.16,1467.0,31.0,12:09:28
12:09:29,B,61.54,1467.4,50.0,12:09:29
12:09:30,B,64.98,1467.8,50.0,12:09:30
12:09:31,B,64.98,1467.6,51.0,12:09:31
12:09:32,B,64.95,1467.6,51.0,12:09:32
12:09:33,B,64.72,1467.1,51.0,12:09:33
12:09:34,B,64.21,1466.6,54.0,12:09:34
12:09:35,B,64.19,1466.6,54.0,12:09:35
12:09:36,B,64.54,1466.1,56.0,12:09:36
12:09:37,B,64.6,1465.5,56.0,12:09:37
12:09:38,B,64.27,1465.5,56.0,12:09:38
12:09:39,B,64.18,1465.5,57.0,12:09:39
12:09:40,B,64.04,1465.5,57.0,12:09:40
12:09:41,B,64.15,1465.5,55.0,12:09:41
12:09:42,B,64.18,1465.4,56.0,12:09:42
12:09:43,B,64.11,1465.4,56.0,12:09:43
12:09:44,B,64.12,1465.4,56.0,12:09:44
12:09:45,B,64.15,1465.4,54.0,12:09:45
12:09:46,B,64.15,1465.4,54.0,12:09:46
12:09:47,B,64.26,1465.4,54.0,12:09:47
12:09:48,B,64.17,1465.4,54.0,12:09:48
12:09:49,B,64.25,1465.4,54.0,12:09:49
12:09:50,B,64.19,1465.4,54.0,12:09:50
12:09:51,B,64.22,1465.2,52.0,12:09:51
12:09:52,B,63.98,1465.1,51.0,12:09:52
12:09:53,B,???,1465.1,51.0,12:09:53
12:09:54,B,???,13.0,12:09:54
