# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 09:14:37
# Par.Record       :
# Meas. Point No.: : B:3-900-01
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        65
# Average MEASURE: 225.6409433962264
# Average SSPEED: 1215.4446153846152

TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
09:14:37,B,???,13.0,09:14:37
09:14:38,B,???,13.0,09:14:38
09:14:39,B,???,13.0,09:14:39
09:14:40,B,???,13.0,09:14:40
09:14:41,B,???,13.0,09:14:41
09:14:42,B,???,13.0,09:14:42
09:14:43,B,???,13.0,09:14:43
09:14:44,B,???,1460.0,58.0,09:14:44
09:14:45,B,226.49,1460.0,74.0,09:14:45
09:14:46,B,224.1,1460.0,74.0,09:14:46
09:14:47,B,224.1,1460.0,74.0,09:14:47
09:14:48,B,226.96,1460.0,73.0,09:14:48
09:14:49,B,226.78,1460.0,73.0,09:14:49
09:14:50,B,229.1,1460.0,74.0,09:14:50
09:14:51,B,227.5,1460.0,74.0,09:14:51
09:14:52,B,225.11,1460.0,74.0,09:14:52
09:14:53,B,230.49,1460.1,74.0,09:14:53
09:14:54,B,233.77,1460.1,74.0,09:14:54
09:14:55,B,231.34,1460.2,74.0,09:14:55
09:14:56,B,217.29,1460.2,74.0,09:14:56
09:14:57,B,208.68,1460.2,74.0,09:14:57
09:14:58,B,223.21,1460.3,74.0,09:14:58
09:14:59,B,232.54,1460.3,73.0,09:14:59
09:15:00,B,225.88,1460.3,73.0,09:15:00
09:15:01,B,221.93,1460.3,73.0,09:15:01
09:15:02,B,224.85,1460.3,73.0,09:15:02
09:15:03,B,228.82,1460.4,73.0,09:15:03
09:15:04,B,226.49,1460.4,73.0,09:15:04
09:15:05,B,227.75,1460.4,73.0,09:15:05
09:15:06,B,227.54,1460.4,73.0,09:15:06
09:15:07,B,228.43,1460.4,73.0,09:15:07
09:15:08,B,227.67,1460.4,73.0,09:15:08
09:15:09,B,227.87,1460.5,73.0,09:15:09
09:15:10,B,225.8,1460.5,73.0,09:15:10
09:15:11,B,224.95,1460.5,73.0,09:15:11
09:15:12,B,225.25,1460.5,73.0,09:15:12
09:15:13,B,224.31,1460.5,73.0,09:15:13
09:15:14,B,224.34,1460.5,73.0,09:15:14
09:15:15,B,225.02,1460.5,73.0,09:15:15
09:15:16,B,225.43,1460.5,73.0,09:15:16
09:15:17,B,225.21,1460.5,73.0,09:15:17
09:15:18,B,226.43,1460.6,73.0,09:15:18
09:15:19,B,226.43,1460.6,73.0,09:15:19
09:15:20,B,227.64,1460.6,73.0,09:15:20
09:15:21,B,227.67,1460.6,73.0,09:15:21
09:15:22,B,226.91,1460.6,73.0,09:15:22
09:15:23,B,225.86,1460.6,73.0,09:15:23
09:15:24,B,226.4,1460.6,73.0,09:15:24
09:15:25,B,227.08,1460.6,73.0,09:15:25
09:15:26,B,227.24,1460.6,73.0,09:15:26
09:15:27,B,224.64,1460.6,73.0,09:15:27
09:15:28,B,223.58,1460.6,73.0,09:15:28
09:15:29,B,224.36,1460.6,73.0,09:15:29
09:15:30,B,223.94,1460.6,73.0,09:15:30
09:15:31,B,224.13,1460.6,73.0,09:15:31
09:15:32,B,224.29,1460.6,73.0,09:15:32
09:15:33,B,223.68,1460.6,73.0,09:15:33
09:15:34,B,223.26,1460.6,73.0,09:15:34
09:15:35,B,223.56,1460.5,73.0,09:15:35
09:15:36,B,223.69,1460.5,73.0,09:15:36
09:15:37,B,223.18,1460.5,73.0,09:15:37
09:15:38,B,???,13.0,09:15:38
09:15:39,B,???,13.0,09:15:39
09:15:40,B,???,13.0,09:15:40
09:15:41,B,???,13.0,09:15:41
