# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 10:30:43
# Par.Record       :
# Meas. Point No.: : B:3-900-02
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        88
# Average MEASURE: 165.0146835443038
# Average SSPEED: 1252.609090909091

TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
10:30:43,B,???,13.0,10:30:43
10:30:44,B,???,13.0,10:30:44
10:30:45,B,???,33.0,10:30:45
10:30:46,B,???,33.0,10:30:46
10:30:47,B,162.75,1377.0,52.0,10:30:47
10:30:48,B,162.75,1377.0,52.0,10:30:48
10:30:49,B,158.99,1377.1,37.0,10:30:49
10:30:50,B,158.34,1377.1,37.0,10:30:50
10:30:51,B,156.65,1377.2,33.0,10:30:51
10:30:52,B,154.56,1377.2,33.0,10:30:52
10:30:53,B,154.56,1377.2,33.0,10:30:53
10:30:54,B,153.95,1377.1,32.0,10:30:54
10:30:55,B,153.88,1377.1,32.0,10:30:55
10:30:56,B,153.64,1376.8,31.0,10:30:56
10:30:57,B,152.74,1376.8,31.0,10:30:57
10:30:58,B,152.74,1376.8,31.0,10:30:58
10:30:59,B,157.52,1376.4,38.0,10:30:59
10:31:00,B,159.74,1376.4,38.0,10:31:00
10:31:01,B,160.45,1376.2,38.0,10:31:01
10:31:02,B,162.17,1376.1,39.0,10:31:02
10:31:03,B,163.5,1376.1,39.0,10:31:03
10:31:04,B,162.18,1375.6,37.0,10:31:04
10:31:05,B,161.84,1375.0,37.0,10:31:05
10:31:06,B,160.62,1375.0,37.0,10:31:06
10:31:07,B,161.34,1374.2,34.0,10:31:07
10:31:08,B,161.7,1374.2,34.0,10:31:08
10:31:09,B,159.15,1373.7,34.0,10:31:09
10:31:10,B,159.15,1373.7,34.0,10:31:10
10:31:11,B,156.52,1373.3,33.0,10:31:11
10:31:12,B,158.15,1372.8,35.0,10:31:12
10:31:13,B,158.91,1372.8,35.0,10:31:13
10:31:14,B,159.59,1372.2,35.0,10:31:14
10:31:15,B,160.0,1372.0,36.0,10:31:15
10:31:16,B,160.89,1372.0,36.0,10:31:16
10:31:17,B,160.12,1372.1,37.0,10:31:17
10:31:18,B,159.9,1372.1,37.0,10:31:18
10:31:19,B,160.15,1372.5,44.0,10:31:19
10:31:20,B,160.15,1372.5,44.0,10:31:20
10:31:21,B,161.37,1372.8,43.0,10:31:21
10:31:22,B,161.89,1373.1,44.0,10:31:22
10:31:23,B,162.27,1373.6,44.0,10:31:23
10:31:24,B,161.24,1373.4,42.0,10:31:24
10:31:25,B,161.33,1372.9,38.0,10:31:25
10:31:26,B,160.7,1372.9,38.0,10:31:26
10:31:27,B,160.39,1372.6,38.0,10:31:27
10:31:28,B,161.65,1373.4,60.0,10:31:28
10:31:29,B,162.94,1374.3,62.0,10:31:29
10:31:30,B,163.06,1374.3,62.0,10:31:30
10:31:31,B,165.0,1375.0,63.0,10:31:31
10:31:32,B,165.94,1375.7,64.0,10:31:32
10:31:33,B,166.2,1376.4,63.0,10:31:33
10:31:34,B,167.0,1377.1,62.0,10:31:34
10:31:35,B,168.04,1377.1,62.0,10:31:35
10:31:36,B,169.03,1377.8,62.0,10:31:36
10:31:37,B,169.93,1377.8,64.0,10:31:37
10:31:38,B,169.92,1377.9,64.0,10:31:38
10:31:39,B,170.28,1377.9,64.0,10:31:39
10:31:40,B,170.93,1377.9,64.0,10:31:40
10:31:41,B,171.34,1377.9,64.0,10:31:41
10:31:42,B,172.12,1378.0,63.0,10:31:42
10:31:43,B,172.35,1378.0,63.0,10:31:43
10:31:44,B,172.68,1378.0,63.0,10:31:44
10:31:45,B,172.75,1378.0,64.0,10:31:45
10:31:46,B,173.16,1377.9,64.0,10:31:46
10:31:47,B,173.21,1377.9,64.0,10:31:47
10:31:48,B,173.14,1377.9,64.0,10:31:48
10:31:49,B,173.68,1378.0,65.0,10:31:49
10:31:50,B,173.97,1378.0,65.0,10:31:50
10:31:51,B,173.97,1378.0,65.0,10:31:51
10:31:52,B,173.94,1378.0,65.0,10:31:52
10:31:53,B,174.69,1378.0,65.0,10:31:53
10:31:54,B,174.38,1378.1,65.0,10:31:54
10:31:55,B,174.45,1378.1,65.0,10:31:55
10:31:56,B,174.42,1378.1,65.0,10:31:56
10:31:57,B,174.64,1378.1,65.0,10:31:57
10:31:58,B,174.74,1378.1,68.0,10:31:58
10:31:59,B,174.06,1378.2,67.0,10:31:59
10:32:00,B,173.65,1378.3,67.0,10:32:00
10:32:01,B,173.65,1378.3,67.0,10:32:01
10:32:02,B,173.7,1378.3,67.0,10:32:02
10:32:03,B,173.05,1378.3,66.0,10:32:03
10:32:04,B,173.01,1378.3,67.0,10:32:04
10:32:05,B,173.01,1378.3,67.0,10:32:05
10:32:06,B,???,1378.3,67.0,10:32:06
10:32:07,B,???,13.0,10:32:07
10:32:08,B,???,13.0,10:32:08
10:32:09,B,???,13.0,10:32:09
10:32:10,B,???,13.0,10:32:10
