# MEASURE 
# Avg: 150.0041
# Median: 149.2000
# Mode: 152.9000
# Max: 155.3500
# Min: 144.7800
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 10:28:04
# Par.Record       :
# Meas. Point No.: : B:3-900-04
# Outer Diameter  :     154.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      64.0 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        59

TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
10:28:04,B,???,14.0,10:28:04
10:28:05,B,???,14.0,10:28:05
10:28:06,B,???,14.0,10:28:06
10:28:07,B,???,13.0,10:28:07
10:28:08,B,???,13.0,10:28:08
10:28:09,B,???,13.0,10:28:09
10:28:10,B,???,13.0,10:28:10
10:28:11,B,149.24,1464.4,58.0,10:28:11
10:28:12,B,148.34,1466.1,61.0,10:28:12
10:28:13,B,148.02,1466.1,61.0,10:28:13
10:28:14,B,147.22,1466.8,66.0,10:28:14
10:28:15,B,144.78,1466.8,66.0,10:28:15
10:28:16,B,144.96,1467.3,64.0,10:28:16
10:28:17,B,145.08,1467.5,64.0,10:28:17
10:28:18,B,146.17,1467.5,64.0,10:28:18
10:28:19,B,146.29,1468.3,65.0,10:28:19
10:28:20,B,146.58,1468.7,63.0,10:28:20
10:28:21,B,147.4,1468.7,63.0,10:28:21
10:28:22,B,147.24,1468.9,66.0,10:28:22
10:28:23,B,148.69,1469.1,66.0,10:28:23
10:28:24,B,149.2,1469.1,66.0,10:28:24
10:28:25,B,152.9,1469.1,66.0,10:28:25
10:28:26,B,152.9,1469.1,66.0,10:28:26
10:28:27,B,152.13,1469.1,62.0,10:28:27
10:28:28,B,150.9,1468.9,62.0,10:28:28
10:28:29,B,152.43,1468.7,60.0,10:28:29
10:28:30,B,154.86,1468.7,60.0,10:28:30
10:28:31,B,153.85,1468.6,56.0,10:28:31
10:28:32,B,154.36,1468.5,56.0,10:28:32
10:28:33,B,154.36,1468.5,56.0,10:28:33
10:28:34,B,155.34,1468.4,55.0,10:28:34
10:28:35,B,155.35,1468.4,56.0,10:28:35
10:28:36,B,154.96,1468.4,56.0,10:28:36
10:28:37,B,154.79,1468.5,54.0,10:28:37
10:28:38,B,154.86,1468.5,52.0,10:28:38
10:28:39,B,154.7,1468.5,52.0,10:28:39
10:28:40,B,???,1468.5,52.0,10:28:40
10:28:41,B,153.71,1468.6,62.0,10:28:41
10:28:42,B,153.89,1468.6,62.0,10:28:42
10:28:43,B,153.0,1468.9,62.0,10:28:43
10:28:44,B,152.12,1469.2,68.0,10:28:44
10:28:45,B,151.88,1469.2,68.0,10:28:45
10:28:46,B,150.8,1469.5,68.0,10:28:46
10:28:47,B,150.45,1469.8,68.0,10:28:47
10:28:48,B,149.49,1469.8,68.0,10:28:48
10:28:49,B,149.02,1470.1,67.0,10:28:49
10:28:50,B,148.74,1470.1,66.0,10:28:50
10:28:51,B,148.1,1470.1,66.0,10:28:51
10:28:52,B,147.33,1470.1,66.0,10:28:52
10:28:53,B,147.04,1470.1,65.0,10:28:53
10:28:54,B,147.04,1470.1,65.0,10:28:54
10:28:55,B,146.98,1470.1,64.0,10:28:55
10:28:56,B,146.92,1470.2,64.0,10:28:56
10:28:57,B,146.86,1470.2,64.0,10:28:57
10:28:58,B,146.41,1470.2,63.0,10:28:58
10:28:59,B,146.32,1470.2,62.0,10:28:59
10:29:00,B,146.2,1470.2,62.0,10:29:00
10:29:01,B,???,13.0,10:29:01
10:29:02,B,???,13.0,10:29:02
