# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 11:37:49
# Par.Record       :
# Meas. Point No.: : B:47-4
# Outer Diameter  :     220.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     118.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        84
# MEASURE Stats -> Avg: 266.2980 | Median: 268.2300 | Mode: 241.0900 | Max: 276.6900 | Min: 241.0900
# SSPEED Stats -> Avg: 1223.8750 | Median: 1485.6000 | Mode: 14.0000 | Max: 1491.4000 | Min: 13.0000

TIME,TIME,TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
11:37:49,11:37:49,11:37:49,B,???,14.0,11:37:49
11:37:50,11:37:50,11:37:50,B,???,14.0,11:37:50
11:37:51,11:37:51,11:37:51,B,???,14.0,11:37:51
11:37:52,11:37:52,11:37:52,B,???,14.0,11:37:52
11:37:53,11:37:53,11:37:53,B,???,14.0,11:37:53
11:37:54,11:37:54,11:37:54,B,???,14.0,11:37:54
11:37:55,11:37:55,11:37:55,B,???,14.0,11:37:55
11:37:56,11:37:56,11:37:56,B,???,15.0,11:37:56
11:37:57,11:37:57,11:37:57,B,???,15.0,11:37:57
11:37:58,11:37:58,11:37:58,B,241.09,1490.5,45.0,11:37:58
11:37:59,11:37:59,11:37:59,B,241.09,1490.5,45.0,11:37:59
11:38:00,11:38:00,11:38:00,B,248.26,1486.8,46.0,11:38:00
11:38:01,11:38:01,11:38:01,B,251.68,1486.8,46.0,11:38:01
11:38:02,11:38:02,11:38:02,B,252.77,1486.8,46.0,11:38:02
11:38:03,11:38:03,11:38:03,B,256.7,1485.6,46.0,11:38:03
11:38:04,11:38:04,11:38:04,B,261.22,1485.6,46.0,11:38:04
11:38:05,11:38:05,11:38:05,B,264.51,1485.6,46.0,11:38:05
11:38:06,11:38:06,11:38:06,B,264.51,1485.6,46.0,11:38:06
11:38:07,11:38:07,11:38:07,B,271.19,1485.5,46.0,11:38:07
11:38:08,11:38:08,11:38:08,B,271.55,1485.5,46.0,11:38:08
11:38:09,11:38:09,11:38:09,B,271.55,1485.5,46.0,11:38:09
11:38:10,11:38:10,11:38:10,B,265.89,1483.1,47.0,11:38:10
11:38:11,11:38:11,11:38:11,B,259.45,1483.1,47.0,11:38:11
11:38:12,11:38:12,11:38:12,B,258.26,1481.9,49.0,11:38:12
11:38:13,11:38:13,11:38:13,B,261.51,1481.9,49.0,11:38:13
11:38:14,11:38:14,11:38:14,B,263.56,1482.2,49.0,11:38:14
11:38:15,11:38:15,11:38:15,B,264.7,1482.2,49.0,11:38:15
11:38:16,11:38:16,11:38:16,B,264.7,1482.2,49.0,11:38:16
11:38:17,11:38:17,11:38:17,B,265.33,1483.1,49.0,11:38:17
11:38:18,11:38:18,11:38:18,B,265.33,1483.1,49.0,11:38:18
