# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 06.05.2026
# TIME             : 09:47:17
# Par.Record       :
# Meas. Point No.: : B:5601
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       4.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      16.2 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        85
# MEASURE Stats -> Avg: 6.9488 | Median: 9.8000 | Mode: -11.0100 | Max: 11.0800 | Min: -11.6900
# SSPEED Stats -> Avg: 1164.9259 | Median: 1576.6000 | Mode: 11.0000 | Max: 1679.1000 | Min: 11.0000

TIME,TIME,TIME,CHANNEL,MEASURE,SSPEED,AMP,SCNR,TIME
09:47:17,09:47:17,09:47:17,B,???,12.0,09:47:17
09:47:18,09:47:18,09:47:18,B,???,12.0,09:47:18
09:47:19,09:47:19,09:47:19,B,???,12.0,09:47:19
09:47:20,09:47:20,09:47:20,B,???,13.0,09:47:20
09:47:21,09:47:21,09:47:21,B,???,13.0,09:47:21
09:47:22,09:47:22,09:47:22,B,???,13.0,09:47:22
09:47:23,09:47:23,09:47:23,B,-11.69,1679.1,40.0,09:47:23
09:47:24,09:47:24,09:47:24,B,-11.52,1640.5,40.0,09:47:24
09:47:25,09:47:25,09:47:25,B,-11.34,1640.5,40.0,09:47:25
09:47:26,09:47:26,09:47:26,B,-11.01,1640.5,40.0,09:47:26
09:47:27,09:47:27,09:47:27,B,-11.01,1640.5,40.0,09:47:27
09:47:28,09:47:28,09:47:28,B,-11.01,1640.5,40.0,09:47:28
09:47:29,09:47:29,09:47:29,B,???,11.0,09:47:29
09:47:30,09:47:30,09:47:30,B,???,11.0,09:47:30
09:47:31,09:47:31,09:47:31,B,???,11.0,09:47:31
09:47:32,09:47:32,09:47:32,B,???,12.0,09:47:32
09:47:33,09:47:33,09:47:33,B,???,12.0,09:47:33
09:47:34,09:47:34,09:47:34,B,-8.66,1604.7,34.0,09:47:34
09:47:35,09:47:35,09:47:35,B,-5.23,1604.7,34.0,09:47:35
09:47:36,09:47:36,09:47:36,B,1.7,1604.7,34.0,09:47:36
09:47:37,09:47:37,09:47:37,B,5.47,1604.0,36.0,09:47:37
09:47:38,09:47:38,09:47:38,B,9.06,1604.0,36.0,09:47:38
09:47:39,09:47:39,09:47:39,B,9.06,1604.0,36.0,09:47:39
09:47:40,09:47:40,09:47:40,B,9.91,1609.1,34.0,09:47:40
09:47:41,09:47:41,09:47:41,B,10.07,1609.1,34.0,09:47:41
09:47:42,09:47:42,09:47:42,B,10.98,1603.3,35.0,09:47:42
09:47:43,09:47:43,09:47:43,B,11.03,1610.3,35.0,09:47:43
09:47:44,09:47:44,09:47:44,B,11.08,1610.3,35.0,09:47:44
09:47:45,09:47:45,09:47:45,B,10.82,1616.3,35.0,09:47:45
09:47:46,09:47:46,09:47:46,B,10.57,1614.6,35.0,09:47:46
09:47:47,09:47:47,09:47:47,B,10.31,1614.6,35.0,09:47:47
09:47:48,09:47:48,09:47:48,B,10.28,1610.0,37.0,09:47:48
09:47:49,09:47:49,09:47:49,B,10.31,1605.6,39.0,09:47:49
09:47:50,09:47:50,09:47:50,B,10.36,1605.6,39.0,09:47:50
09:47:51,09:47:51,09:47:51,B,10.41,1594.3,38.0,09:47:51
09:47:52,09:47:52,09:47:52,B,10.57,1591.5,34.0,09:47:52
09:47:53,09:47:53,09:47:53,B,10.97,1591.5,34.0,09:47:53
09:47:54,09:47:54,09:47:54,B,10.74,1593.3,29.0,09:47:54
09:47:55,09:47:55,09:47:55,B,10.67,1594.3,32.0,09:47:55
09:47:56,09:47:56,09:47:56,B,10.51,1594.3,32.0,09:47:56
09:47:57,09:47:57,09:47:57,B,10.29,1595.9,32.0,09:47:57
09:47:58,09:47:58,09:47:58,B,10.24,1585.4,34.0,09:47:58
09:47:59,09:47:59,09:47:59,B,10.16,1585.4,34.0,09:47:59
09:48:00,09:48:00,09:48:00,B,9.7,1574.5,34.0,09:48:00
09:48:01,09:48:01,09:48:01,B,9.24,1567.7,30.0,09:48:01
09:48:02,09:48:02,09:48:02,B,9.18,1567.7,30.0,09:48:02
09:48:03,09:48:03,09:48:03,B,9.73,1581.4,32.0,09:48:03
09:48:04,09:48:04,09:48:04,B,9.67,1566.3,35.0,09:48:04
09:48:05,09:48:05,09:48:05,B,9.4,1566.3,35.0,09:48:05
09:48:06,09:48:06,09:48:06,B,9.69,1579.6,32.0,09:48:06
09:48:07,09:48:07,09:48:07,B,9.81,1561.0,34.0,09:48:07
09:48:08,09:48:08,09:48:08,B,9.62,1561.0,34.0,09:48:08
09:48:09,09:48:09,09:48:09,B,9.38,1568.9,29.0,09:48:09
09:48:10,09:48:10,09:48:10,B,9.42,1568.9,29.0,09:48:10
09:48:11,09:48:11,09:48:11,B,???,1565.2,26.0,09:48:11
09:48:12,09:48:12,09:48:12,B,???,1565.2,26.0,09:48:12
09:48:13,09:48:13,09:48:13,B,???,1626.1,24.0,09:48:13
09:48:14,09:48:14,09:48:14,B,???,1626.1,24.0,09:48:14
09:48:15,09:48:15,09:48:15,B,???,1626.1,24.0,09:48:15
09:48:16,09:48:16,09:48:16,B,???,21.0,09:48:16
09:48:17,09:48:17,09:48:17,B,???,21.0,09:48:17
09:48:18,09:48:18,09:48:18,B,9.63,1611.5,32.0,09:48:18
09:48:19,09:48:19,09:48:19,B,9.65,1611.5,32.0,09:48:19
09:48:20,09:48:20,09:48:20,B,9.8,1593.4,37.0,09:48:20
09:48:21,09:48:21,09:48:21,B,9.8,1593.4,37.0,09:48:21
09:48:22,09:48:22,09:48:22,B,9.85,1576.6,37.0,09:48:22
09:48:23,09:48:23,09:48:23,B,9.93,1576.6,37.0,09:48:23
09:48:24,09:48:24,09:48:24,B,9.99,1560.5,37.0,09:48:24
09:48:25,09:48:25,09:48:25,B,10.01,1560.5,37.0,09:48:25
09:48:26,09:48:26,09:48:26,B,10.03,1544.7,37.0,09:48:26
09:48:27,09:48:27,09:48:27,B,9.86,1541.6,34.0,09:48:27
09:48:28,09:48:28,09:48:28,B,9.86,1539.4,36.0,09:48:28
09:48:29,09:48:29,09:48:29,B,9.75,1539.4,36.0,09:48:29
09:48:30,09:48:30,09:48:30,B,9.49,1533.6,36.0,09:48:30
09:48:31,09:48:31,09:48:31,B,9.49,1533.6,36.0,09:48:31
09:48:32,09:48:32,09:48:32,B,???,11.0,09:48:32
09:48:33,09:48:33,09:48:33,B,???,11.0,09:48:33
09:48:34,09:48:34,09:48:34,B,???,13.0,09:48:34
09:48:35,09:48:35,09:48:35,B,???,13.0,09:48:35
09:48:36,09:48:36,09:48:36,B,???,11.0,09:48:36
09:48:37,09:48:37,09:48:37,B,???,11.0,09:48:37
09:48:38,09:48:38,09:48:38,B,???,11.0,09:48:38
09:48:39,09:48:39,09:48:39,B,???,11.0,09:48:39
09:48:40,09:48:40,09:48:40,B,???,11.0,09:48:40
09:48:41,09:48:41,09:48:41,B,???,11.0,09:48:41
