# MEASURE 
# Avg: 5.9901
# Median: 6.1000
# Mode: 5.7400
# Max: 6.7000
# Min: 3.9400
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 08:19:53
# Par.Record       :
# Meas. Point No.: : B:4604
# Outer Diameter  :      43.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         1 NUM
# Transd. Distance :     -36.8 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       107

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:19:53;B;???;16.0;
08:19:54;B;???;16.0;
08:19:55;B;???;16.0;
08:19:56;B;???;19.0;
08:19:57;B;???;19.0;
08:19:58;B;3.94;1220.8;15.0;
08:19:59;B;3.94;1220.8;15.0;
08:20:00;B;5.04;1324.2;63.0;
08:20:01;B;5.05;1324.2;63.0;
08:20:02;B;5.2;1362.1;70.0;
08:20:03;B;5.48;1387.4;68.0;
08:20:04;B;5.75;1387.4;68.0;
08:20:05;B;5.93;1396.6;68.0;
08:20:06;B;5.85;1403.5;66.0;
08:20:07;B;5.74;1403.5;66.0;
08:20:08;B;5.87;1408.0;68.0;
08:20:09;B;6.12;1403.9;71.0;
08:20:10;B;6.32;1419.1;69.0;
08:20:11;B;6.34;1419.1;69.0;
08:20:12;B;6.27;1410.6;69.0;
08:20:13;B;6.07;1410.6;69.0;
08:20:14;B;6.28;1403.0;68.0;
08:20:15;B;6.17;1387.3;66.0;
08:20:16;B;6.1;1387.3;66.0;
08:20:17;B;5.74;1372.1;65.0;
08:20:18;B;5.74;1356.9;65.0;
08:20:19;B;5.85;1356.9;65.0;
08:20:20;B;5.85;1342.2;66.0;
08:20:21;B;5.25;1322.5;64.0;
08:20:22;B;5.25;1322.5;64.0;
08:20:23;B;5.24;1304.6;65.0;
08:20:24;B;5.29;1308.4;66.0;
08:20:25;B;5.3;1308.4;66.0;
08:20:26;B;5.3;1315.5;66.0;
08:20:27;B;5.35;1322.8;64.0;
08:20:28;B;5.38;1322.8;64.0;
08:20:29;B;5.49;1330.0;61.0;
08:20:30;B;5.56;1339.3;58.0;
08:20:31;B;5.62;1339.3;58.0;
08:20:32;B;5.57;1344.4;56.0;
08:20:33;B;5.57;1351.1;64.0;
08:20:34;B;5.6;1351.1;64.0;
08:20:35;B;5.74;1366.6;60.0;
08:20:36;B;5.78;1371.4;63.0;
08:20:37;B;5.86;1371.4;63.0;
08:20:38;B;5.89;1377.7;62.0;
08:20:39;B;5.93;1381.5;62.0;
08:20:40;B;5.99;1381.5;62.0;
08:20:41;B;6.03;1389.4;66.0;
08:20:42;B;6.1;1398.2;66.0;
08:20:43;B;6.15;1398.2;66.0;
08:20:44;B;6.2;1405.3;67.0;
08:20:45;B;6.26;1413.0;67.0;
08:20:46;B;6.31;1413.0;67.0;
08:20:47;B;6.34;1421.0;66.0;
08:20:48;B;6.36;1421.0;66.0;
08:20:49;B;6.45;1422.1;65.0;
08:20:50;B;6.5;1424.0;65.0;
08:20:51;B;6.51;1424.0;65.0;
08:20:52;B;6.61;1425.8;65.0;
08:20:53;B;6.63;1427.4;65.0;
08:20:54;B;6.63;1427.4;65.0;
08:20:55;B;6.67;1427.7;66.0;
08:20:56;B;6.68;1428.3;67.0;
08:20:57;B;6.7;1428.3;67.0;
08:20:58;B;6.67;1428.8;67.0;
08:20:59;B;6.66;1429.1;67.0;
08:21:00;B;6.63;1429.1;67.0;
08:21:01;B;6.63;1429.1;67.0;
08:21:02;B;6.56;1421.5;72.0;
08:21:03;B;6.51;1421.5;72.0;
08:21:04;B;6.48;1419.3;71.0;
08:21:05;B;6.48;1419.3;71.0;
08:21:06;B;6.4;1414.1;71.0;
08:21:07;B;6.38;1408.9;72.0;
08:21:08;B;6.38;1408.9;72.0;
08:21:09;B;6.44;1401.5;70.0;
08:21:10;B;6.48;1392.1;68.0;
08:21:11;B;6.48;1392.1;68.0;
08:21:12;B;6.45;1384.6;68.0;
08:21:13;B;6.44;1384.7;69.0;
08:21:14;B;6.44;1384.7;69.0;
08:21:15;B;???;1386.3;68.0;
08:21:16;B;???;1386.3;68.0;
08:21:17;B;???;19.0;
08:21:18;B;???;19.0;
08:21:19;B;???;19.0;
08:21:20;B;???;18.0;
08:21:21;B;???;18.0;
08:21:22;B;???;18.0;
08:21:23;B;???;17.0;
08:21:24;B;???;17.0;
08:21:25;B;???;17.0;
08:21:26;B;???;17.0;
08:21:27;B;???;17.0;
08:21:28;B;???;17.0;
08:21:29;B;???;20.0;
08:21:30;B;???;19.0;
08:21:31;B;???;19.0;
08:21:32;B;???;19.0;
08:21:33;B;???;19.0;
08:21:34;B;???;19.0;
08:21:35;B;???;20.0;
08:21:36;B;???;20.0;
08:21:37;B;???;20.0;
08:21:38;B;???;20.0;
08:21:39;B;???;20.0;
