# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 09:28:05
# Par.Record       :
# Meas. Point No.: : B:47.08
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     197.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       100
# MEASURE Stats -> Avg: -660.1445 | Median: -659.2000 | Mode: -681.4400 | Max: -637.4100 | Min: -686.1700
# SSPEED Stats -> Avg: 1448.2490 | Median: 1508.1500 | Mode: 1506.0000 | Max: 1510.7000 | Min: 13.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:28:05;09:28:05;09:28:05;B;???;13.0;
09:28:06;09:28:06;09:28:06;B;???;13.0;
09:28:07;09:28:07;09:28:07;B;???;13.0;
09:28:08;09:28:08;09:28:08;B;???;13.0;
09:28:09;09:28:09;09:28:09;B;-681.44;1501.9;38.0;
09:28:10;09:28:10;09:28:10;B;-681.44;1501.9;38.0;
09:28:11;09:28:11;09:28:11;B;???;1506.0;37.0;
09:28:12;09:28:12;09:28:12;B;???;1506.0;37.0;
09:28:13;09:28:13;09:28:13;B;???;1506.0;37.0;
09:28:14;09:28:14;09:28:14;B;???;1506.0;37.0;
09:28:15;09:28:15;09:28:15;B;???;1506.0;37.0;
09:28:16;09:28:16;09:28:16;B;???;1510.7;32.0;
09:28:17;09:28:17;09:28:17;B;???;1510.7;32.0;
09:28:18;09:28:18;09:28:18;B;-683.48;1510.3;41.0;
09:28:19;09:28:19;09:28:19;B;-683.9;1510.3;41.0;
09:28:20;09:28:20;09:28:20;B;-682.3;1510.1;38.0;
09:28:21;09:28:21;09:28:21;B;-674.7;1510.1;38.0;
09:28:22;09:28:22;09:28:22;B;-674.7;1510.1;38.0;
09:28:23;09:28:23;09:28:23;B;-682.18;1509.8;39.0;
09:28:24;09:28:24;09:28:24;B;-682.79;1509.8;39.0;
09:28:25;09:28:25;09:28:25;B;-683.85;1509.6;38.0;
09:28:26;09:28:26;09:28:26;B;-686.17;1509.6;38.0;
09:28:27;09:28:27;09:28:27;B;-680.97;1509.4;37.0;
09:28:28;09:28:28;09:28:28;B;-679.9;1509.4;37.0;
09:28:29;09:28:29;09:28:29;B;-674.89;1510.2;37.0;
09:28:30;09:28:30;09:28:30;B;-673.35;1510.2;37.0;
09:28:31;09:28:31;09:28:31;B;-672.59;1509.9;37.0;
09:28:32;09:28:32;09:28:32;B;-673.24;1509.9;37.0;
09:28:33;09:28:33;09:28:33;B;-674.07;1509.6;37.0;
