# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 09:29:55
# Par.Record       :
# Meas. Point No.: : B:47.08
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     197.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       111
# MEASURE Stats -> Avg: 669.4979 | Median: 669.1200 | Mode: 634.4300 | Max: 719.4400 | Min: 628.9500
# SSPEED Stats -> Avg: 1333.1964 | Median: 1505.4000 | Mode: 1507.9000 | Max: 1516.4000 | Min: 11.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:29:55;09:29:55;09:29:55;B;???;14.0;
09:29:56;09:29:56;09:29:56;B;???;14.0;
09:29:57;09:29:57;09:29:57;B;???;14.0;
09:29:58;09:29:58;09:29:58;B;634.43;1509.3;42.0;
09:29:59;09:29:59;09:29:59;B;634.43;1509.3;42.0;
09:30:00;09:30:00;09:30:00;B;628.95;1507.9;38.0;
09:30:01;09:30:01;09:30:01;B;633.44;1507.9;38.0;
09:30:02;09:30:02;09:30:02;B;638.19;1507.9;38.0;
09:30:03;09:30:03;09:30:03;B;638.19;1507.9;38.0;
09:30:04;09:30:04;09:30:04;B;638.64;1507.6;38.0;
09:30:05;09:30:05;09:30:05;B;648.43;1507.6;38.0;
09:30:06;09:30:06;09:30:06;B;667.0;1511.8;40.0;
09:30:07;09:30:07;09:30:07;B;686.39;1511.8;40.0;
09:30:08;09:30:08;09:30:08;B;711.53;1513.7;40.0;
09:30:09;09:30:09;09:30:09;B;719.44;1513.7;40.0;
09:30:10;09:30:10;09:30:10;B;709.35;1515.1;40.0;
09:30:11;09:30:11;09:30:11;B;706.04;1515.1;40.0;
09:30:12;09:30:12;09:30:12;B;700.13;1515.1;40.0;
09:30:13;09:30:13;09:30:13;B;700.13;1515.1;40.0;
09:30:14;09:30:14;09:30:14;B;695.37;1515.2;40.0;
09:30:15;09:30:15;09:30:15;B;702.53;1515.2;40.0;
09:30:16;09:30:16;09:30:16;B;703.17;1516.1;40.0;
09:30:17;09:30:17;09:30:17;B;702.5;1516.1;40.0;
09:30:18;09:30:18;09:30:18;B;698.62;1516.4;40.0;
09:30:19;09:30:19;09:30:19;B;698.99;1515.0;40.0;
09:30:20;09:30:20;09:30:20;B;701.2;1515.0;40.0;
