# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 10:49:45
# Par.Record       :
# Meas. Point No.: : B:4711
# Outer Diameter  :      73.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :       1.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        49
# MEASURE Stats -> Avg: 14.5214 | Median: 14.5300 | Mode: 14.5300 | Max: 14.7900 | Min: 14.0000
# SSPEED Stats -> Avg: 1295.5163 | Median: 1470.8000 | Mode: 1470.1000 | Max: 1493.4000 | Min: 13.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:49:45;10:49:45;10:49:45;B;???;19.0;
10:49:46;10:49:46;10:49:46;B;???;19.0;
10:49:47;10:49:47;10:49:47;B;14.0;1470.8;44.0;
10:49:48;10:49:48;10:49:48;B;14.3;1470.1;56.0;
10:49:49;10:49:49;10:49:49;B;14.43;1470.2;56.0;
10:49:50;10:49:50;10:49:50;B;14.47;1470.2;56.0;
10:49:51;10:49:51;10:49:51;B;14.62;1469.0;55.0;
10:49:52;10:49:52;10:49:52;B;14.53;1469.4;57.0;
10:49:53;10:49:53;10:49:53;B;14.43;1469.4;57.0;
10:49:54;10:49:54;10:49:54;B;14.29;1469.8;57.0;
10:49:55;10:49:55;10:49:55;B;14.41;1469.6;57.0;
10:49:56;10:49:56;10:49:56;B;14.45;1470.1;58.0;
10:49:57;10:49:57;10:49:57;B;14.45;1470.1;58.0;
10:49:58;10:49:58;10:49:58;B;14.18;1470.4;58.0;
10:49:59;10:49:59;10:49:59;B;14.34;1470.3;58.0;
10:50:00;10:50:00;10:50:00;B;14.49;1470.3;58.0;
10:50:01;10:50:01;10:50:01;B;14.54;1470.1;58.0;
10:50:02;10:50:02;10:50:02;B;14.53;1470.1;58.0;
10:50:03;10:50:03;10:50:03;B;14.53;1470.1;58.0;
10:50:04;10:50:04;10:50:04;B;14.48;1470.5;57.0;
10:50:05;10:50:05;10:50:05;B;14.32;1470.8;58.0;
10:50:06;10:50:06;10:50:06;B;14.36;1470.9;58.0;
10:50:07;10:50:07;10:50:07;B;14.32;1470.9;58.0;
10:50:08;10:50:08;10:50:08;B;14.41;1471.8;54.0;
10:50:09;10:50:09;10:50:09;B;14.46;1470.8;56.0;
10:50:10;10:50:10;10:50:10;B;14.53;1471.2;55.0;
10:50:11;10:50:11;10:50:11;B;14.53;1471.2;55.0;
10:50:12;10:50:12;10:50:12;B;14.52;1472.2;54.0;
10:50:13;10:50:13;10:50:13;B;14.53;1472.2;54.0;
10:50:14;10:50:14;10:50:14;B;14.66;1493.4;54.0;
10:50:15;10:50:15;10:50:15;B;14.7;1492.2;56.0;
10:50:16;10:50:16;10:50:16;B;14.69;1488.4;56.0;
10:50:17;10:50:17;10:50:17;B;14.67;1488.4;56.0;
10:50:18;10:50:18;10:50:18;B;14.64;1486.4;57.0;
10:50:19;10:50:19;10:50:19;B;14.7;1482.5;58.0;
10:50:20;10:50:20;10:50:20;B;14.73;1478.6;58.0;
10:50:21;10:50:21;10:50:21;B;14.79;1478.6;58.0;
10:50:22;10:50:22;10:50:22;B;14.77;1474.8;58.0;
10:50:23;10:50:23;10:50:23;B;14.77;1474.8;58.0;
10:50:24;10:50:24;10:50:24;B;14.74;1474.6;58.0;
10:50:25;10:50:25;10:50:25;B;14.71;1475.2;59.0;
10:50:26;10:50:26;10:50:26;B;14.68;1475.3;58.0;
10:50:27;10:50:27;10:50:27;B;14.62;1475.3;58.0;
10:50:28;10:50:28;10:50:28;B;14.58;1475.6;58.0;
10:50:29;10:50:29;10:50:29;B;???;1473.7;57.0;
10:50:30;10:50:30;10:50:30;B;???;13.0;
10:50:31;10:50:31;10:50:31;B;???;13.0;
10:50:32;10:50:32;10:50:32;B;???;13.0;
10:50:33;10:50:33;10:50:33;B;???;13.0;
