# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 10:54:25
# Par.Record       :
# Meas. Point No.: : B:4741
# Outer Diameter  :      33.7 mm
# Wall Thickness  :       3.2 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         1 NUM
# Transd. Distance :     -37.8 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        49
# MEASURE Stats -> Avg: 1.6305 | Median: 1.7000 | Mode: 1.7300 | Max: 1.9000 | Min: 0.5600
# SSPEED Stats -> Avg: 1350.0408 | Median: 1588.3000 | Mode: 15.0000 | Max: 1892.9000 | Min: 15.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:54:25;10:54:25;10:54:25;B;???;25.0;
10:54:26;10:54:26;10:54:26;B;???;25.0;
10:54:27;10:54:27;10:54:27;B;???;21.0;
10:54:28;10:54:28;10:54:28;B;???;21.0;
10:54:29;10:54:29;10:54:29;B;???;15.0;
10:54:30;10:54:30;10:54:30;B;???;15.0;
10:54:31;10:54:31;10:54:31;B;0.56;1226.6;62.0;
10:54:32;10:54:32;10:54:32;B;1.22;1323.4;73.0;
10:54:33;10:54:33;10:54:33;B;1.53;1368.0;73.0;
10:54:34;10:54:34;10:54:34;B;1.52;1399.9;73.0;
10:54:35;10:54:35;10:54:35;B;1.44;1399.9;73.0;
10:54:36;10:54:36;10:54:36;B;1.62;1441.7;71.0;
10:54:37;10:54:37;10:54:37;B;1.7;1522.1;70.0;
10:54:38;10:54:38;10:54:38;B;1.73;1522.1;70.0;
10:54:39;10:54:39;10:54:39;B;1.56;1543.4;69.0;
10:54:40;10:54:40;10:54:40;B;1.51;1559.7;70.0;
10:54:41;10:54:41;10:54:41;B;1.44;1565.1;72.0;
10:54:42;10:54:42;10:54:42;B;1.38;1565.1;72.0;
10:54:43;10:54:43;10:54:43;B;1.9;1583.3;72.0;
10:54:44;10:54:44;10:54:44;B;1.9;1583.3;72.0;
10:54:45;10:54:45;10:54:45;B;1.69;1582.1;71.0;
10:54:46;10:54:46;10:54:46;B;1.51;1588.3;71.0;
10:54:47;10:54:47;10:54:47;B;1.53;1588.3;71.0;
10:54:48;10:54:48;10:54:48;B;1.67;1603.9;71.0;
10:54:49;10:54:49;10:54:49;B;1.7;1621.8;71.0;
10:54:50;10:54:50;10:54:50;B;1.72;1621.8;71.0;
10:54:51;10:54:51;10:54:51;B;1.73;1639.9;72.0;
10:54:52;10:54:52;10:54:52;B;1.73;1658.2;72.0;
10:54:53;10:54:53;10:54:53;B;1.74;1658.2;72.0;
10:54:54;10:54:54;10:54:54;B;1.73;1661.2;72.0;
10:54:55;10:54:55;10:54:55;B;1.73;1655.4;71.0;
10:54:56;10:54:56;10:54:56;B;1.7;1655.4;71.0;
10:54:57;10:54:57;10:54:57;B;1.69;1659.0;70.0;
10:54:58;10:54:58;10:54:58;B;1.7;1678.0;68.0;
10:54:59;10:54:59;10:54:59;B;1.71;1678.0;68.0;
10:55:00;10:55:00;10:55:00;B;1.73;1694.1;69.0;
10:55:01;10:55:01;10:55:01;B;1.74;1697.5;70.0;
10:55:02;10:55:02;10:55:02;B;1.74;1697.5;70.0;
10:55:03;10:55:03;10:55:03;B;1.75;1696.3;68.0;
10:55:04;10:55:04;10:55:04;B;1.75;1684.2;70.0;
10:55:05;10:55:05;10:55:05;B;1.75;1684.2;70.0;
10:55:06;10:55:06;10:55:06;B;1.75;1674.9;69.0;
10:55:07;10:55:07;10:55:07;B;1.75;1674.9;69.0;
10:55:08;10:55:08;10:55:08;B;1.76;1674.4;64.0;
10:55:09;10:55:09;10:55:09;B;1.64;1888.0;61.0;
10:55:10;10:55:10;10:55:10;B;1.57;1888.0;61.0;
10:55:11;10:55:11;10:55:11;B;???;1892.9;58.0;
10:55:12;10:55:12;10:55:12;B;???;15.0;
10:55:13;10:55:13;10:55:13;B;???;15.0;
