# MEASURE 
# Avg: 30.7138
# Median: 30.7200
# Mode: 31.4500
# Max: 31.6800
# Min: 28.1400
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 08:54:20
# Par.Record       :
# Meas. Point No.: : B:3801
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      13.7 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        72

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:54:20;B;???;21.0;
08:54:21;B;???;21.0;
08:54:22;B;???;21.0;
08:54:23;B;???;21.0;
08:54:24;B;28.14;1457.4;65.0;
08:54:25;B;28.14;1457.4;65.0;
08:54:26;B;29.19;1458.3;73.0;
08:54:27;B;29.72;1459.5;72.0;
08:54:28;B;30.24;1459.5;72.0;
08:54:29;B;30.67;1460.5;72.0;
08:54:30;B;30.66;1461.2;73.0;
08:54:31;B;30.33;1461.2;73.0;
08:54:32;B;30.7;1463.1;64.0;
08:54:33;B;30.7;1463.1;64.0;
08:54:34;B;31.68;1464.4;54.0;
08:54:35;B;31.11;1466.0;59.0;
08:54:36;B;31.11;1466.0;59.0;
08:54:37;B;30.2;1467.4;56.0;
08:54:38;B;30.54;1468.6;55.0;
08:54:39;B;30.64;1469.7;57.0;
08:54:40;B;30.62;1469.7;57.0;
08:54:41;B;30.71;1469.6;57.0;
08:54:42;B;30.77;1469.6;60.0;
08:54:43;B;30.95;1469.6;60.0;
08:54:44;B;31.45;1469.7;60.0;
08:54:45;B;31.47;1470.1;59.0;
08:54:46;B;31.45;1470.1;59.0;
08:54:47;B;31.46;1470.4;62.0;
08:54:48;B;31.45;1470.4;62.0;
08:54:49;B;31.28;1470.7;66.0;
08:54:50;B;31.23;1471.1;65.0;
08:54:51;B;31.25;1471.8;64.0;
08:54:52;B;31.22;1471.8;64.0;
08:54:53;B;31.35;1472.6;58.0;
08:54:54;B;31.43;1473.2;56.0;
08:54:55;B;31.47;1473.2;56.0;
08:54:56;B;31.39;1472.4;61.0;
08:54:57;B;31.4;1472.1;62.0;
08:54:58;B;???;1472.1;62.0;
08:54:59;B;31.37;1472.0;66.0;
08:55:00;B;31.37;1472.4;65.0;
08:55:01;B;31.29;1472.4;65.0;
08:55:02;B;31.27;1472.8;65.0;
08:55:03;B;31.26;1473.2;64.0;
08:55:04;B;31.08;1473.2;64.0;
08:55:05;B;30.98;1473.6;62.0;
08:55:06;B;30.94;1473.8;63.0;
08:55:07;B;30.89;1473.8;63.0;
08:55:08;B;30.83;1473.6;64.0;
08:55:09;B;30.79;1473.5;64.0;
08:55:10;B;30.76;1473.5;64.0;
08:55:11;B;30.72;1473.2;64.0;
08:55:12;B;30.72;1473.2;64.0;
08:55:13;B;30.59;1472.9;64.0;
08:55:14;B;30.46;1472.5;64.0;
08:55:15;B;30.43;1472.3;64.0;
08:55:16;B;30.39;1472.3;64.0;
08:55:17;B;30.39;1472.2;64.0;
08:55:18;B;30.39;1472.2;64.0;
08:55:19;B;30.35;1472.0;64.0;
08:55:20;B;30.29;1471.9;57.0;
08:55:21;B;30.31;1471.9;57.0;
08:55:22;B;30.32;1471.6;58.0;
08:55:23;B;30.34;1470.7;56.0;
08:55:24;B;30.33;1470.7;56.0;
08:55:25;B;30.28;1469.9;43.0;
08:55:26;B;30.19;1469.7;47.0;
08:55:27;B;30.15;1469.4;51.0;
08:55:28;B;30.08;1469.4;51.0;
08:55:29;B;???;13.0;
08:55:30;B;???;13.0;
08:55:31;B;???;13.0;
