# MEASURE 
# Avg: 134.8227
# Median: 135.2900
# Mode: 131.7600
# Max: 138.4500
# Min: 130.1800
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 09:01:06
# Par.Record       :
# Meas. Point No.: : B:3906
# Outer Diameter  :     139.7 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      52.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       253

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:01:06;B;???;26.0;
09:01:07;B;???;26.0;
09:01:08;B;???;26.0;
09:01:09;B;???;26.0;
09:01:10;B;133.7;1453.7;62.0;
09:01:11;B;132.55;1455.9;70.0;
09:01:12;B;131.39;1455.9;70.0;
09:01:13;B;131.23;1457.2;70.0;
09:01:14;B;130.48;1457.2;70.0;
09:01:15;B;131.26;1458.2;71.0;
09:01:16;B;132.44;1459.0;69.0;
09:01:17;B;133.03;1460.7;68.0;
09:01:18;B;135.1;1460.7;68.0;
09:01:19;B;136.11;1461.2;66.0;
09:01:20;B;135.72;1461.2;66.0;
09:01:21;B;135.92;1461.8;66.0;
09:01:22;B;134.14;1462.3;65.0;
09:01:23;B;134.14;1462.3;65.0;
09:01:24;B;133.98;1462.9;65.0;
09:01:25;B;135.08;1463.4;64.0;
09:01:26;B;135.3;1463.4;64.0;
09:01:27;B;133.87;1463.3;65.0;
09:01:28;B;132.77;1462.8;66.0;
09:01:29;B;132.15;1461.9;64.0;
09:01:30;B;132.92;1461.9;64.0;
09:01:31;B;132.29;1460.9;64.0;
09:01:32;B;132.31;1460.1;63.0;
09:01:33;B;131.76;1460.1;63.0;
09:01:34;B;131.76;1460.0;64.0;
09:01:35;B;131.76;1460.0;64.0;
09:01:36;B;132.17;1460.0;65.0;
09:01:37;B;132.68;1460.0;66.0;
09:01:38;B;132.91;1460.1;66.0;
09:01:39;B;133.07;1460.1;66.0;
09:01:40;B;133.07;1460.1;63.0;
09:01:41;B;132.68;1460.3;63.0;
09:01:42;B;132.48;1460.3;63.0;
09:01:43;B;132.68;1460.3;65.0;
09:01:44;B;132.8;1460.3;66.0;
09:01:45;B;132.86;1460.3;66.0;
09:01:46;B;132.99;1460.3;66.0;
09:01:47;B;133.16;1460.3;66.0;
09:01:48;B;133.39;1460.3;66.0;
09:01:49;B;133.05;1460.2;67.0;
09:01:50;B;132.77;1460.1;68.0;
09:01:51;B;133.1;1460.1;68.0;
09:01:52;B;132.8;1460.0;68.0;
09:01:53;B;132.88;1460.0;68.0;
09:01:54;B;132.73;1460.0;68.0;
09:01:55;B;132.6;1459.9;68.0;
09:01:56;B;132.61;1459.9;68.0;
09:01:57;B;132.74;1459.9;68.0;
09:01:58;B;132.94;1459.9;68.0;
09:01:59;B;132.94;1460.0;68.0;
09:02:00;B;133.11;1460.0;68.0;
09:02:01;B;132.78;1460.0;68.0;
09:02:02;B;132.69;1460.0;68.0;
09:02:03;B;133.03;1460.1;67.0;
09:02:04;B;133.08;1460.1;67.0;
09:02:05;B;133.15;1460.2;68.0;
09:02:06;B;133.15;1460.2;68.0;
09:02:07;B;133.2;1460.5;67.0;
09:02:08;B;133.06;1460.8;68.0;
09:02:09;B;133.32;1460.8;68.0;
09:02:10;B;133.67;1461.3;68.0;
09:02:11;B;134.09;1461.1;67.0;
09:02:12;B;133.58;1461.1;67.0;
09:02:13;B;133.92;1460.6;66.0;
09:02:14;B;133.98;1459.6;63.0;
09:02:15;B;133.94;1458.6;64.0;
09:02:16;B;133.94;1458.6;64.0;
09:02:17;B;133.99;1458.3;68.0;
09:02:18;B;133.87;1458.3;68.0;
09:02:19;B;134.0;1459.2;68.0;
09:02:20;B;134.35;1460.3;68.0;
09:02:21;B;134.72;1460.3;68.0;
09:02:22;B;135.59;1461.3;68.0;
09:02:23;B;135.89;1462.4;67.0;
09:02:24;B;135.93;1462.4;67.0;
09:02:25;B;136.15;1462.7;68.0;
09:02:26;B;136.23;1462.9;68.0;
09:02:27;B;136.64;1462.9;68.0;
09:02:28;B;137.4;1463.7;66.0;
09:02:29;B;137.31;1463.8;66.0;
09:02:30;B;137.15;1463.8;66.0;
09:02:31;B;137.38;1463.9;66.0;
09:02:32;B;137.52;1464.0;64.0;
09:02:33;B;137.46;1464.0;64.0;
09:02:34;B;137.08;1464.0;64.0;
09:02:35;B;136.37;1464.0;62.0;
09:02:36;B;136.18;1464.0;62.0;
09:02:37;B;135.77;1464.0;62.0;
09:02:38;B;135.77;1464.0;62.0;
09:02:39;B;135.62;1464.0;62.0;
09:02:40;B;135.74;1464.1;61.0;
09:02:41;B;135.48;1464.1;62.0;
09:02:42;B;135.25;1464.1;62.0;
09:02:43;B;135.34;1464.2;62.0;
09:02:44;B;135.23;1464.2;62.0;
09:02:45;B;135.23;1464.2;62.0;
09:02:46;B;135.01;1464.1;62.0;
09:02:47;B;135.34;1464.0;58.0;
09:02:48;B;135.29;1464.0;58.0;
09:02:49;B;135.33;1463.8;56.0;
09:02:50;B;135.4;1463.5;52.0;
09:02:51;B;135.76;1463.5;52.0;
09:02:52;B;136.38;1463.8;46.0;
09:02:53;B;136.29;1463.4;47.0;
09:02:54;B;135.97;1463.4;47.0;
09:02:55;B;135.48;1463.2;47.0;
09:02:56;B;135.72;1462.9;46.0;
09:02:57;B;136.01;1462.6;46.0;
09:02:58;B;135.93;1462.6;46.0;
09:02:59;B;136.15;1462.3;45.0;
09:03:00;B;136.37;1462.3;45.0;
09:03:01;B;136.45;1461.9;46.0;
09:03:02;B;136.63;1461.4;44.0;
09:03:03;B;136.6;1461.7;42.0;
09:03:04;B;136.73;1461.7;42.0;
09:03:05;B;137.3;1461.5;44.0;
09:03:06;B;137.43;1461.4;44.0;
09:03:07;B;137.92;1461.4;44.0;
09:03:08;B;???;34.0;
09:03:09;B;???;34.0;
09:03:10;B;???;34.0;
09:03:11;B;???;32.0;
09:03:12;B;137.71;1461.1;36.0;
09:03:13;B;136.82;1461.1;36.0;
09:03:14;B;135.62;1460.6;42.0;
09:03:15;B;134.16;1460.6;41.0;
09:03:16;B;133.51;1460.3;38.0;
09:03:17;B;132.58;1460.3;38.0;
09:03:18;B;132.38;1475.9;36.0;
09:03:19;B;132.38;1475.9;36.0;
09:03:20;B;???;34.0;
09:03:21;B;131.01;1475.9;34.0;
09:03:22;B;130.38;1476.3;59.0;
09:03:23;B;130.36;1476.8;67.0;
09:03:24;B;130.18;1476.8;67.0;
09:03:25;B;131.32;1477.4;68.0;
09:03:26;B;131.96;1475.7;68.0;
09:03:27;B;133.69;1473.9;67.0;
09:03:28;B;134.54;1473.9;67.0;
09:03:29;B;135.61;1472.2;66.0;
09:03:30;B;135.63;1472.2;66.0;
09:03:31;B;136.61;1470.4;66.0;
09:03:32;B;136.83;1468.7;68.0;
09:03:33;B;136.59;1468.7;68.0;
09:03:34;B;136.89;1467.1;68.0;
09:03:35;B;137.46;1465.2;67.0;
09:03:36;B;137.45;1465.3;67.0;
09:03:37;B;137.46;1465.3;67.0;
09:03:38;B;137.58;1465.4;67.0;
09:03:39;B;137.49;1465.5;68.0;
09:03:40;B;137.61;1465.5;68.0;
09:03:41;B;138.41;1465.6;68.0;
09:03:42;B;138.45;1465.8;69.0;
09:03:43;B;138.26;1465.8;69.0;
09:03:44;B;137.77;1466.0;69.0;
09:03:45;B;137.76;1466.0;68.0;
09:03:46;B;137.38;1466.0;68.0;
09:03:47;B;137.7;1465.9;68.0;
09:03:48;B;137.65;1465.9;69.0;
09:03:49;B;137.48;1465.9;69.0;
09:03:50;B;137.52;1465.7;70.0;
09:03:51;B;137.66;1465.5;68.0;
09:03:52;B;137.54;1465.5;68.0;
09:03:53;B;137.39;1465.2;69.0;
09:03:54;B;137.15;1465.0;68.0;
09:03:55;B;136.98;1465.0;68.0;
09:03:56;B;136.5;1464.7;69.0;
09:03:57;B;136.37;1464.4;69.0;
09:03:58;B;136.21;1464.2;69.0;
09:03:59;B;136.16;1464.2;69.0;
09:04:00;B;136.0;1464.0;69.0;
09:04:01;B;136.0;1464.0;69.0;
09:04:02;B;135.76;1463.9;70.0;
09:04:03;B;136.4;1463.9;69.0;
09:04:04;B;136.71;1464.0;70.0;
09:04:05;B;136.59;1464.0;70.0;
09:04:06;B;???;1464.2;67.0;
09:04:07;B;???;26.0;
09:04:08;B;???;23.0;
09:04:09;B;???;23.0;
09:04:10;B;???;24.0;
09:04:11;B;???;24.0;
09:04:12;B;???;15.0;
09:04:13;B;???;18.0;
09:04:14;B;???;18.0;
09:04:15;B;???;18.0;
09:04:16;B;???;20.0;
09:04:17;B;???;21.0;
09:04:18;B;???;21.0;
09:04:19;B;???;21.0;
09:04:20;B;???;21.0;
09:04:21;B;???;21.0;
09:04:22;B;???;21.0;
09:04:23;B;???;19.0;
09:04:24;B;???;21.0;
09:04:25;B;???;21.0;
09:04:26;B;???;21.0;
09:04:27;B;???;21.0;
09:04:28;B;???;21.0;
09:04:29;B;???;22.0;
09:04:30;B;???;22.0;
09:04:31;B;???;20.0;
09:04:32;B;???;20.0;
09:04:33;B;???;20.0;
09:04:34;B;???;20.0;
09:04:35;B;???;20.0;
09:04:36;B;???;19.0;
09:04:37;B;???;19.0;
09:04:38;B;???;21.0;
09:04:39;B;???;21.0;
09:04:40;B;???;21.0;
09:04:41;B;???;20.0;
09:04:42;B;???;20.0;
09:04:43;B;???;19.0;
09:04:44;B;???;19.0;
09:04:45;B;???;22.0;
09:04:46;B;???;20.0;
09:04:47;B;???;20.0;
09:04:48;B;???;20.0;
09:04:49;B;???;21.0;
09:04:50;B;???;21.0;
09:04:51;B;???;21.0;
09:04:52;B;???;21.0;
09:04:53;B;???;21.0;
09:04:54;B;???;21.0;
09:04:55;B;???;21.0;
09:04:56;B;???;20.0;
09:04:57;B;???;20.0;
09:04:58;B;???;22.0;
09:04:59;B;???;22.0;
09:05:00;B;???;22.0;
09:05:01;B;???;21.0;
09:05:02;B;???;21.0;
09:05:03;B;???;21.0;
09:05:04;B;???;20.0;
09:05:05;B;???;20.0;
09:05:06;B;???;20.0;
09:05:07;B;???;21.0;
09:05:08;B;???;21.0;
09:05:09;B;???;22.0;
09:05:10;B;???;22.0;
09:05:11;B;???;22.0;
09:05:12;B;???;20.0;
09:05:13;B;???;20.0;
09:05:14;B;???;20.0;
09:05:15;B;???;21.0;
09:05:16;B;???;21.0;
09:05:17;B;???;21.0;
09:05:18;B;???;19.0;
