# MEASURE 
# Avg: 38.5158
# Median: 38.7100
# Mode: 38.8100
# Max: 41.0100
# Min: 33.9300
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 09:06:14
# Par.Record       :
# Meas. Point No.: : B:31006
# Outer Diameter  :     139.7 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      52.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        97

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:06:14;B;???;26.0;
09:06:15;B;???;26.0;
09:06:16;B;???;26.0;
09:06:17;B;???;24.0;
09:06:18;B;???;24.0;
09:06:19;B;???;26.0;
09:06:20;B;???;26.0;
09:06:21;B;???;27.0;
09:06:22;B;???;27.0;
09:06:23;B;???;26.0;
09:06:24;B;???;25.0;
09:06:25;B;???;25.0;
09:06:26;B;???;25.0;
09:06:27;B;33.93;1467.3;54.0;
09:06:28;B;33.93;1467.3;54.0;
09:06:29;B;34.76;1468.7;72.0;
09:06:30;B;35.31;1468.7;72.0;
09:06:31;B;35.5;1469.8;68.0;
09:06:32;B;36.31;1470.6;71.0;
09:06:33;B;37.89;1471.3;70.0;
09:06:34;B;38.8;1471.3;70.0;
09:06:35;B;37.48;1472.6;70.0;
09:06:36;B;38.16;1473.0;69.0;
09:06:37;B;38.16;1473.0;69.0;
09:06:38;B;35.95;1473.4;69.0;
09:06:39;B;36.81;1473.8;69.0;
09:06:40;B;36.17;1473.8;69.0;
09:06:41;B;37.57;1474.2;69.0;
09:06:42;B;38.99;1474.6;69.0;
09:06:43;B;39.11;1474.6;68.0;
09:06:44;B;38.84;1474.6;68.0;
09:06:45;B;39.84;1474.7;69.0;
09:06:46;B;40.82;1474.8;69.0;
09:06:47;B;41.01;1474.8;69.0;
09:06:48;B;40.5;1474.8;69.0;
09:06:49;B;40.44;1474.9;70.0;
09:06:50;B;39.83;1474.9;70.0;
09:06:51;B;39.46;1474.9;70.0;
09:06:52;B;39.19;1475.0;70.0;
09:06:53;B;39.16;1475.0;70.0;
09:06:54;B;38.81;1475.0;69.0;
09:06:55;B;38.69;1475.0;68.0;
09:06:56;B;38.69;1475.0;68.0;
09:06:57;B;38.72;1475.0;69.0;
09:06:58;B;38.81;1475.0;69.0;
09:06:59;B;38.81;1475.0;69.0;
09:07:00;B;38.73;1475.0;70.0;
09:07:01;B;38.74;1475.0;70.0;
09:07:02;B;38.71;1475.0;70.0;
09:07:03;B;38.81;1475.1;70.0;
09:07:04;B;38.63;1475.0;70.0;
09:07:05;B;38.63;1475.0;70.0;
09:07:06;B;38.91;1475.1;70.0;
09:07:07;B;38.6;1475.1;70.0;
09:07:08;B;38.51;1475.1;70.0;
09:07:09;B;38.46;1475.1;70.0;
09:07:10;B;38.67;1475.1;70.0;
09:07:11;B;38.43;1475.2;70.0;
09:07:12;B;38.49;1475.2;70.0;
09:07:13;B;38.38;1475.2;69.0;
09:07:14;B;38.41;1475.2;69.0;
09:07:15;B;38.67;1475.2;69.0;
09:07:16;B;39.02;1475.2;69.0;
09:07:17;B;39.38;1475.2;69.0;
09:07:18;B;39.49;1475.1;70.0;
09:07:19;B;39.33;1475.1;70.0;
09:07:20;B;39.55;1475.1;69.0;
09:07:21;B;39.55;1475.1;69.0;
09:07:22;B;39.45;1475.2;69.0;
09:07:23;B;39.47;1475.1;68.0;
09:07:24;B;39.53;1475.2;68.0;
09:07:25;B;39.39;1475.2;68.0;
09:07:26;B;39.38;1475.0;64.0;
09:07:27;B;39.47;1474.5;61.0;
09:07:28;B;39.39;1474.5;61.0;
09:07:29;B;39.25;1474.3;62.0;
09:07:30;B;39.25;1474.3;62.0;
09:07:31;B;38.69;1474.1;63.0;
09:07:32;B;38.4;1473.7;68.0;
09:07:33;B;38.36;1473.7;68.0;
09:07:34;B;38.27;1473.1;68.0;
09:07:35;B;38.27;1472.9;68.0;
09:07:36;B;38.27;1472.9;68.0;
09:07:37;B;37.92;1472.7;67.0;
09:07:38;B;38.16;1472.4;65.0;
09:07:39;B;38.3;1472.2;66.0;
09:07:40;B;38.26;1472.2;66.0;
09:07:41;B;38.3;1472.4;66.0;
09:07:42;B;38.22;1472.4;66.0;
09:07:43;B;38.47;1472.6;68.0;
09:07:44;B;38.64;1472.8;70.0;
09:07:45;B;38.94;1473.1;70.0;
09:07:46;B;38.99;1473.1;70.0;
09:07:47;B;38.92;1473.4;70.0;
09:07:48;B;39.15;1473.7;70.0;
09:07:49;B;39.15;1473.7;70.0;
09:07:50;B;???;13.0;
