# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 09:15:08
# Par.Record       :
# Meas. Point No.: : B:31001
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      13.7 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        66
# MEASURE Stats -> Avg: 41.6837 | Median: 41.6000 | Mode: 41.6800 | Max: 42.6600 | Min: 40.8200
# SSPEED Stats -> Avg: 1116.6727 | Median: 1440.6500 | Mode: 1441.6000 | Max: 1446.6000 | Min: 13.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:15:08;B;???;23.0;
09:15:09;B;???;23.0;
09:15:10;B;???;20.0;
09:15:11;B;???;20.0;
09:15:12;B;???;20.0;
09:15:13;B;???;56.0;
09:15:14;B;???;1399.2;44.0;
09:15:15;B;???;1399.2;44.0;
09:15:16;B;???;38.0;
09:15:17;B;42.17;1421.9;62.0;
09:15:18;B;40.9;1421.9;62.0;
09:15:19;B;40.82;1430.7;70.0;
09:15:20;B;41.6;1430.7;70.0;
09:15:21;B;42.11;1435.0;69.0;
09:15:22;B;41.68;1437.2;68.0;
09:15:23;B;41.68;1437.2;68.0;
09:15:24;B;42.35;1446.6;71.0;
09:15:25;B;42.05;1446.2;69.0;
09:15:26;B;41.94;1446.2;69.0;
09:15:27;B;42.18;1445.5;68.0;
09:15:28;B;42.51;1444.5;68.0;
09:15:29;B;41.91;1443.5;67.0;
09:15:30;B;41.41;1443.5;67.0;
09:15:31;B;41.53;1442.7;66.0;
09:15:32;B;41.69;1442.5;67.0;
09:15:33;B;41.71;1442.5;67.0;
09:15:34;B;42.66;1442.4;66.0;
09:15:35;B;42.5;1442.2;66.0;
09:15:36;B;41.81;1442.2;66.0;
09:15:37;B;41.92;1442.0;67.0;
09:15:38;B;42.02;1441.6;67.0;
09:15:39;B;42.09;1441.6;67.0;
09:15:40;B;41.83;1441.5;67.0;
09:15:41;B;41.8;1441.5;67.0;
09:15:42;B;41.82;1441.6;66.0;
09:15:43;B;41.74;1441.6;66.0;
09:15:44;B;41.7;1441.2;66.0;
09:15:45;B;41.66;1441.2;66.0;
09:15:46;B;41.5;1441.1;66.0;
09:15:47;B;41.53;1440.8;67.0;
09:15:48;B;41.5;1441.0;66.0;
09:15:49;B;41.48;1441.0;66.0;
09:15:50;B;41.37;1441.1;66.0;
09:15:51;B;41.35;1441.0;67.0;
09:15:52;B;41.28;1441.0;67.0;
09:15:53;B;41.38;1440.9;66.0;
09:15:54;B;41.39;1440.9;67.0;
09:15:55;B;41.38;1440.9;67.0;
09:15:56;B;41.3;1440.6;66.0;
09:15:57;B;41.3;1440.6;66.0;
09:15:58;B;41.31;1440.6;66.0;
09:15:59;B;41.48;1440.7;66.0;
09:16:00;B;41.57;1440.3;66.0;
09:16:01;B;41.56;1440.3;66.0;
09:16:02;B;41.55;1440.3;66.0;
09:16:03;B;41.54;1439.8;66.0;
09:16:04;B;41.47;1439.6;66.0;
09:16:05;B;41.47;1439.6;66.0;
09:16:06;B;???;13.0;
09:16:07;B;???;13.0;
09:16:08;B;???;13.0;
09:16:09;B;???;13.0;
09:16:10;B;???;15.0;
09:16:11;B;???;15.0;
09:16:12;B;???;21.0;
09:16:13;B;???;28.0;
