# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 09:23:18
# Par.Record       :
# Meas. Point No.: : B:3900.02
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        80
# MEASURE Stats -> Avg: 190.6486 | Median: 191.8800 | Mode: 177.3500 | Max: 194.3000 | Min: 177.3500
# SSPEED Stats -> Avg: 1059.3637 | Median: 1380.9500 | Mode: 27.0000 | Max: 1382.3000 | Min: 23.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:23:18;B;???;27.0;
09:23:19;B;???;27.0;
09:23:20;B;???;27.0;
09:23:21;B;???;26.0;
09:23:22;B;???;26.0;
09:23:23;B;???;26.0;
09:23:24;B;???;26.0;
09:23:25;B;???;30.0;
09:23:26;B;???;30.0;
09:23:27;B;???;27.0;
09:23:28;B;???;27.0;
09:23:29;B;???;27.0;
09:23:30;B;???;27.0;
09:23:31;B;177.35;1377.0;67.0;
09:23:32;B;177.35;1377.0;67.0;
09:23:33;B;180.66;1377.8;71.0;
09:23:34;B;182.58;1377.8;71.0;
09:23:35;B;182.58;1377.8;71.0;
09:23:36;B;185.6;1378.9;67.0;
09:23:37;B;187.38;1378.9;67.0;
09:23:38;B;188.73;1379.6;68.0;
09:23:39;B;188.54;1379.6;68.0;
09:23:40;B;189.32;1380.0;67.0;
09:23:41;B;190.21;1380.0;67.0;
09:23:42;B;192.22;1380.4;66.0;
09:23:43;B;194.3;1380.7;66.0;
09:23:44;B;194.04;1380.8;66.0;
09:23:45;B;194.21;1380.8;66.0;
09:23:46;B;193.74;1381.5;66.0;
09:23:47;B;192.75;1381.5;66.0;
09:23:48;B;193.49;1381.6;65.0;
09:23:49;B;193.23;1381.6;65.0;
09:23:50;B;192.7;1381.6;65.0;
09:23:51;B;192.0;1381.7;64.0;
09:23:52;B;192.25;1381.7;64.0;
09:23:53;B;191.88;1381.7;64.0;
09:23:54;B;192.83;1381.8;64.0;
09:23:55;B;192.23;1381.9;64.0;
09:23:56;B;192.48;1381.9;64.0;
09:23:57;B;191.81;1381.8;62.0;
09:23:58;B;191.69;1381.7;62.0;
09:23:59;B;191.12;1381.7;62.0;
09:24:00;B;190.94;1381.6;62.0;
09:24:01;B;190.65;1381.5;62.0;
09:24:02;B;190.56;1381.4;62.0;
09:24:03;B;190.43;1381.4;62.0;
09:24:04;B;189.75;1381.2;62.0;
09:24:05;B;190.21;1381.1;62.0;
09:24:06;B;189.58;1381.0;61.0;
09:24:07;B;189.82;1381.0;61.0;
09:24:08;B;190.43;1380.9;61.0;
09:24:09;B;189.96;1380.9;61.0;
09:24:10;B;190.69;1380.8;59.0;
09:24:11;B;190.66;1380.9;62.0;
09:24:12;B;191.15;1380.9;66.0;
09:24:13;B;191.43;1380.9;66.0;
09:24:14;B;191.77;1381.0;66.0;
09:24:15;B;192.35;1381.2;66.0;
09:24:16;B;192.98;1381.3;67.0;
09:24:17;B;193.04;1381.6;68.0;
09:24:18;B;193.46;1381.6;68.0;
09:24:19;B;193.12;1381.8;69.0;
09:24:20;B;192.69;1381.8;69.0;
09:24:21;B;192.25;1381.9;68.0;
09:24:22;B;192.54;1382.0;69.0;
09:24:23;B;193.43;1382.0;68.0;
09:24:24;B;193.05;1382.1;68.0;
09:24:25;B;192.43;1382.1;68.0;
09:24:26;B;192.36;1382.2;68.0;
09:24:27;B;192.6;1382.2;66.0;
09:24:28;B;192.44;1382.2;66.0;
09:24:29;B;192.23;1382.2;66.0;
09:24:30;B;???;1382.3;65.0;
09:24:31;B;???;1382.3;65.0;
09:24:32;B;???;31.0;
09:24:33;B;???;27.0;
09:24:34;B;???;26.0;
09:24:35;B;???;26.0;
09:24:36;B;???;23.0;
09:24:37;B;???;23.0;
