# MEASURE 
# Avg: 248.3088
# Median: 247.6900
# Mode: 233.5300
# Max: 262.3600
# Min: 233.5200
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 09:32:44
# Par.Record       :
# Meas. Point No.: : B:3900.01
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       100

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:32:44;B;???;28.0;
09:32:45;B;???;28.0;
09:32:46;B;???;28.0;
09:32:47;B;???;26.0;
09:32:48;B;???;26.0;
09:32:49;B;???;26.0;
09:32:50;B;???;27.0;
09:32:51;B;???;27.0;
09:32:52;B;233.53;1461.6;68.0;
09:32:53;B;233.53;1461.6;68.0;
09:32:54;B;233.53;1461.6;68.0;
09:32:55;B;???;34.0;
09:32:56;B;???;34.0;
09:32:57;B;233.52;1461.5;36.0;
09:32:58;B;238.03;1461.5;36.0;
09:32:59;B;???;1461.5;36.0;
09:33:00;B;247.4;1463.2;71.0;
09:33:01;B;247.96;1463.2;71.0;
09:33:02;B;246.37;1464.1;70.0;
09:33:03;B;255.57;1464.7;70.0;
09:33:04;B;255.57;1464.7;70.0;
09:33:05;B;257.66;1465.7;70.0;
09:33:06;B;262.36;1465.7;70.0;
09:33:07;B;256.41;1466.0;69.0;
09:33:08;B;250.64;1466.2;70.0;
09:33:09;B;249.38;1466.5;68.0;
09:33:10;B;248.24;1466.5;68.0;
09:33:11;B;245.85;1466.7;68.0;
09:33:12;B;251.02;1467.0;68.0;
09:33:13;B;249.11;1467.0;68.0;
09:33:14;B;254.33;1467.0;69.0;
09:33:15;B;254.33;1467.0;69.0;
09:33:16;B;257.6;1467.1;69.0;
09:33:17;B;252.89;1467.2;69.0;
09:33:18;B;252.52;1467.1;69.0;
09:33:19;B;258.12;1467.1;69.0;
09:33:20;B;256.12;1467.1;69.0;
09:33:21;B;256.26;1467.2;70.0;
09:33:22;B;253.25;1467.2;70.0;
09:33:23;B;251.53;1467.2;70.0;
09:33:24;B;251.05;1467.3;70.0;
09:33:25;B;251.22;1467.3;70.0;
09:33:26;B;250.97;1467.4;70.0;
09:33:27;B;251.23;1467.5;70.0;
09:33:28;B;250.02;1467.5;70.0;
09:33:29;B;250.81;1467.5;70.0;
09:33:30;B;249.34;1467.6;70.0;
09:33:31;B;246.85;1467.6;70.0;
09:33:32;B;244.22;1467.7;70.0;
09:33:33;B;245.12;1467.8;70.0;
09:33:34;B;245.8;1467.8;70.0;
09:33:35;B;245.69;1467.9;70.0;
09:33:36;B;246.54;1467.8;71.0;
09:33:37;B;246.54;1467.8;71.0;
09:33:38;B;246.26;1467.8;70.0;
09:33:39;B;246.75;1467.8;70.0;
09:33:40;B;245.85;1467.8;70.0;
09:33:41;B;246.58;1467.8;70.0;
09:33:42;B;246.44;1467.8;70.0;
09:33:43;B;245.42;1467.7;70.0;
09:33:44;B;246.72;1467.7;70.0;
09:33:45;B;247.77;1467.7;69.0;
09:33:46;B;247.77;1467.7;69.0;
09:33:47;B;247.93;1467.7;70.0;
09:33:48;B;248.16;1467.7;70.0;
09:33:49;B;248.08;1467.7;70.0;
09:33:50;B;248.16;1467.6;71.0;
09:33:51;B;247.61;1467.7;70.0;
09:33:52;B;247.29;1467.7;70.0;
09:33:53;B;247.14;1467.7;70.0;
09:33:54;B;246.61;1467.7;70.0;
09:33:55;B;246.09;1467.7;70.0;
09:33:56;B;245.78;1467.7;70.0;
09:33:57;B;246.07;1467.7;70.0;
09:33:58;B;246.21;1467.7;70.0;
09:33:59;B;245.37;1467.7;70.0;
09:34:00;B;245.69;1467.7;70.0;
09:34:01;B;245.72;1467.6;71.0;
09:34:02;B;245.5;1467.6;71.0;
09:34:03;B;???;1467.6;71.0;
09:34:04;B;???;30.0;
09:34:05;B;???;23.0;
09:34:06;B;???;23.0;
09:34:07;B;???;23.0;
09:34:08;B;???;29.0;
09:34:09;B;???;29.0;
09:34:10;B;???;28.0;
09:34:11;B;???;27.0;
09:34:12;B;???;27.0;
09:34:13;B;???;27.0;
09:34:14;B;???;27.0;
09:34:15;B;???;21.0;
09:34:16;B;???;21.0;
09:34:17;B;???;21.0;
09:34:18;B;???;13.0;
09:34:19;B;???;13.0;
09:34:20;B;???;15.0;
09:34:21;B;???;15.0;
09:34:22;B;???;15.0;
09:34:23;B;???;15.0;
