# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 10:28:55
# Par.Record       :
# Meas. Point No.: : B:47-11.12
# Outer Diameter  :     220.0 mm
# Wall Thickness  :       5.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     118.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       249
# MEASURE Stats -> Avg: -64.7599 | Median: -64.3900 | Mode: -61.8000 | Max: -60.3700 | Min: -70.1600
# SSPEED Stats -> Avg: 644.5522 | Median: 30.0000 | Mode: 26.0000 | Max: 1549.3000 | Min: 21.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:28:55;10:28:55;10:28:55;B;???;30.0;
10:28:56;10:28:56;10:28:56;B;???;30.0;
10:28:57;10:28:57;10:28:57;B;???;30.0;
10:28:58;10:28:58;10:28:58;B;???;32.0;
10:28:59;10:28:59;10:28:59;B;???;32.0;
10:29:00;10:29:00;10:29:00;B;???;31.0;
10:29:01;10:29:01;10:29:01;B;???;31.0;
10:29:02;10:29:02;10:29:02;B;???;1499.4;32.0;
10:29:03;10:29:03;10:29:03;B;???;1499.4;32.0;
10:29:04;10:29:04;10:29:04;B;???;1499.4;32.0;
10:29:05;10:29:05;10:29:05;B;-60.59;1504.6;41.0;
10:29:06;10:29:06;10:29:06;B;???;1504.6;41.0;
10:29:07;10:29:07;10:29:07;B;???;1504.6;41.0;
10:29:08;10:29:08;10:29:08;B;???;1504.6;41.0;
10:29:09;10:29:09;10:29:09;B;???;1504.6;41.0;
10:29:10;10:29:10;10:29:10;B;???;35.0;
10:29:11;10:29:11;10:29:11;B;???;35.0;
10:29:12;10:29:12;10:29:12;B;-61.52;1549.3;35.0;
10:29:13;10:29:13;10:29:13;B;-62.65;1549.3;35.0;
10:29:14;10:29:14;10:29:14;B;-63.95;1549.3;35.0;
10:29:15;10:29:15;10:29:15;B;-65.86;1549.3;35.0;
10:29:16;10:29:16;10:29:16;B;-65.86;1549.3;35.0;
10:29:17;10:29:17;10:29:17;B;-65.58;1536.9;37.0;
10:29:18;10:29:18;10:29:18;B;???;1536.9;37.0;
10:29:19;10:29:19;10:29:19;B;???;1536.9;37.0;
10:29:20;10:29:20;10:29:20;B;???;1536.9;37.0;
10:29:21;10:29:21;10:29:21;B;???;1536.9;37.0;
10:29:22;10:29:22;10:29:22;B;-65.49;1532.6;38.0;
10:29:23;10:29:23;10:29:23;B;-63.53;1532.6;38.0;
10:29:24;10:29:24;10:29:24;B;-63.87;1532.6;38.0;
10:29:25;10:29:25;10:29:25;B;-63.87;1532.6;38.0;
10:29:26;10:29:26;10:29:26;B;-64.11;1533.9;38.0;
10:29:27;10:29:27;10:29:27;B;-63.37;1533.9;38.0;
10:29:28;10:29:28;10:29:28;B;-62.61;1533.9;38.0;
10:29:29;10:29:29;10:29:29;B;???;1533.9;38.0;
10:29:30;10:29:30;10:29:30;B;???;1533.9;38.0;
10:29:31;10:29:31;10:29:31;B;???;1533.9;38.0;
10:29:32;10:29:32;10:29:32;B;???;1533.9;38.0;
10:29:33;10:29:33;10:29:33;B;???;1531.9;36.0;
10:29:34;10:29:34;10:29:34;B;-61.8;1531.9;36.0;
10:29:35;10:29:35;10:29:35;B;???;1531.9;36.0;
10:29:36;10:29:36;10:29:36;B;???;1531.9;36.0;
10:29:37;10:29:37;10:29:37;B;???;32.0;
10:29:38;10:29:38;10:29:38;B;???;32.0;
10:29:39;10:29:39;10:29:39;B;???;32.0;
10:29:40;10:29:40;10:29:40;B;???;35.0;
10:29:41;10:29:41;10:29:41;B;???;35.0;
10:29:42;10:29:42;10:29:42;B;???;35.0;
10:29:43;10:29:43;10:29:43;B;???;31.0;
10:29:44;10:29:44;10:29:44;B;???;31.0;
10:29:45;10:29:45;10:29:45;B;???;29.0;
10:29:46;10:29:46;10:29:46;B;???;29.0;
10:29:47;10:29:47;10:29:47;B;???;29.0;
10:29:48;10:29:48;10:29:48;B;???;1527.1;35.0;
10:29:49;10:29:49;10:29:49;B;???;1527.1;35.0;
10:29:50;10:29:50;10:29:50;B;???;1527.1;35.0;
10:29:51;10:29:51;10:29:51;B;???;1527.1;35.0;
10:29:52;10:29:52;10:29:52;B;???;1527.1;35.0;
10:29:53;10:29:53;10:29:53;B;???;1527.1;35.0;
10:29:54;10:29:54;10:29:54;B;???;31.0;
10:29:55;10:29:55;10:29:55;B;???;31.0;
10:29:56;10:29:56;10:29:56;B;???;31.0;
10:29:57;10:29:57;10:29:57;B;???;31.0;
10:29:58;10:29:58;10:29:58;B;???;31.0;
10:29:59;10:29:59;10:29:59;B;???;30.0;
10:30:00;10:30:00;10:30:00;B;???;30.0;
10:30:01;10:30:01;10:30:01;B;???;26.0;
10:30:02;10:30:02;10:30:02;B;???;26.0;
10:30:03;10:30:03;10:30:03;B;???;26.0;
10:30:04;10:30:04;10:30:04;B;???;28.0;
10:30:05;10:30:05;10:30:05;B;???;28.0;
10:30:06;10:30:06;10:30:06;B;-63.97;1523.6;37.0;
10:30:07;10:30:07;10:30:07;B;???;1523.6;37.0;
10:30:08;10:30:08;10:30:08;B;-64.39;1523.6;37.0;
10:30:09;10:30:09;10:30:09;B;-64.39;1523.6;37.0;
10:30:10;10:30:10;10:30:10;B;-64.39;1523.6;37.0;
10:30:11;10:30:11;10:30:11;B;-64.1;1517.0;38.0;
10:30:12;10:30:12;10:30:12;B;-64.25;1517.0;38.0;
10:30:13;10:30:13;10:30:13;B;-65.04;1517.0;38.0;
10:30:14;10:30:14;10:30:14;B;-65.04;1517.0;38.0;
10:30:15;10:30:15;10:30:15;B;-65.04;1517.0;38.0;
10:30:16;10:30:16;10:30:16;B;-65.49;1510.5;38.0;
10:30:17;10:30:17;10:30:17;B;-67.13;1510.5;38.0;
10:30:18;10:30:18;10:30:18;B;-67.56;1510.5;38.0;
10:30:19;10:30:19;10:30:19;B;-67.56;1510.5;38.0;
10:30:20;10:30:20;10:30:20;B;-67.56;1510.5;38.0;
10:30:21;10:30:21;10:30:21;B;-69.38;1513.1;36.0;
10:30:22;10:30:22;10:30:22;B;-70.16;1513.1;36.0;
10:30:23;10:30:23;10:30:23;B;-70.16;1513.1;36.0;
10:30:24;10:30:24;10:30:24;B;-70.16;1513.1;36.0;
10:30:25;10:30:25;10:30:25;B;-69.75;1511.4;38.0;
10:30:26;10:30:26;10:30:26;B;-68.74;1511.4;38.0;
10:30:27;10:30:27;10:30:27;B;-67.48;1511.4;38.0;
10:30:28;10:30:28;10:30:28;B;???;1511.4;38.0;
10:30:29;10:30:29;10:30:29;B;???;1511.4;38.0;
10:30:30;10:30:30;10:30:30;B;???;30.0;
10:30:31;10:30:31;10:30:31;B;???;30.0;
10:30:32;10:30:32;10:30:32;B;???;30.0;
10:30:33;10:30:33;10:30:33;B;???;30.0;
10:30:34;10:30:34;10:30:34;B;???;30.0;
10:30:35;10:30:35;10:30:35;B;???;30.0;
10:30:36;10:30:36;10:30:36;B;-68.25;1526.0;38.0;
10:30:37;10:30:37;10:30:37;B;-68.58;1526.0;38.0;
10:30:38;10:30:38;10:30:38;B;-68.85;1526.0;38.0;
10:30:39;10:30:39;10:30:39;B;-68.48;1526.0;38.0;
10:30:40;10:30:40;10:30:40;B;-68.48;1526.0;38.0;
10:30:41;10:30:41;10:30:41;B;-66.54;1522.7;38.0;
10:30:42;10:30:42;10:30:42;B;-64.79;1522.7;38.0;
10:30:43;10:30:43;10:30:43;B;-63.05;1522.7;38.0;
10:30:44;10:30:44;10:30:44;B;-61.8;1522.7;38.0;
10:30:45;10:30:45;10:30:45;B;-61.8;1522.7;38.0;
10:30:46;10:30:46;10:30:46;B;-60.37;1522.7;38.0;
10:30:47;10:30:47;10:30:47;B;-60.65;1522.7;38.0;
10:30:48;10:30:48;10:30:48;B;-61.53;1522.7;38.0;
10:30:49;10:30:49;10:30:49;B;-62.89;1522.7;38.0;
10:30:50;10:30:50;10:30:50;B;-62.89;1522.7;38.0;
10:30:51;10:30:51;10:30:51;B;-63.58;1519.7;38.0;
10:30:52;10:30:52;10:30:52;B;-65.01;1519.7;38.0;
10:30:53;10:30:53;10:30:53;B;-64.71;1519.7;38.0;
10:30:54;10:30:54;10:30:54;B;-64.71;1519.7;38.0;
10:30:55;10:30:55;10:30:55;B;-64.71;1519.7;38.0;
10:30:56;10:30:56;10:30:56;B;-64.01;1515.1;36.0;
10:30:57;10:30:57;10:30:57;B;-63.27;1515.1;36.0;
10:30:58;10:30:58;10:30:58;B;-63.17;1515.1;36.0;
10:30:59;10:30:59;10:30:59;B;-64.87;1515.1;36.0;
10:31:00;10:31:00;10:31:00;B;-64.87;1515.1;36.0;
10:31:01;10:31:01;10:31:01;B;-64.47;1511.5;38.0;
10:31:02;10:31:02;10:31:02;B;-63.75;1511.5;38.0;
10:31:03;10:31:03;10:31:03;B;-63.4;1511.5;38.0;
