# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 10:46:24
# Par.Record       :
# Meas. Point No.: : B:5800.01
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       4.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      36.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        87
# MEASURE Stats -> Avg: -36.3070 | Median: -37.1800 | Mode: -28.1600 | Max: -28.1600 | Min: -41.3000
# SSPEED Stats -> Avg: 1029.8931 | Median: 1659.0000 | Mode: 34.0000 | Max: 1700.6000 | Min: 19.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:46:24;B;???;31.0;
10:46:25;B;???;31.0;
10:46:26;B;???;31.0;
10:46:27;B;???;31.0;
10:46:28;B;-28.16;1612.0;33.0;
10:46:29;B;-28.16;1612.0;33.0;
10:46:30;B;-29.61;1640.9;34.0;
10:46:31;B;-28.41;1640.9;34.0;
10:46:32;B;-28.41;1640.9;34.0;
10:46:33;B;???;34.0;
10:46:34;B;???;34.0;
10:46:35;B;???;34.0;
10:46:36;B;???;34.0;
10:46:37;B;???;34.0;
10:46:38;B;???;29.0;
10:46:39;B;???;29.0;
10:46:40;B;???;30.0;
10:46:41;B;???;28.0;
10:46:42;B;???;28.0;
10:46:43;B;???;32.0;
10:46:44;B;???;32.0;
10:46:45;B;???;19.0;
10:46:46;B;???;19.0;
10:46:47;B;???;23.0;
10:46:48;B;???;23.0;
10:46:49;B;???;24.0;
10:46:50;B;???;24.0;
10:46:51;B;???;23.0;
10:46:52;B;???;23.0;
10:46:53;B;???;24.0;
10:46:54;B;???;24.0;
10:46:55;B;???;22.0;
10:46:56;B;???;22.0;
10:46:57;B;???;26.0;
10:46:58;B;???;20.0;
10:46:59;B;???;20.0;
10:47:00;B;???;20.0;
10:47:01;B;-28.52;1698.0;34.0;
10:47:02;B;-31.17;1698.0;34.0;
10:47:03;B;-32.74;1698.0;34.0;
10:47:04;B;-32.74;1698.0;34.0;
10:47:05;B;-34.02;1695.9;33.0;
10:47:06;B;???;1695.9;33.0;
10:47:07;B;???;1695.9;33.0;
10:47:08;B;???;1695.9;33.0;
10:47:09;B;???;1695.9;33.0;
10:47:10;B;-35.04;1697.6;33.0;
10:47:11;B;-35.85;1697.6;33.0;
10:47:12;B;-36.22;1697.6;33.0;
10:47:13;B;-38.08;1700.6;36.0;
10:47:14;B;-38.02;1700.6;36.0;
10:47:15;B;-37.96;1687.3;36.0;
10:47:16;B;-37.57;1687.3;36.0;
10:47:17;B;-37.12;1673.3;36.0;
10:47:18;B;-36.61;1673.3;36.0;
10:47:19;B;-36.61;1673.3;36.0;
10:47:20;B;-37.18;1659.0;36.0;
10:47:21;B;-37.18;1659.0;36.0;
10:47:22;B;-36.72;1645.1;36.0;
10:47:23;B;-36.72;1645.1;36.0;
10:47:24;B;-35.9;1631.4;36.0;
10:47:25;B;-35.9;1631.4;36.0;
10:47:26;B;-38.62;1660.2;36.0;
10:47:27;B;-38.62;1660.2;36.0;
10:47:28;B;-38.61;1660.2;36.0;
10:47:29;B;-38.61;1660.2;36.0;
10:47:30;B;???;1687.5;36.0;
10:47:31;B;-39.52;1687.5;36.0;
10:47:32;B;-40.31;1686.8;35.0;
10:47:33;B;-40.37;1686.8;35.0;
10:47:34;B;-40.05;1687.5;35.0;
10:47:35;B;???;1687.5;35.0;
10:47:36;B;-40.25;1675.3;34.0;
10:47:37;B;???;1675.3;34.0;
10:47:38;B;-39.73;1662.6;36.0;
10:47:39;B;-39.84;1662.6;36.0;
10:47:40;B;-39.84;1662.6;36.0;
10:47:41;B;-41.3;1690.0;35.0;
10:47:42;B;-41.3;1690.0;35.0;
10:47:43;B;???;36.0;
10:47:44;B;???;36.0;
10:47:45;B;???;1677.7;36.0;
10:47:46;B;-39.72;1677.7;36.0;
10:47:47;B;-37.34;1665.6;36.0;
10:47:48;B;-36.55;1665.6;36.0;
10:47:49;B;???;1661.8;36.0;
10:47:50;B;???;1661.8;36.0;
