# MEASURE 
# Avg: 32.8577
# Median: 33.0550
# Mode: 29.6800
# Max: 37.2900
# Min: 27.9000
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 12.05.2026
# TIME             : 10:48:11
# Par.Record       :
# Meas. Point No.: : B:5800.01
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       4.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      36.1 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       149

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:48:11;B;???;30.0;
10:48:12;B;???;30.0;
10:48:13;B;???;30.0;
10:48:14;B;???;30.0;
10:48:15;B;???;26.0;
10:48:16;B;???;26.0;
10:48:17;B;29.68;1502.9;42.0;
10:48:18;B;29.68;1502.9;42.0;
10:48:19;B;29.68;1502.9;42.0;
10:48:20;B;29.19;1524.4;39.0;
10:48:21;B;29.48;1524.4;39.0;
10:48:22;B;31.01;1524.4;39.0;
10:48:23;B;31.01;1524.4;39.0;
10:48:24;B;31.9;1523.1;40.0;
10:48:25;B;33.88;1523.1;40.0;
10:48:26;B;33.88;1523.1;40.0;
10:48:27;B;34.69;1522.3;40.0;
10:48:28;B;35.47;1522.3;40.0;
10:48:29;B;35.47;1522.3;40.0;
10:48:30;B;36.31;1534.6;42.0;
10:48:31;B;37.14;1534.6;42.0;
10:48:32;B;37.29;1533.2;42.0;
10:48:33;B;37.03;1533.2;42.0;
10:48:34;B;36.96;1533.2;42.0;
10:48:35;B;36.96;1533.2;42.0;
10:48:36;B;36.92;1537.8;40.0;
10:48:37;B;37.0;1537.8;40.0;
10:48:38;B;36.93;1546.3;40.0;
10:48:39;B;36.81;1546.3;40.0;
10:48:40;B;36.6;1546.3;40.0;
10:48:41;B;36.42;1563.0;40.0;
10:48:42;B;36.02;1563.0;40.0;
10:48:43;B;36.02;1563.0;40.0;
10:48:44;B;36.24;1567.6;40.0;
10:48:45;B;36.66;1567.6;40.0;
10:48:46;B;36.66;1567.6;40.0;
10:48:47;B;36.73;1567.8;40.0;
10:48:48;B;37.23;1567.8;40.0;
10:48:49;B;37.23;1567.8;40.0;
10:48:50;B;36.92;1575.2;40.0;
10:48:51;B;36.78;1575.2;40.0;
10:48:52;B;36.78;1575.2;40.0;
10:48:53;B;36.64;1580.3;40.0;
10:48:54;B;36.06;1580.3;40.0;
10:48:55;B;36.06;1580.3;40.0;
10:48:56;B;36.5;1586.0;39.0;
10:48:57;B;36.37;1586.0;39.0;
10:48:58;B;36.37;1586.0;39.0;
10:48:59;B;36.3;1585.8;39.0;
10:49:00;B;36.09;1585.8;39.0;
10:49:01;B;36.09;1585.8;39.0;
10:49:02;B;36.05;1584.5;40.0;
10:49:03;B;36.18;1584.5;40.0;
10:49:04;B;36.24;1590.8;40.0;
10:49:05;B;36.4;1590.8;40.0;
10:49:06;B;36.32;1590.8;40.0;
