# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 08:44:29
# Par.Record       : Par.Record    01
# Meas. Point No.: : B:3900.01
# Outer Diameter  :     204.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     102.6 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        89
# MEASURE Stats -> Avg: -263.8218 | Median: -265.4100 | Mode: -251.5400 | Max: -251.5400 | Min: -268.9000
# SSPEED Stats -> Avg: 1230.6753 | Median: 1475.7000 | Mode: 1476.5000 | Max: 1476.5000 | Min: 14.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:44:29;08:44:29;08:44:29;B;???;26.0;
08:44:30;08:44:30;08:44:30;B;???;26.0;
08:44:31;08:44:31;08:44:31;B;???;26.0;
08:44:32;08:44:32;08:44:32;B;???;26.0;
08:44:33;08:44:33;08:44:33;B;???;26.0;
08:44:34;08:44:34;08:44:34;B;-251.54;1474.4;42.0;
08:44:35;08:44:35;08:44:35;B;-251.54;1474.4;42.0;
08:44:36;08:44:36;08:44:36;B;-251.54;1474.4;42.0;
08:44:37;08:44:37;08:44:37;B;???;14.0;
08:44:38;08:44:38;08:44:38;B;???;14.0;
08:44:39;08:44:39;08:44:39;B;???;14.0;
08:44:40;08:44:40;08:44:40;B;???;14.0;
08:44:41;08:44:41;08:44:41;B;-253.74;1474.3;50.0;
08:44:42;08:44:42;08:44:42;B;???;1474.3;50.0;
08:44:43;08:44:43;08:44:43;B;-252.8;1474.3;50.0;
08:44:44;08:44:44;08:44:44;B;-252.8;1474.3;50.0;
08:44:45;08:44:45;08:44:45;B;-255.13;1474.0;57.0;
08:44:46;08:44:46;08:44:46;B;-258.27;1474.0;57.0;
08:44:47;08:44:47;08:44:47;B;-261.19;1473.8;60.0;
08:44:48;08:44:48;08:44:48;B;-263.08;1473.8;60.0;
08:44:49;08:44:49;08:44:49;B;-262.41;1474.0;62.0;
08:44:50;08:44:50;08:44:50;B;-262.97;1474.0;62.0;
08:44:51;08:44:51;08:44:51;B;-263.22;1474.0;66.0;
08:44:52;08:44:52;08:44:52;B;-262.63;1474.0;66.0;
08:44:53;08:44:53;08:44:53;B;-263.19;1473.8;56.0;
08:44:54;08:44:54;08:44:54;B;-261.01;1473.8;56.0;
08:44:55;08:44:55;08:44:55;B;-260.6;1474.0;59.0;
08:44:56;08:44:56;08:44:56;B;-261.6;1474.2;64.0;
08:44:57;08:44:57;08:44:57;B;-266.09;1474.2;64.0;
08:44:58;08:44:58;08:44:58;B;-263.72;1474.3;64.0;
08:44:59;08:44:59;08:44:59;B;-262.63;1474.6;61.0;
08:45:00;08:45:00;08:45:00;B;-264.53;1474.9;60.0;
08:45:01;08:45:01;08:45:01;B;-264.01;1474.9;60.0;
08:45:02;08:45:02;08:45:02;B;-264.27;1475.1;62.0;
08:45:03;08:45:03;08:45:03;B;-261.14;1475.4;60.0;
08:45:04;08:45:04;08:45:04;B;-261.16;1475.4;60.0;
08:45:05;08:45:05;08:45:05;B;-261.29;1475.7;60.0;
08:45:06;08:45:06;08:45:06;B;-262.91;1476.0;61.0;
